trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6353,0.0-2.0,rl650w2f,,,,,,2625.0,545f1e11fdf99b3156e7588b,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,3,7820,0.0-3.0,rl650w2f,,,,,,1466.0,545f1e11fdf99b3156e7588b,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,4,13741,0.0-4.0-0.0,rl650w2f,,,,,,5919.0,,545f1e11fdf99b3156e7588b,"[{""page_index"":0,""viewing_time"":831},{""page_index"":1,""viewing_time"":4212},{""page_index"":2,""viewing_time"":876}]",,,,,,,,,,,,,,,,,
introduction,5,14480,0.0-5.0-0.0,rl650w2f,,,,,,738.0,1,545f1e11fdf99b3156e7588b,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,14956,0.0-5.0-0.1,rl650w2f,,,,,,476.0,2,545f1e11fdf99b3156e7588b,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,15480,0.0-5.0-0.2,rl650w2f,,,,,,524.0,1,545f1e11fdf99b3156e7588b,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,16173,0.0-5.0-0.3,rl650w2f,,,,,,693.0,3,545f1e11fdf99b3156e7588b,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,16703,0.0-5.0-0.4,rl650w2f,,,,,,529.0,2,545f1e11fdf99b3156e7588b,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,17230,0.0-5.0-0.5,rl650w2f,,,,,,526.0,3,545f1e11fdf99b3156e7588b,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,17671,0.0-5.0-0.6,rl650w2f,,,,,,441.0,1,545f1e11fdf99b3156e7588b,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,18112,0.0-5.0-0.7,rl650w2f,,,,,,440.0,2,545f1e11fdf99b3156e7588b,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,18508,0.0-5.0-0.8,rl650w2f,,,,,,396.0,3,545f1e11fdf99b3156e7588b,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,19007,0.0-5.0-0.9,rl650w2f,,,,,,498.0,2,545f1e11fdf99b3156e7588b,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,19427,0.0-5.0-0.10,rl650w2f,,,,,,420.0,1,545f1e11fdf99b3156e7588b,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,19930,0.0-5.0-0.11,rl650w2f,,,,,,503.0,3,545f1e11fdf99b3156e7588b,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,37594,0.0-6.0-0.0,rl650w2f,,,,,,17664.0,,545f1e11fdf99b3156e7588b,"[{""page_index"":0,""viewing_time"":747},{""page_index"":1,""viewing_time"":2168},{""page_index"":2,""viewing_time"":13642},{""page_index"":3,""viewing_time"":1108}]",,,,,,,,,,,,,,,,,
introduction,19,46401,0.0-8.0-0.0,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,img/Red_circle.png,2573.0,calibration,,,,,,,,,,,,,,
introduction,20,47902,0.0-8.0-1.0-0.0,rl650w2f,,,,,,1499.0,2131,545f1e11fdf99b3156e7588b,,2131,,calibration,,,,,,,,,,,,,,
introduction,21,47903,0.0-8.0-2.0,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,22,49905,0.0-8.0-0.1,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,<p>CAREFUL. That was too slow.</p>,3077.0,calibration,,,,,,,,,,,,,,
introduction,23,51165,0.0-8.0-1.1-0.1,rl650w2f,,,,,,1259.0,2331,545f1e11fdf99b3156e7588b,,2331,,calibration,,,,,,,,,,,,,,
introduction,24,51166,0.0-8.0-2.1,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,25,53167,0.0-8.0-0.2,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,<p>CAREFUL. That was too slow.</p>,2003.0,calibration,,,,,,,,,,,,,,
introduction,26,54196,0.0-8.0-1.2-0.2,rl650w2f,,,,,,1026.0,333,545f1e11fdf99b3156e7588b,,333,,calibration,,,,,,,,,,,,,,
introduction,27,54196,0.0-8.0-2.2,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,28,56200,0.0-8.0-0.3,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,<p>CAREFUL. That was too slow.</p>,1969.0,calibration,,,,,,,,,,,,,,
introduction,29,57305,0.0-8.0-1.3-0.3,rl650w2f,,,,,,1103.0,1233,545f1e11fdf99b3156e7588b,,1233,,calibration,,,,,,,,,,,,,,
introduction,30,57305,0.0-8.0-2.3,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,31,59276,0.0-8.0-0.4,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,img/Red_circle.png,2481.0,calibration,,,,,,,,,,,,,,
introduction,32,60178,0.0-8.0-1.4-0.4,rl650w2f,,,,,,901.0,112,545f1e11fdf99b3156e7588b,,112,,calibration,,,,,,,,,,,,,,
introduction,33,60179,0.0-8.0-2.4,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,34,62180,0.0-8.0-0.5,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,<p>CAREFUL. That was too slow.</p>,2051.0,calibration,,,,,,,,,,,,,,
introduction,35,63321,0.0-8.0-1.5-0.5,rl650w2f,,,,,,1140.0,2132,545f1e11fdf99b3156e7588b,,2132,,calibration,,,,,,,,,,,,,,
introduction,36,63322,0.0-8.0-2.5,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,37,65323,0.0-8.0-0.6,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,<p>CAREFUL. That was too slow.</p>,2521.0,calibration,,,,,,,,,,,,,,
introduction,38,66544,0.0-8.0-1.6-0.6,rl650w2f,,,,,,1219.0,1212,545f1e11fdf99b3156e7588b,,1212,,calibration,,,,,,,,,,,,,,
introduction,39,66545,0.0-8.0-2.6,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,40,68546,0.0-8.0-0.7,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,<p>CAREFUL. That was too slow.</p>,1302.0,calibration,,,,,,,,,,,,,,
introduction,41,69490,0.0-8.0-1.7-0.7,rl650w2f,,,,,,943.0,111,545f1e11fdf99b3156e7588b,,111,,calibration,,,,,,,,,,,,,,
introduction,42,69491,0.0-8.0-2.7,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,43,70795,0.0-8.0-0.8,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,img/Red_circle.png,2431.0,calibration,,,,,,,,,,,,,,
introduction,44,71839,0.0-8.0-1.8-0.8,rl650w2f,,,,,,1039.0,1233,545f1e11fdf99b3156e7588b,,1233,,calibration,,,,,,,,,,,,,,
introduction,45,71839,0.0-8.0-2.8,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,46,73840,0.0-8.0-0.9,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,<p>CAREFUL. That was too slow.</p>,1978.0,calibration,,,,,,,,,,,,,,
introduction,47,74974,0.0-8.0-1.9-0.9,rl650w2f,,,,,,1132.0,3112,545f1e11fdf99b3156e7588b,,3112,,calibration,,,,,,,,,,,,,,
introduction,48,74975,0.0-8.0-2.9,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,49,76955,0.0-8.0-0.10,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,img/Red_circle.png,2567.0,calibration,,,,,,,,,,,,,,
introduction,50,77989,0.0-8.0-1.10-0.10,rl650w2f,,,,,,1033.0,1123,545f1e11fdf99b3156e7588b,,1123,,calibration,,,,,,,,,,,,,,
introduction,51,77990,0.0-8.0-2.10,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,52,79992,0.0-8.0-0.11,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,<p>CAREFUL. That was too slow.</p>,2761.0,calibration,,,,,,,,,,,,,,
introduction,53,81094,0.0-8.0-1.11-0.11,rl650w2f,,,,,,1100.0,3311,545f1e11fdf99b3156e7588b,,3311,,calibration,,,,,,,,,,,,,,
introduction,54,81095,0.0-8.0-2.11,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,55,83096,0.0-8.0-0.12,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,<p>CAREFUL. That was too slow.</p>,1451.0,calibration,,,,,,,,,,,,,,
introduction,56,83972,0.0-8.0-1.12-0.12,rl650w2f,,,,,,875.0,113,545f1e11fdf99b3156e7588b,,113,,calibration,,,,,,,,,,,,,,
introduction,57,83972,0.0-8.0-2.12,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,58,85425,0.0-8.0-0.13,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,img/Red_circle.png,1845.0,calibration,,,,,,,,,,,,,,
introduction,59,86837,0.0-8.0-1.13-0.13,rl650w2f,,,,,,1410.0,2312,545f1e11fdf99b3156e7588b,,2312,,calibration,,,,,,,,,,,,,,
introduction,60,86837,0.0-8.0-2.13,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,61,88685,0.0-8.0-0.14,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,img/Red_circle.png,1731.0,calibration,,,,,,,,,,,,,,
introduction,62,89630,0.0-8.0-1.14-0.14,rl650w2f,,,,,,944.0,133,545f1e11fdf99b3156e7588b,,133,,calibration,,,,,,,,,,,,,,
introduction,63,89631,0.0-8.0-2.14,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,64,91364,0.0-8.0-0.15,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,img/Red_circle.png,2121.0,calibration,,,,,,,,,,,,,,
introduction,65,92501,0.0-8.0-1.15-0.15,rl650w2f,,,,,,1133.0,1213,545f1e11fdf99b3156e7588b,,1213,,calibration,,,,,,,,,,,,,,
introduction,66,92502,0.0-8.0-2.15,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
introduction,67,94503,0.0-8.0-0.16,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,<p>CAREFUL. That was too slow.</p>,1925.0,calibration,,,,,,,,,,,,,,
introduction,68,95423,0.0-8.0-1.16-0.16,rl650w2f,,,,,,919.0,313,545f1e11fdf99b3156e7588b,,313,,calibration,,,,,,,,,,,,,,
introduction,69,95424,0.0-8.0-2.16,rl650w2f,,,,,,,,545f1e11fdf99b3156e7588b,,,,,,,,,,,,,,,,,,
