trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,21967,0.0-2.0,rtsywbrf,,,,,,9817.0,55a8c7affdf99b33d8aff983,55a8c7affdf99b33d8aff983,,,,,,,,,,,,,,,,,,
introduction,3,25390,0.0-3.0,rtsywbrf,,,,,,3422.0,55a8c7affdf99b33d8aff983,55a8c7affdf99b33d8aff983,,,,,,,,,,,,,,,,,,
introduction,4,31180,0.0-4.0-0.0,rtsywbrf,,,,,,5789.0,,55a8c7affdf99b33d8aff983,"[{""page_index"":0,""viewing_time"":936},{""page_index"":1,""viewing_time"":4042},{""page_index"":2,""viewing_time"":811}]",,,,,,,,,,,,,,,,,
introduction,5,32309,0.0-5.0-0.0,rtsywbrf,,,,,,1128.0,1,55a8c7affdf99b33d8aff983,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,32706,0.0-5.0-0.1,rtsywbrf,,,,,,396.0,2,55a8c7affdf99b33d8aff983,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,34083,0.0-5.0-0.2,rtsywbrf,,,,,,1377.0,1,55a8c7affdf99b33d8aff983,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,34794,0.0-5.0-0.3,rtsywbrf,,,,,,711.0,3,55a8c7affdf99b33d8aff983,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,35195,0.0-5.0-0.4,rtsywbrf,,,,,,401.0,2,55a8c7affdf99b33d8aff983,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,35747,0.0-5.0-0.5,rtsywbrf,,,,,,552.0,3,55a8c7affdf99b33d8aff983,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,36313,0.0-5.0-0.6,rtsywbrf,,,,,,566.0,1,55a8c7affdf99b33d8aff983,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,36791,0.0-5.0-0.7,rtsywbrf,,,,,,477.0,2,55a8c7affdf99b33d8aff983,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,37261,0.0-5.0-0.8,rtsywbrf,,,,,,470.0,3,55a8c7affdf99b33d8aff983,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,37725,0.0-5.0-0.9,rtsywbrf,,,,,,464.0,2,55a8c7affdf99b33d8aff983,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,38100,0.0-5.0-0.10,rtsywbrf,,,,,,374.0,1,55a8c7affdf99b33d8aff983,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,38592,0.0-5.0-0.11,rtsywbrf,,,,,,492.0,3,55a8c7affdf99b33d8aff983,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,49599,0.0-6.0-0.0,rtsywbrf,,,,,,11007.0,,55a8c7affdf99b33d8aff983,"[{""page_index"":0,""viewing_time"":1170},{""page_index"":1,""viewing_time"":1862},{""page_index"":2,""viewing_time"":6864},{""page_index"":3,""viewing_time"":1111}]",,,,,,,,,,,,,,,,,
introduction,19,59460,0.0-8.0-0.0,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,img/Red_circle.png,2438.0,calibration,,,,,,,,,,,,,,
introduction,20,60842,0.0-8.0-1.0-0.0,rtsywbrf,,,,,,1380.0,33,55a8c7affdf99b33d8aff983,,33,,calibration,,,,,,,,,,,,,,
introduction,21,60843,0.0-8.0-2.0,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,,,,,,,,,,,,,,,,,
introduction,22,62858,0.0-8.0-0.1,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,<p>CAREFUL. That was too slow.</p>,2582.0,calibration,,,,,,,,,,,,,,
introduction,23,63783,0.0-8.0-1.1-0.1,rtsywbrf,,,,,,924.0,31,55a8c7affdf99b33d8aff983,,31,,calibration,,,,,,,,,,,,,,
introduction,24,63784,0.0-8.0-2.1,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,,,,,,,,,,,,,,,,,
introduction,25,65798,0.0-8.0-0.2,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,<p>CAREFUL. That was too slow.</p>,2288.0,calibration,,,,,,,,,,,,,,
introduction,26,67748,0.0-8.0-1.2-0.2,rtsywbrf,,,,,,1949.0,1213,55a8c7affdf99b33d8aff983,,1213,,calibration,,,,,,,,,,,,,,
introduction,27,67749,0.0-8.0-2.2,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,,,,,,,,,,,,,,,,,
introduction,28,69756,0.0-8.0-0.3,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,<p>CAREFUL. That was too slow.</p>,1557.0,calibration,,,,,,,,,,,,,,
introduction,29,71327,0.0-8.0-1.3-0.3,rtsywbrf,,,,,,1570.0,3333,55a8c7affdf99b33d8aff983,,3333,,calibration,,,,,,,,,,,,,,
introduction,30,71328,0.0-8.0-2.3,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,,,,,,,,,,,,,,,,,
introduction,31,72901,0.0-8.0-0.4,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,img/Red_circle.png,1048.0,calibration,,,,,,,,,,,,,,
introduction,32,74650,0.0-8.0-1.4-0.4,rtsywbrf,,,,,,1748.0,3223,55a8c7affdf99b33d8aff983,,3223,,calibration,,,,,,,,,,,,,,
introduction,33,74651,0.0-8.0-2.4,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,,,,,,,,,,,,,,,,,
introduction,34,75703,0.0-8.0-0.5,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,img/Red_circle.png,2701.0,calibration,,,,,,,,,,,,,,
introduction,35,77581,0.0-8.0-1.5-0.5,rtsywbrf,,,,,,1876.0,3211,55a8c7affdf99b33d8aff983,,3211,,calibration,,,,,,,,,,,,,,
introduction,36,77581,0.0-8.0-2.5,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,,,,,,,,,,,,,,,,,
introduction,37,79583,0.0-8.0-0.6,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,<p>CAREFUL. That was too slow.</p>,2352.0,calibration,,,,,,,,,,,,,,
introduction,38,81000,0.0-8.0-1.6-0.6,rtsywbrf,,,,,,1416.0,2222,55a8c7affdf99b33d8aff983,,2222,,calibration,,,,,,,,,,,,,,
introduction,39,81001,0.0-8.0-2.6,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,,,,,,,,,,,,,,,,,
introduction,40,83007,0.0-8.0-0.7,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,<p>CAREFUL. That was too slow.</p>,1931.0,calibration,,,,,,,,,,,,,,
introduction,41,84601,0.0-8.0-1.7-0.7,rtsywbrf,,,,,,1592.0,3133,55a8c7affdf99b33d8aff983,,3133,,calibration,,,,,,,,,,,,,,
introduction,42,84602,0.0-8.0-2.7,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,,,,,,,,,,,,,,,,,
introduction,43,86542,0.0-8.0-0.8,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,img/Red_circle.png,1965.0,calibration,,,,,,,,,,,,,,
introduction,44,88767,0.0-8.0-1.8-0.8,rtsywbrf,,,,,,2224.0,231,55a8c7affdf99b33d8aff983,,231,,calibration,,,,,,,,,,,,,,
introduction,45,88768,0.0-8.0-2.8,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,,,,,,,,,,,,,,,,,
introduction,46,90738,0.0-8.0-0.9,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,img/Red_circle.png,2978.0,calibration,,,,,,,,,,,,,,
introduction,47,92209,0.0-8.0-1.9-0.9,rtsywbrf,,,,,,1470.0,212,55a8c7affdf99b33d8aff983,,212,,calibration,,,,,,,,,,,,,,
introduction,48,92210,0.0-8.0-2.9,rtsywbrf,,,,,,,,55a8c7affdf99b33d8aff983,,,,,,,,,,,,,,,,,,
