trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,168601,0.0-2.0,b7kzq7kd,,,,,,165286.0,55d35447da14d7000e95318f,55d35447da14d7000e95318f,,,,,,,,,,,,,,,,,,
introduction,3,169829,0.0-3.0,b7kzq7kd,,,,,,1225.0,55d35447da14d7000e95318f,55d35447da14d7000e95318f,,,,,,,,,,,,,,,,,,
introduction,4,174622,0.0-4.0-0.0,b7kzq7kd,,,,,,4792.0,,55d35447da14d7000e95318f,"[{""page_index"":0,""viewing_time"":866},{""page_index"":1,""viewing_time"":3138},{""page_index"":2,""viewing_time"":788}]",,,,,,,,,,,,,,,,,
introduction,5,175092,0.0-5.0-0.0,b7kzq7kd,,,,,,468.0,1,55d35447da14d7000e95318f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,175455,0.0-5.0-0.1,b7kzq7kd,,,,,,364.0,2,55d35447da14d7000e95318f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,176075,0.0-5.0-0.2,b7kzq7kd,,,,,,620.0,1,55d35447da14d7000e95318f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,176507,0.0-5.0-0.3,b7kzq7kd,,,,,,430.0,3,55d35447da14d7000e95318f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,176867,0.0-5.0-0.4,b7kzq7kd,,,,,,359.0,2,55d35447da14d7000e95318f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,177288,0.0-5.0-0.5,b7kzq7kd,,,,,,420.0,3,55d35447da14d7000e95318f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,177733,0.0-5.0-0.6,b7kzq7kd,,,,,,444.0,1,55d35447da14d7000e95318f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,178134,0.0-5.0-0.7,b7kzq7kd,,,,,,400.0,2,55d35447da14d7000e95318f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,178524,0.0-5.0-0.8,b7kzq7kd,,,,,,390.0,3,55d35447da14d7000e95318f,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,178927,0.0-5.0-0.9,b7kzq7kd,,,,,,403.0,2,55d35447da14d7000e95318f,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,179350,0.0-5.0-0.10,b7kzq7kd,,,,,,423.0,1,55d35447da14d7000e95318f,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,179827,0.0-5.0-0.11,b7kzq7kd,,,,,,477.0,3,55d35447da14d7000e95318f,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,192348,0.0-6.0-0.0,b7kzq7kd,,,,,,12520.0,,55d35447da14d7000e95318f,"[{""page_index"":0,""viewing_time"":612},{""page_index"":1,""viewing_time"":1219},{""page_index"":2,""viewing_time"":9609},{""page_index"":3,""viewing_time"":1080}]",,,,,,,,,,,,,,,,,
introduction,19,204553,0.0-8.0-0.0,b7kzq7kd,,,,,,,,55d35447da14d7000e95318f,,img/Red_circle.png,1909.0,calibration,,,,,,,,,,,,,,
introduction,20,206024,0.0-8.0-1.0-0.0,b7kzq7kd,,,,,,1468.0,333,55d35447da14d7000e95318f,,333,,calibration,,,,,,,,,,,,,,
introduction,21,206025,0.0-8.0-2.0,b7kzq7kd,,,,,,,,55d35447da14d7000e95318f,,,,,,,,,,,,,,,,,,
introduction,22,208047,0.0-8.0-0.1,b7kzq7kd,,,,,,,,55d35447da14d7000e95318f,,img/Red_circle.png,1760.0,calibration,,,,,,,,,,,,,,
introduction,23,208907,0.0-8.0-1.1-0.1,b7kzq7kd,,,,,,846.0,11,55d35447da14d7000e95318f,,11,,calibration,,,,,,,,,,,,,,
introduction,24,208908,0.0-8.0-2.1,b7kzq7kd,,,,,,,,55d35447da14d7000e95318f,,,,,,,,,,,,,,,,,,
