trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,9080,0.0-2.0,hgwx8ssd,,,,,,6149.0,563e5abecbd4c60005dc9153,563e5abecbd4c60005dc9153,,,,,,,,,,,,,,,,,,
introduction,3,11824,0.0-3.0,hgwx8ssd,,,,,,2741.0,563e5abecbd4c60005dc9153,563e5abecbd4c60005dc9153,,,,,,,,,,,,,,,,,,
introduction,4,26308,0.0-4.0-0.0,hgwx8ssd,,,,,,14482.0,,563e5abecbd4c60005dc9153,"[{""page_index"":0,""viewing_time"":1660},{""page_index"":1,""viewing_time"":9376},{""page_index"":2,""viewing_time"":3447}]",,,,,,,,,,,,,,,,,
introduction,5,27074,0.0-5.0-0.0,hgwx8ssd,,,,,,765.0,1,563e5abecbd4c60005dc9153,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,27843,0.0-5.0-0.1,hgwx8ssd,,,,,,768.0,2,563e5abecbd4c60005dc9153,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,28961,0.0-5.0-0.2,hgwx8ssd,,,,,,1117.0,1,563e5abecbd4c60005dc9153,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,29900,0.0-5.0-0.3,hgwx8ssd,,,,,,939.0,3,563e5abecbd4c60005dc9153,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,30729,0.0-5.0-0.4,hgwx8ssd,,,,,,829.0,2,563e5abecbd4c60005dc9153,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,31379,0.0-5.0-0.5,hgwx8ssd,,,,,,650.0,3,563e5abecbd4c60005dc9153,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,32036,0.0-5.0-0.6,hgwx8ssd,,,,,,656.0,1,563e5abecbd4c60005dc9153,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,32707,0.0-5.0-0.7,hgwx8ssd,,,,,,671.0,2,563e5abecbd4c60005dc9153,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,33304,0.0-5.0-0.8,hgwx8ssd,,,,,,596.0,3,563e5abecbd4c60005dc9153,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,33954,0.0-5.0-0.9,hgwx8ssd,,,,,,650.0,2,563e5abecbd4c60005dc9153,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,34629,0.0-5.0-0.10,hgwx8ssd,,,,,,674.0,1,563e5abecbd4c60005dc9153,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,35284,0.0-5.0-0.11,hgwx8ssd,,,,,,655.0,3,563e5abecbd4c60005dc9153,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,88415,0.0-6.0-0.0,hgwx8ssd,,,,,,53131.0,,563e5abecbd4c60005dc9153,"[{""page_index"":0,""viewing_time"":1232},{""page_index"":1,""viewing_time"":6073},{""page_index"":2,""viewing_time"":42436},{""page_index"":3,""viewing_time"":3390}]",,,,,,,,,,,,,,,,,
introduction,19,115641,0.0-8.0-0.0,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,img/Red_circle.png,2225.0,calibration,,,,,,,,,,,,,,
introduction,20,118064,0.0-8.0-1.0-0.0,hgwx8ssd,,,,,,2421.0,3131,563e5abecbd4c60005dc9153,,3131,,calibration,,,,,,,,,,,,,,
introduction,21,118066,0.0-8.0-2.0,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,,,,,,,,,,,,,,,,,
introduction,22,120079,0.0-8.0-0.1,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,<p>CAREFUL. That was too slow.</p>,1924.0,calibration,,,,,,,,,,,,,,
introduction,23,122402,0.0-8.0-1.1-0.1,hgwx8ssd,,,,,,2318.0,232,563e5abecbd4c60005dc9153,,232,,calibration,,,,,,,,,,,,,,
introduction,24,122403,0.0-8.0-2.1,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,,,,,,,,,,,,,,,,,
introduction,25,124360,0.0-8.0-0.2,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,img/Red_circle.png,2364.0,calibration,,,,,,,,,,,,,,
introduction,26,126435,0.0-8.0-1.2-0.2,hgwx8ssd,,,,,,2074.0,3122,563e5abecbd4c60005dc9153,,3122,,calibration,,,,,,,,,,,,,,
introduction,27,126437,0.0-8.0-2.2,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,,,,,,,,,,,,,,,,,
introduction,28,128437,0.0-8.0-0.3,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,<p>CAREFUL. That was too slow.</p>,1014.0,calibration,,,,,,,,,,,,,,
introduction,29,131199,0.0-8.0-1.3-0.3,hgwx8ssd,,,,,,2759.0,3332,563e5abecbd4c60005dc9153,,3332,,calibration,,,,,,,,,,,,,,
introduction,30,131201,0.0-8.0-2.3,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,,,,,,,,,,,,,,,,,
introduction,31,132227,0.0-8.0-0.4,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,img/Red_circle.png,2641.0,calibration,,,,,,,,,,,,,,
introduction,32,135090,0.0-8.0-1.4-0.4,hgwx8ssd,,,,,,2861.0,2113,563e5abecbd4c60005dc9153,,2113,,calibration,,,,,,,,,,,,,,
introduction,33,135091,0.0-8.0-2.4,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,,,,,,,,,,,,,,,,,
introduction,34,137100,0.0-8.0-0.5,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,<p>CAREFUL. That was too slow.</p>,1309.0,calibration,,,,,,,,,,,,,,
introduction,35,139396,0.0-8.0-1.5-0.5,hgwx8ssd,,,,,,2292.0,1123,563e5abecbd4c60005dc9153,,1123,,calibration,,,,,,,,,,,,,,
introduction,36,139397,0.0-8.0-2.5,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,,,,,,,,,,,,,,,,,
introduction,37,140711,0.0-8.0-0.6,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,img/Red_circle.png,2834.0,calibration,,,,,,,,,,,,,,
introduction,38,142059,0.0-8.0-1.6-0.6,hgwx8ssd,,,,,,1346.0,11,563e5abecbd4c60005dc9153,,11,,calibration,,,,,,,,,,,,,,
introduction,39,142060,0.0-8.0-2.6,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,,,,,,,,,,,,,,,,,
introduction,40,144076,0.0-8.0-0.7,hgwx8ssd,,,,,,,,563e5abecbd4c60005dc9153,,<p>CAREFUL. That was too slow.</p>,2030.0,calibration,,,,,,,,,,,,,,
