trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10051,0.0-2.0,ao1eyn16,,,,,,7232.0,56ddac2e6893b5000de993bf,56ddac2e6893b5000de993bf,,,,,,,,,,,,,,,,,,
introduction,3,21796,0.0-3.0,ao1eyn16,,,,,,11744.0,56ddac2e6893b5000de993bf,56ddac2e6893b5000de993bf,,,,,,,,,,,,,,,,,,
introduction,4,29296,0.0-4.0-0.0,ao1eyn16,,,,,,7500.0,,56ddac2e6893b5000de993bf,"[{""page_index"":0,""viewing_time"":2889},{""page_index"":1,""viewing_time"":3532},{""page_index"":2,""viewing_time"":1079}]",,,,,,,,,,,,,,,,,
introduction,5,30203,0.0-5.0-0.0,ao1eyn16,,,,,,906.0,1,56ddac2e6893b5000de993bf,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,30497,0.0-5.0-0.1,ao1eyn16,,,,,,293.0,2,56ddac2e6893b5000de993bf,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,31310,0.0-5.0-0.2,ao1eyn16,,,,,,813.0,1,56ddac2e6893b5000de993bf,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,31847,0.0-5.0-0.3,ao1eyn16,,,,,,537.0,3,56ddac2e6893b5000de993bf,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,32271,0.0-5.0-0.4,ao1eyn16,,,,,,424.0,2,56ddac2e6893b5000de993bf,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,32721,0.0-5.0-0.5,ao1eyn16,,,,,,450.0,3,56ddac2e6893b5000de993bf,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,33155,0.0-5.0-0.6,ao1eyn16,,,,,,433.0,1,56ddac2e6893b5000de993bf,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,33553,0.0-5.0-0.7,ao1eyn16,,,,,,398.0,2,56ddac2e6893b5000de993bf,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,33993,0.0-5.0-0.8,ao1eyn16,,,,,,440.0,3,56ddac2e6893b5000de993bf,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,34396,0.0-5.0-0.9,ao1eyn16,,,,,,403.0,2,56ddac2e6893b5000de993bf,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,34816,0.0-5.0-0.10,ao1eyn16,,,,,,420.0,1,56ddac2e6893b5000de993bf,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,35297,0.0-5.0-0.11,ao1eyn16,,,,,,481.0,3,56ddac2e6893b5000de993bf,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,154702,0.0-6.0-0.0,ao1eyn16,,,,,,119405.0,,56ddac2e6893b5000de993bf,"[{""page_index"":0,""viewing_time"":920},{""page_index"":1,""viewing_time"":1303},{""page_index"":2,""viewing_time"":116279},{""page_index"":3,""viewing_time"":903}]",,,,,,,,,,,,,,,,,
introduction,19,167655,0.0-8.0-0.0,ao1eyn16,,,,,,,,56ddac2e6893b5000de993bf,,img/Red_circle.png,2562.0,calibration,,,,,,,,,,,,,,
introduction,20,169560,0.0-8.0-1.0-0.0,ao1eyn16,,,,,,1904.0,3121,56ddac2e6893b5000de993bf,,3121,,calibration,,,,,,,,,,,,,,
introduction,21,169561,0.0-8.0-2.0,ao1eyn16,,,,,,,,56ddac2e6893b5000de993bf,,,,,,,,,,,,,,,,,,
