trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,29427,0.0-2.0,ogbopdp7,,,,,,21145.0,57ff0e138f420f00011a5d0e,57ff0e138f420f00011a5d0e,,,,,,,,,,,,,,,,,,
introduction,3,32674,0.0-3.0,ogbopdp7,,,,,,3245.0,57ff0e138f420f00011a5d0e,57ff0e138f420f00011a5d0e,,,,,,,,,,,,,,,,,,
introduction,4,37727,0.0-4.0-0.0,ogbopdp7,,,,,,5053.0,,57ff0e138f420f00011a5d0e,"[{""page_index"":0,""viewing_time"":813},{""page_index"":1,""viewing_time"":3123},{""page_index"":2,""viewing_time"":1117}]",,,,,,,,,,,,,,,,,
introduction,5,38761,0.0-5.0-0.0,ogbopdp7,,,,,,1033.0,1,57ff0e138f420f00011a5d0e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,39224,0.0-5.0-0.1,ogbopdp7,,,,,,463.0,2,57ff0e138f420f00011a5d0e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,39961,0.0-5.0-0.2,ogbopdp7,,,,,,737.0,1,57ff0e138f420f00011a5d0e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,40498,0.0-5.0-0.3,ogbopdp7,,,,,,536.0,3,57ff0e138f420f00011a5d0e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,40920,0.0-5.0-0.4,ogbopdp7,,,,,,422.0,2,57ff0e138f420f00011a5d0e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,41482,0.0-5.0-0.5,ogbopdp7,,,,,,561.0,3,57ff0e138f420f00011a5d0e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,41921,0.0-5.0-0.6,ogbopdp7,,,,,,439.0,1,57ff0e138f420f00011a5d0e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,42385,0.0-5.0-0.7,ogbopdp7,,,,,,464.0,2,57ff0e138f420f00011a5d0e,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,42826,0.0-5.0-0.8,ogbopdp7,,,,,,441.0,3,57ff0e138f420f00011a5d0e,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,43273,0.0-5.0-0.9,ogbopdp7,,,,,,447.0,2,57ff0e138f420f00011a5d0e,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,43681,0.0-5.0-0.10,ogbopdp7,,,,,,408.0,1,57ff0e138f420f00011a5d0e,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,44170,0.0-5.0-0.11,ogbopdp7,,,,,,489.0,3,57ff0e138f420f00011a5d0e,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,58255,0.0-6.0-0.0,ogbopdp7,,,,,,14085.0,,57ff0e138f420f00011a5d0e,"[{""page_index"":0,""viewing_time"":817},{""page_index"":1,""viewing_time"":3523},{""page_index"":2,""viewing_time"":8376},{""page_index"":3,""viewing_time"":1368}]",,,,,,,,,,,,,,,,,
introduction,19,69291,0.0-8.0-0.0,ogbopdp7,,,,,,,,57ff0e138f420f00011a5d0e,,img/Red_circle.png,1491.0,calibration,,,,,,,,,,,,,,
introduction,20,71133,0.0-8.0-1.0-0.0,ogbopdp7,,,,,,1841.0,3232,57ff0e138f420f00011a5d0e,,3232,,calibration,,,,,,,,,,,,,,
