trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10653,0.0-2.0,n0colzmh,,,,,,7527.0,582c71a66ef28c00019a1068,582c71a66ef28c00019a1068,,,,,,,,,,,,,,,,,,
introduction,3,18027,0.0-3.0,n0colzmh,,,,,,7373.0,582c71a66ef28c00019a1068,582c71a66ef28c00019a1068,,,,,,,,,,,,,,,,,,
introduction,4,99038,0.0-4.0-0.0,n0colzmh,,,,,,81011.0,,582c71a66ef28c00019a1068,"[{""page_index"":0,""viewing_time"":1757},{""page_index"":1,""viewing_time"":78335},{""page_index"":2,""viewing_time"":918}]",,,,,,,,,,,,,,,,,
introduction,5,100041,0.0-5.0-0.0,n0colzmh,,,,,,1003.0,1,582c71a66ef28c00019a1068,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,100541,0.0-5.0-0.1,n0colzmh,,,,,,499.0,2,582c71a66ef28c00019a1068,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,101279,0.0-5.0-0.2,n0colzmh,,,,,,737.0,1,582c71a66ef28c00019a1068,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,101924,0.0-5.0-0.3,n0colzmh,,,,,,644.0,3,582c71a66ef28c00019a1068,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,102649,0.0-5.0-0.4,n0colzmh,,,,,,725.0,2,582c71a66ef28c00019a1068,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,103234,0.0-5.0-0.5,n0colzmh,,,,,,584.0,3,582c71a66ef28c00019a1068,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,103799,0.0-5.0-0.6,n0colzmh,,,,,,565.0,1,582c71a66ef28c00019a1068,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,104357,0.0-5.0-0.7,n0colzmh,,,,,,557.0,2,582c71a66ef28c00019a1068,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,104825,0.0-5.0-0.8,n0colzmh,,,,,,467.0,3,582c71a66ef28c00019a1068,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,105399,0.0-5.0-0.9,n0colzmh,,,,,,574.0,2,582c71a66ef28c00019a1068,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,105885,0.0-5.0-0.10,n0colzmh,,,,,,485.0,1,582c71a66ef28c00019a1068,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,106399,0.0-5.0-0.11,n0colzmh,,,,,,514.0,3,582c71a66ef28c00019a1068,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,274287,0.0-6.0-0.0,n0colzmh,,,,,,167889.0,,582c71a66ef28c00019a1068,"[{""page_index"":0,""viewing_time"":2043},{""page_index"":1,""viewing_time"":2782},{""page_index"":2,""viewing_time"":161827},{""page_index"":3,""viewing_time"":1237}]",,,,,,,,,,,,,,,,,
introduction,19,285072,0.0-8.0-0.0,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,img/Red_circle.png,2209.0,calibration,,,,,,,,,,,,,,
introduction,20,287300,0.0-8.0-1.0-0.0,n0colzmh,,,,,,2226.0,3332,582c71a66ef28c00019a1068,,3332,,calibration,,,,,,,,,,,,,,
introduction,21,287301,0.0-8.0-2.0,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,,,,,,,,,,,,,,,,,
introduction,22,289311,0.0-8.0-0.1,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,<p>CAREFUL. That was too slow.</p>,1219.0,calibration,,,,,,,,,,,,,,
introduction,23,291195,0.0-8.0-1.1-0.1,n0colzmh,,,,,,1882.0,3231,582c71a66ef28c00019a1068,,3231,,calibration,,,,,,,,,,,,,,
introduction,24,291195,0.0-8.0-2.1,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,,,,,,,,,,,,,,,,,
introduction,25,292423,0.0-8.0-0.2,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,img/Red_circle.png,2801.0,calibration,,,,,,,,,,,,,,
introduction,26,294085,0.0-8.0-1.2-0.2,n0colzmh,,,,,,1660.0,232,582c71a66ef28c00019a1068,,232,,calibration,,,,,,,,,,,,,,
introduction,27,294085,0.0-8.0-2.2,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,,,,,,,,,,,,,,,,,
introduction,28,296095,0.0-8.0-0.3,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,<p>CAREFUL. That was too slow.</p>,2609.0,calibration,,,,,,,,,,,,,,
introduction,29,298044,0.0-8.0-1.3-0.3,n0colzmh,,,,,,1946.0,3221,582c71a66ef28c00019a1068,,3221,,calibration,,,,,,,,,,,,,,
introduction,30,298044,0.0-8.0-2.3,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,,,,,,,,,,,,,,,,,
introduction,31,300045,0.0-8.0-0.4,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,<p>CAREFUL. That was too slow.</p>,3202.0,calibration,,,,,,,,,,,,,,
introduction,32,301756,0.0-8.0-1.4-0.4,n0colzmh,,,,,,1709.0,3113,582c71a66ef28c00019a1068,,3113,,calibration,,,,,,,,,,,,,,
introduction,33,301756,0.0-8.0-2.4,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,,,,,,,,,,,,,,,,,
introduction,34,303765,0.0-8.0-0.5,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,<p>CAREFUL. That was too slow.</p>,1843.0,calibration,,,,,,,,,,,,,,
introduction,35,305865,0.0-8.0-1.5-0.5,n0colzmh,,,,,,2096.0,1211,582c71a66ef28c00019a1068,,1211,,calibration,,,,,,,,,,,,,,
introduction,36,305865,0.0-8.0-2.5,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,,,,,,,,,,,,,,,,,
introduction,37,307713,0.0-8.0-0.6,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,img/Red_circle.png,3264.0,calibration,,,,,,,,,,,,,,
introduction,38,309293,0.0-8.0-1.6-0.6,n0colzmh,,,,,,1579.0,3223,582c71a66ef28c00019a1068,,3223,,calibration,,,,,,,,,,,,,,
introduction,39,309293,0.0-8.0-2.6,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,,,,,,,,,,,,,,,,,
introduction,40,311305,0.0-8.0-0.7,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,<p>CAREFUL. That was too slow.</p>,3269.0,calibration,,,,,,,,,,,,,,
introduction,41,312728,0.0-8.0-1.7-0.7,n0colzmh,,,,,,1419.0,123,582c71a66ef28c00019a1068,,123,,calibration,,,,,,,,,,,,,,
introduction,42,312728,0.0-8.0-2.7,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,,,,,,,,,,,,,,,,,
introduction,43,314737,0.0-8.0-0.8,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,<p>CAREFUL. That was too slow.</p>,2182.0,calibration,,,,,,,,,,,,,,
introduction,44,316398,0.0-8.0-1.8-0.8,n0colzmh,,,,,,1659.0,1212,582c71a66ef28c00019a1068,,1212,,calibration,,,,,,,,,,,,,,
introduction,45,316398,0.0-8.0-2.8,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,,,,,,,,,,,,,,,,,
introduction,46,318406,0.0-8.0-0.9,n0colzmh,,,,,,,,582c71a66ef28c00019a1068,,<p>CAREFUL. That was too slow.</p>,2101.0,calibration,,,,,,,,,,,,,,
