trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8433,0.0-2.0,1lqygsyy,,,,,,5971.0,583b397f54686200010f1d20,583b397f54686200010f1d20,,,,,,,,,,,,,,,,,,
introduction,3,11640,0.0-3.0,1lqygsyy,,,,,,3206.0,583b397f54686200010f1d20,583b397f54686200010f1d20,,,,,,,,,,,,,,,,,,
introduction,4,18587,0.0-4.0-0.0,1lqygsyy,,,,,,6947.0,,583b397f54686200010f1d20,"[{""page_index"":0,""viewing_time"":905},{""page_index"":1,""viewing_time"":4885},{""page_index"":2,""viewing_time"":1157}]",,,,,,,,,,,,,,,,,
introduction,5,20703,0.0-5.0-0.0,1lqygsyy,,,,,,2116.0,1,583b397f54686200010f1d20,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,21027,0.0-5.0-0.1,1lqygsyy,,,,,,323.0,2,583b397f54686200010f1d20,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,21338,0.0-5.0-0.2,1lqygsyy,,,,,,310.0,1,583b397f54686200010f1d20,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,22380,0.0-5.0-0.3,1lqygsyy,,,,,,1041.0,3,583b397f54686200010f1d20,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,23189,0.0-5.0-0.4,1lqygsyy,,,,,,808.0,2,583b397f54686200010f1d20,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,24000,0.0-5.0-0.5,1lqygsyy,,,,,,810.0,3,583b397f54686200010f1d20,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,24772,0.0-5.0-0.6,1lqygsyy,,,,,,772.0,1,583b397f54686200010f1d20,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,25368,0.0-5.0-0.7,1lqygsyy,,,,,,595.0,2,583b397f54686200010f1d20,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,26164,0.0-5.0-0.8,1lqygsyy,,,,,,796.0,3,583b397f54686200010f1d20,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,27079,0.0-5.0-0.9,1lqygsyy,,,,,,914.0,2,583b397f54686200010f1d20,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,27432,0.0-5.0-0.10,1lqygsyy,,,,,,353.0,1,583b397f54686200010f1d20,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,28107,0.0-5.0-0.11,1lqygsyy,,,,,,674.0,3,583b397f54686200010f1d20,,Press: 3,,,,,,,,,,,,,,,,
