trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,12776,0.0-2.0,sok8dcbz,,,,,,7476.0,588f1a4f7f238e000133c03f,588f1a4f7f238e000133c03f,,,,,,,,,,,,,,,,,,
introduction,3,16248,0.0-3.0,sok8dcbz,,,,,,3471.0,588f1a4f7f238e000133c03f,588f1a4f7f238e000133c03f,,,,,,,,,,,,,,,,,,
introduction,4,25357,0.0-4.0-0.0,sok8dcbz,,,,,,9108.0,,588f1a4f7f238e000133c03f,"[{""page_index"":0,""viewing_time"":1417},{""page_index"":1,""viewing_time"":5613},{""page_index"":2,""viewing_time"":2078}]",,,,,,,,,,,,,,,,,
introduction,5,25985,0.0-5.0-0.0,sok8dcbz,,,,,,627.0,1,588f1a4f7f238e000133c03f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,26414,0.0-5.0-0.1,sok8dcbz,,,,,,429.0,2,588f1a4f7f238e000133c03f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,27024,0.0-5.0-0.2,sok8dcbz,,,,,,610.0,1,588f1a4f7f238e000133c03f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,27602,0.0-5.0-0.3,sok8dcbz,,,,,,577.0,3,588f1a4f7f238e000133c03f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,28152,0.0-5.0-0.4,sok8dcbz,,,,,,550.0,2,588f1a4f7f238e000133c03f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,28751,0.0-5.0-0.5,sok8dcbz,,,,,,598.0,3,588f1a4f7f238e000133c03f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,29361,0.0-5.0-0.6,sok8dcbz,,,,,,609.0,1,588f1a4f7f238e000133c03f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,29899,0.0-5.0-0.7,sok8dcbz,,,,,,538.0,2,588f1a4f7f238e000133c03f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,30360,0.0-5.0-0.8,sok8dcbz,,,,,,461.0,3,588f1a4f7f238e000133c03f,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,30911,0.0-5.0-0.9,sok8dcbz,,,,,,550.0,2,588f1a4f7f238e000133c03f,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,31464,0.0-5.0-0.10,sok8dcbz,,,,,,553.0,1,588f1a4f7f238e000133c03f,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,32072,0.0-5.0-0.11,sok8dcbz,,,,,,608.0,3,588f1a4f7f238e000133c03f,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,49215,0.0-6.0-0.0,sok8dcbz,,,,,,17142.0,,588f1a4f7f238e000133c03f,"[{""page_index"":0,""viewing_time"":1038},{""page_index"":1,""viewing_time"":2443},{""page_index"":2,""viewing_time"":12136},{""page_index"":3,""viewing_time"":1525}]",,,,,,,,,,,,,,,,,
introduction,19,59448,0.0-8.0-0.0,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,img/Red_circle.png,2913.0,calibration,,,,,,,,,,,,,,
introduction,20,61701,0.0-8.0-1.0-0.0,sok8dcbz,,,,,,2249.0,1221,588f1a4f7f238e000133c03f,,1221,,calibration,,,,,,,,,,,,,,
introduction,21,61702,0.0-8.0-2.0,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,,,,,,,,,,,,,,,,,
introduction,22,63713,0.0-8.0-0.1,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,<p>CAREFUL. That was too slow.</p>,2821.0,calibration,,,,,,,,,,,,,,
introduction,23,66061,0.0-8.0-1.1-0.1,sok8dcbz,,,,,,2346.0,2133,588f1a4f7f238e000133c03f,,2133,,calibration,,,,,,,,,,,,,,
introduction,24,66062,0.0-8.0-2.1,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,,,,,,,,,,,,,,,,,
introduction,25,68074,0.0-8.0-0.2,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,<p>CAREFUL. That was too slow.</p>,2942.0,calibration,,,,,,,,,,,,,,
introduction,26,70336,0.0-8.0-1.2-0.2,sok8dcbz,,,,,,2258.0,2211,588f1a4f7f238e000133c03f,,2211,,calibration,,,,,,,,,,,,,,
introduction,27,70337,0.0-8.0-2.2,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,,,,,,,,,,,,,,,,,
introduction,28,72339,0.0-8.0-0.3,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,<p>CAREFUL. That was too slow.</p>,2053.0,calibration,,,,,,,,,,,,,,
introduction,29,73961,0.0-8.0-1.3-0.3,sok8dcbz,,,,,,1615.0,2231,588f1a4f7f238e000133c03f,,2231,,calibration,,,,,,,,,,,,,,
introduction,30,73961,0.0-8.0-2.3,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,,,,,,,,,,,,,,,,,
introduction,31,75973,0.0-8.0-0.4,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,<p>CAREFUL. That was too slow.</p>,3193.0,calibration,,,,,,,,,,,,,,
introduction,32,78173,0.0-8.0-1.4-0.4,sok8dcbz,,,,,,2197.0,2212,588f1a4f7f238e000133c03f,,2212,,calibration,,,,,,,,,,,,,,
introduction,33,78173,0.0-8.0-2.4,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,,,,,,,,,,,,,,,,,
introduction,34,80179,0.0-8.0-0.5,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,<p>CAREFUL. That was too slow.</p>,1679.0,calibration,,,,,,,,,,,,,,
introduction,35,81687,0.0-8.0-1.5-0.5,sok8dcbz,,,,,,1507.0,32,588f1a4f7f238e000133c03f,,32,,calibration,,,,,,,,,,,,,,
introduction,36,81687,0.0-8.0-2.5,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,,,,,,,,,,,,,,,,,
introduction,37,83381,0.0-8.0-0.6,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,img/Red_circle.png,2194.0,calibration,,,,,,,,,,,,,,
introduction,38,85198,0.0-8.0-1.6-0.6,sok8dcbz,,,,,,1815.0,1323,588f1a4f7f238e000133c03f,,1323,,calibration,,,,,,,,,,,,,,
introduction,39,85199,0.0-8.0-2.6,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,,,,,,,,,,,,,,,,,
introduction,40,87207,0.0-8.0-0.7,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,<p>CAREFUL. That was too slow.</p>,1182.0,calibration,,,,,,,,,,,,,,
introduction,41,88998,0.0-8.0-1.7-0.7,sok8dcbz,,,,,,1790.0,3313,588f1a4f7f238e000133c03f,,3313,,calibration,,,,,,,,,,,,,,
introduction,42,88998,0.0-8.0-2.7,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,,,,,,,,,,,,,,,,,
introduction,43,90183,0.0-8.0-0.8,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,img/Red_circle.png,3265.0,calibration,,,,,,,,,,,,,,
introduction,44,92086,0.0-8.0-1.8-0.8,sok8dcbz,,,,,,1901.0,1233,588f1a4f7f238e000133c03f,,1233,,calibration,,,,,,,,,,,,,,
introduction,45,92086,0.0-8.0-2.8,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,,,,,,,,,,,,,,,,,
introduction,46,94094,0.0-8.0-0.9,sok8dcbz,,,,,,,,588f1a4f7f238e000133c03f,,<p>CAREFUL. That was too slow.</p>,3425.0,calibration,,,,,,,,,,,,,,
