trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10587,0.0-2.0,yjn83kyf,,,,,,6290.0,59b941556495ef00019fbc80,59b941556495ef00019fbc80,,,,,,,,,,,,,,,,,,
introduction,3,14148,0.0-3.0,yjn83kyf,,,,,,3556.0,59b941556495ef00019fbc80,59b941556495ef00019fbc80,,,,,,,,,,,,,,,,,,
introduction,4,25060,0.0-4.0-0.0,yjn83kyf,,,,,,10910.0,,59b941556495ef00019fbc80,"[{""page_index"":0,""viewing_time"":1310},{""page_index"":1,""viewing_time"":8481},{""page_index"":2,""viewing_time"":1118}]",,,,,,,,,,,,,,,,,
introduction,5,26811,0.0-5.0-0.0,yjn83kyf,,,,,,1748.0,1,59b941556495ef00019fbc80,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,27690,0.0-5.0-0.1,yjn83kyf,,,,,,878.0,2,59b941556495ef00019fbc80,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,28450,0.0-5.0-0.2,yjn83kyf,,,,,,759.0,1,59b941556495ef00019fbc80,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,29098,0.0-5.0-0.3,yjn83kyf,,,,,,648.0,3,59b941556495ef00019fbc80,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,29714,0.0-5.0-0.4,yjn83kyf,,,,,,615.0,2,59b941556495ef00019fbc80,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,30313,0.0-5.0-0.5,yjn83kyf,,,,,,599.0,3,59b941556495ef00019fbc80,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,31002,0.0-5.0-0.6,yjn83kyf,,,,,,688.0,1,59b941556495ef00019fbc80,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,31666,0.0-5.0-0.7,yjn83kyf,,,,,,664.0,2,59b941556495ef00019fbc80,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,32170,0.0-5.0-0.8,yjn83kyf,,,,,,503.0,3,59b941556495ef00019fbc80,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,32851,0.0-5.0-0.9,yjn83kyf,,,,,,680.0,2,59b941556495ef00019fbc80,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,33337,0.0-5.0-0.10,yjn83kyf,,,,,,485.0,1,59b941556495ef00019fbc80,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,33850,0.0-5.0-0.11,yjn83kyf,,,,,,512.0,3,59b941556495ef00019fbc80,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,63321,0.0-6.0-0.0,yjn83kyf,,,,,,29472.0,,59b941556495ef00019fbc80,"[{""page_index"":0,""viewing_time"":2288},{""page_index"":1,""viewing_time"":4040},{""page_index"":2,""viewing_time"":22064},{""page_index"":3,""viewing_time"":1080}]",,,,,,,,,,,,,,,,,
introduction,19,80307,0.0-8.0-0.0,yjn83kyf,,,,,,,,59b941556495ef00019fbc80,,img/Red_circle.png,1566.0,calibration,,,,,,,,,,,,,,
introduction,20,83160,0.0-8.0-1.0-0.0,yjn83kyf,,,,,,2849.0,131,59b941556495ef00019fbc80,,131,,calibration,,,,,,,,,,,,,,
introduction,21,83163,0.0-8.0-2.0,yjn83kyf,,,,,,,,59b941556495ef00019fbc80,,,,,,,,,,,,,,,,,,
introduction,22,84750,0.0-8.0-0.1,yjn83kyf,,,,,,,,59b941556495ef00019fbc80,,img/Red_circle.png,3478.0,calibration,,,,,,,,,,,,,,
introduction,23,86961,0.0-8.0-1.1-0.1,yjn83kyf,,,,,,2200.0,3322,59b941556495ef00019fbc80,,3322,,calibration,,,,,,,,,,,,,,
introduction,24,86963,0.0-8.0-2.1,yjn83kyf,,,,,,,,59b941556495ef00019fbc80,,,,,,,,,,,,,,,,,,
introduction,25,88968,0.0-8.0-0.2,yjn83kyf,,,,,,,,59b941556495ef00019fbc80,,<p>CAREFUL. That was too slow.</p>,3287.0,calibration,,,,,,,,,,,,,,
introduction,26,93026,0.0-8.0-1.2-0.2,yjn83kyf,,,,,,4054.0,3131,59b941556495ef00019fbc80,,3131,,calibration,,,,,,,,,,,,,,
introduction,27,95039,0.0-8.0-2.2,yjn83kyf,,,,,,,,59b941556495ef00019fbc80,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,98329,0.0-8.0-0.3,yjn83kyf,,,,,,,,59b941556495ef00019fbc80,,img/Red_circle.png,1873.0,calibration,,,,,,,,,,,,,,
introduction,29,100665,0.0-8.0-1.3-0.3,yjn83kyf,,,,,,2330.0,2221,59b941556495ef00019fbc80,,2221,,calibration,,,,,,,,,,,,,,
introduction,30,100666,0.0-8.0-2.3,yjn83kyf,,,,,,,,59b941556495ef00019fbc80,,,,,,,,,,,,,,,,,,
introduction,31,102547,0.0-8.0-0.4,yjn83kyf,,,,,,,,59b941556495ef00019fbc80,,img/Red_circle.png,1870.0,calibration,,,,,,,,,,,,,,
introduction,32,104977,0.0-8.0-1.4-0.4,yjn83kyf,,,,,,2424.0,3211,59b941556495ef00019fbc80,,3211,,calibration,,,,,,,,,,,,,,
introduction,33,104978,0.0-8.0-2.4,yjn83kyf,,,,,,,,59b941556495ef00019fbc80,,,,,,,,,,,,,,,,,,
