trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,14344,0.0-2.0,kdz2upwu,,,,,,11282.0,5a2f1f0f2937000001eae2b1,5a2f1f0f2937000001eae2b1,,,,,,,,,,,,,,,,,,
introduction,3,17559,0.0-3.0,kdz2upwu,,,,,,3214.0,5a2f1f0f2937000001eae2b1,5a2f1f0f2937000001eae2b1,,,,,,,,,,,,,,,,,,
introduction,4,32928,0.0-4.0-0.0,kdz2upwu,,,,,,15368.0,,5a2f1f0f2937000001eae2b1,"[{""page_index"":0,""viewing_time"":1258},{""page_index"":1,""viewing_time"":13085},{""page_index"":2,""viewing_time"":1024}]",,,,,,,,,,,,,,,,,
introduction,5,34140,0.0-5.0-0.0,kdz2upwu,,,,,,1211.0,1,5a2f1f0f2937000001eae2b1,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,35234,0.0-5.0-0.1,kdz2upwu,,,,,,1093.0,2,5a2f1f0f2937000001eae2b1,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,36153,0.0-5.0-0.2,kdz2upwu,,,,,,919.0,1,5a2f1f0f2937000001eae2b1,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,36864,0.0-5.0-0.3,kdz2upwu,,,,,,711.0,3,5a2f1f0f2937000001eae2b1,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,37481,0.0-5.0-0.4,kdz2upwu,,,,,,617.0,2,5a2f1f0f2937000001eae2b1,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,38058,0.0-5.0-0.5,kdz2upwu,,,,,,577.0,3,5a2f1f0f2937000001eae2b1,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,38697,0.0-5.0-0.6,kdz2upwu,,,,,,639.0,1,5a2f1f0f2937000001eae2b1,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,39330,0.0-5.0-0.7,kdz2upwu,,,,,,633.0,2,5a2f1f0f2937000001eae2b1,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,39873,0.0-5.0-0.8,kdz2upwu,,,,,,542.0,3,5a2f1f0f2937000001eae2b1,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,40522,0.0-5.0-0.9,kdz2upwu,,,,,,649.0,2,5a2f1f0f2937000001eae2b1,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,41057,0.0-5.0-0.10,kdz2upwu,,,,,,534.0,1,5a2f1f0f2937000001eae2b1,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,41947,0.0-5.0-0.11,kdz2upwu,,,,,,890.0,3,5a2f1f0f2937000001eae2b1,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,92682,0.0-6.0-0.0,kdz2upwu,,,,,,50681.0,,5a2f1f0f2937000001eae2b1,"[{""page_index"":0,""viewing_time"":1985},{""page_index"":1,""viewing_time"":3660},{""page_index"":2,""viewing_time"":43544},{""page_index"":3,""viewing_time"":1492}]",,,,,,,,,,,,,,,,,
introduction,19,116337,0.0-8.0-0.0,kdz2upwu,,,,,,,,5a2f1f0f2937000001eae2b1,,img/Red_circle.png,1955.0,calibration,,,,,,,,,,,,,,
introduction,20,118834,0.0-8.0-1.0-0.0,kdz2upwu,,,,,,2495.0,3122,5a2f1f0f2937000001eae2b1,,3122,,calibration,,,,,,,,,,,,,,
introduction,21,118835,0.0-8.0-2.0,kdz2upwu,,,,,,,,5a2f1f0f2937000001eae2b1,,,,,,,,,,,,,,,,,,
introduction,22,120793,0.0-8.0-0.1,kdz2upwu,,,,,,,,5a2f1f0f2937000001eae2b1,,img/Red_circle.png,1202.0,calibration,,,,,,,,,,,,,,
introduction,23,122722,0.0-8.0-1.1-0.1,kdz2upwu,,,,,,1927.0,1231,5a2f1f0f2937000001eae2b1,,1231,,calibration,,,,,,,,,,,,,,
introduction,24,122723,0.0-8.0-2.1,kdz2upwu,,,,,,,,5a2f1f0f2937000001eae2b1,,,,,,,,,,,,,,,,,,
introduction,25,123928,0.0-8.0-0.2,kdz2upwu,,,,,,,,5a2f1f0f2937000001eae2b1,,img/Red_circle.png,2736.0,calibration,,,,,,,,,,,,,,
introduction,26,126066,0.0-8.0-1.2-0.2,kdz2upwu,,,,,,2136.0,2121,5a2f1f0f2937000001eae2b1,,2121,,calibration,,,,,,,,,,,,,,
introduction,27,126067,0.0-8.0-2.2,kdz2upwu,,,,,,,,5a2f1f0f2937000001eae2b1,,,,,,,,,,,,,,,,,,
introduction,28,128068,0.0-8.0-0.3,kdz2upwu,,,,,,,,5a2f1f0f2937000001eae2b1,,<p>CAREFUL. That was too slow.</p>,1922.0,calibration,,,,,,,,,,,,,,
introduction,29,129986,0.0-8.0-1.3-0.3,kdz2upwu,,,,,,1916.0,2122,5a2f1f0f2937000001eae2b1,,2122,,calibration,,,,,,,,,,,,,,
introduction,30,129987,0.0-8.0-2.3,kdz2upwu,,,,,,,,5a2f1f0f2937000001eae2b1,,,,,,,,,,,,,,,,,,
introduction,31,131911,0.0-8.0-0.4,kdz2upwu,,,,,,,,5a2f1f0f2937000001eae2b1,,img/Red_circle.png,1015.0,calibration,,,,,,,,,,,,,,
introduction,32,135426,0.0-8.0-1.4-0.4,kdz2upwu,,,,,,3513.0,1131,5a2f1f0f2937000001eae2b1,,1131,,calibration,,,,,,,,,,,,,,
introduction,33,137429,0.0-8.0-2.4,kdz2upwu,,,,,,,,5a2f1f0f2937000001eae2b1,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,34,138447,0.0-8.0-0.5,kdz2upwu,,,,,,,,5a2f1f0f2937000001eae2b1,,img/Red_circle.png,3309.0,calibration,,,,,,,,,,,,,,
introduction,35,140281,0.0-8.0-1.5-0.5,kdz2upwu,,,,,,1831.0,3111,5a2f1f0f2937000001eae2b1,,3111,,calibration,,,,,,,,,,,,,,
