trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10633,0.0-2.0,o62c0fax,,,,,,4114.0,5a6fd0626923df0001ef977b,5a6fd0626923df0001ef977b,,,,,,,,,,,,,,,,,,
introduction,3,15336,0.0-3.0,o62c0fax,,,,,,4697.0,5a6fd0626923df0001ef977b,5a6fd0626923df0001ef977b,,,,,,,,,,,,,,,,,,
introduction,4,26988,0.0-4.0-0.0,o62c0fax,,,,,,11650.0,,5a6fd0626923df0001ef977b,"[{""page_index"":0,""viewing_time"":1432},{""page_index"":1,""viewing_time"":8604},{""page_index"":2,""viewing_time"":1614}]",,,,,,,,,,,,,,,,,
introduction,5,27709,0.0-5.0-0.0,o62c0fax,,,,,,720.0,1,5a6fd0626923df0001ef977b,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,28242,0.0-5.0-0.1,o62c0fax,,,,,,532.0,2,5a6fd0626923df0001ef977b,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,28905,0.0-5.0-0.2,o62c0fax,,,,,,663.0,1,5a6fd0626923df0001ef977b,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,29556,0.0-5.0-0.3,o62c0fax,,,,,,650.0,3,5a6fd0626923df0001ef977b,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,30105,0.0-5.0-0.4,o62c0fax,,,,,,548.0,2,5a6fd0626923df0001ef977b,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,30684,0.0-5.0-0.5,o62c0fax,,,,,,577.0,3,5a6fd0626923df0001ef977b,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,31224,0.0-5.0-0.6,o62c0fax,,,,,,541.0,1,5a6fd0626923df0001ef977b,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,31755,0.0-5.0-0.7,o62c0fax,,,,,,530.0,2,5a6fd0626923df0001ef977b,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,32261,0.0-5.0-0.8,o62c0fax,,,,,,506.0,3,5a6fd0626923df0001ef977b,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,32824,0.0-5.0-0.9,o62c0fax,,,,,,563.0,2,5a6fd0626923df0001ef977b,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,33308,0.0-5.0-0.10,o62c0fax,,,,,,482.0,1,5a6fd0626923df0001ef977b,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,33771,0.0-5.0-0.11,o62c0fax,,,,,,462.0,3,5a6fd0626923df0001ef977b,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,56650,0.0-6.0-0.0,o62c0fax,,,,,,22878.0,,5a6fd0626923df0001ef977b,"[{""page_index"":0,""viewing_time"":1319},{""page_index"":1,""viewing_time"":4396},{""page_index"":2,""viewing_time"":15678},{""page_index"":3,""viewing_time"":1485}]",,,,,,,,,,,,,,,,,
introduction,19,77155,0.0-8.0-0.0,o62c0fax,,,,,,,,5a6fd0626923df0001ef977b,,img/Red_circle.png,2368.0,calibration,,,,,,,,,,,,,,
introduction,20,79023,0.0-8.0-1.0-0.0,o62c0fax,,,,,,1865.0,1121,5a6fd0626923df0001ef977b,,1121,,calibration,,,,,,,,,,,,,,
introduction,21,79025,0.0-8.0-2.0,o62c0fax,,,,,,,,5a6fd0626923df0001ef977b,,,,,,,,,,,,,,,,,,
introduction,22,81034,0.0-8.0-0.1,o62c0fax,,,,,,,,5a6fd0626923df0001ef977b,,<p>CAREFUL. That was too slow.</p>,1292.0,calibration,,,,,,,,,,,,,,
introduction,23,82482,0.0-8.0-1.1-0.1,o62c0fax,,,,,,1446.0,2232,5a6fd0626923df0001ef977b,,2232,,calibration,,,,,,,,,,,,,,
introduction,24,82484,0.0-8.0-2.1,o62c0fax,,,,,,,,5a6fd0626923df0001ef977b,,,,,,,,,,,,,,,,,,
introduction,25,83782,0.0-8.0-0.2,o62c0fax,,,,,,,,5a6fd0626923df0001ef977b,,img/Red_circle.png,2539.0,calibration,,,,,,,,,,,,,,
introduction,26,85545,0.0-8.0-1.2-0.2,o62c0fax,,,,,,1761.0,3313,5a6fd0626923df0001ef977b,,3313,,calibration,,,,,,,,,,,,,,
introduction,27,85546,0.0-8.0-2.2,o62c0fax,,,,,,,,5a6fd0626923df0001ef977b,,,,,,,,,,,,,,,,,,
introduction,28,87551,0.0-8.0-0.3,o62c0fax,,,,,,,,5a6fd0626923df0001ef977b,,<p>CAREFUL. That was too slow.</p>,1874.0,calibration,,,,,,,,,,,,,,
introduction,29,89284,0.0-8.0-1.3-0.3,o62c0fax,,,,,,1730.0,3312,5a6fd0626923df0001ef977b,,3312,,calibration,,,,,,,,,,,,,,
