trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6184,0.0-2.0,dg8f4sll,,,,,,3453.0,5a708ef2f1530b000103bfab,5a708ef2f1530b000103bfab,,,,,,,,,,,,,,,,,,
introduction,3,8721,0.0-3.0,dg8f4sll,,,,,,2536.0,5a708ef2f1530b000103bfab,5a708ef2f1530b000103bfab,,,,,,,,,,,,,,,,,,
introduction,4,15987,0.0-4.0-0.0,dg8f4sll,,,,,,7265.0,,5a708ef2f1530b000103bfab,"[{""page_index"":0,""viewing_time"":1019},{""page_index"":1,""viewing_time"":4254},{""page_index"":2,""viewing_time"":1991}]",,,,,,,,,,,,,,,,,
introduction,5,16917,0.0-5.0-0.0,dg8f4sll,,,,,,928.0,1,5a708ef2f1530b000103bfab,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,17399,0.0-5.0-0.1,dg8f4sll,,,,,,480.0,2,5a708ef2f1530b000103bfab,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,17838,0.0-5.0-0.2,dg8f4sll,,,,,,438.0,1,5a708ef2f1530b000103bfab,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,18230,0.0-5.0-0.3,dg8f4sll,,,,,,391.0,3,5a708ef2f1530b000103bfab,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,18666,0.0-5.0-0.4,dg8f4sll,,,,,,434.0,2,5a708ef2f1530b000103bfab,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,19103,0.0-5.0-0.5,dg8f4sll,,,,,,437.0,3,5a708ef2f1530b000103bfab,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,19585,0.0-5.0-0.6,dg8f4sll,,,,,,481.0,1,5a708ef2f1530b000103bfab,,Press: 1,,,,,,,,,,,,,,,,
