trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,12845,0.0-2.0,4aewcpyk,,,,,,9844.0,5aad68f74ea21d000101c20c,5aad68f74ea21d000101c20c,,,,,,,,,,,,,,,,,,
introduction,3,16536,0.0-3.0,4aewcpyk,,,,,,3682.0,5aad68f74ea21d000101c20c,5aad68f74ea21d000101c20c,,,,,,,,,,,,,,,,,,
introduction,4,25056,0.0-4.0-0.0,4aewcpyk,,,,,,8518.0,,5aad68f74ea21d000101c20c,"[{""page_index"":0,""viewing_time"":1125},{""page_index"":1,""viewing_time"":6429},{""page_index"":2,""viewing_time"":962}]",,,,,,,,,,,,,,,,,
introduction,5,26793,0.0-5.0-0.0,4aewcpyk,,,,,,1734.0,1,5aad68f74ea21d000101c20c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,27499,0.0-5.0-0.1,4aewcpyk,,,,,,705.0,2,5aad68f74ea21d000101c20c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,28444,0.0-5.0-0.2,4aewcpyk,,,,,,944.0,1,5aad68f74ea21d000101c20c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,29179,0.0-5.0-0.3,4aewcpyk,,,,,,734.0,3,5aad68f74ea21d000101c20c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,29888,0.0-5.0-0.4,4aewcpyk,,,,,,707.0,2,5aad68f74ea21d000101c20c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,30706,0.0-5.0-0.5,4aewcpyk,,,,,,817.0,3,5aad68f74ea21d000101c20c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,31378,0.0-5.0-0.6,4aewcpyk,,,,,,670.0,1,5aad68f74ea21d000101c20c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,31983,0.0-5.0-0.7,4aewcpyk,,,,,,604.0,2,5aad68f74ea21d000101c20c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,32515,0.0-5.0-0.8,4aewcpyk,,,,,,532.0,3,5aad68f74ea21d000101c20c,,Press: 3,,,,,,,,,,,,,,,,
