trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,27542,0.0-2.0,45rsb0xa,,,,,,2747.0,5ab3fc4b5f01000001cb07e2,5ab3fc4b5f01000001cb07e2,,,,,,,,,,,,,,,,,,
introduction,3,29970,0.0-3.0,45rsb0xa,,,,,,2426.0,5ab3fc4b5f01000001cb07e2,5ab3fc4b5f01000001cb07e2,,,,,,,,,,,,,,,,,,
introduction,4,39140,0.0-4.0-0.0,45rsb0xa,,,,,,9168.0,,5ab3fc4b5f01000001cb07e2,"[{""page_index"":0,""viewing_time"":899},{""page_index"":1,""viewing_time"":6097},{""page_index"":2,""viewing_time"":2172}]",,,,,,,,,,,,,,,,,
introduction,5,39658,0.0-5.0-0.0,45rsb0xa,,,,,,517.0,1,5ab3fc4b5f01000001cb07e2,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,40084,0.0-5.0-0.1,45rsb0xa,,,,,,427.0,2,5ab3fc4b5f01000001cb07e2,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,40872,0.0-5.0-0.2,45rsb0xa,,,,,,787.0,1,5ab3fc4b5f01000001cb07e2,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,42413,0.0-5.0-0.3,45rsb0xa,,,,,,1541.0,3,5ab3fc4b5f01000001cb07e2,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,43021,0.0-5.0-0.4,45rsb0xa,,,,,,607.0,2,5ab3fc4b5f01000001cb07e2,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,43571,0.0-5.0-0.5,45rsb0xa,,,,,,551.0,3,5ab3fc4b5f01000001cb07e2,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,44258,0.0-5.0-0.6,45rsb0xa,,,,,,686.0,1,5ab3fc4b5f01000001cb07e2,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,44843,0.0-5.0-0.7,45rsb0xa,,,,,,584.0,2,5ab3fc4b5f01000001cb07e2,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,45417,0.0-5.0-0.8,45rsb0xa,,,,,,573.0,3,5ab3fc4b5f01000001cb07e2,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,46001,0.0-5.0-0.9,45rsb0xa,,,,,,585.0,2,5ab3fc4b5f01000001cb07e2,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,46508,0.0-5.0-0.10,45rsb0xa,,,,,,507.0,1,5ab3fc4b5f01000001cb07e2,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,47363,0.0-5.0-0.11,45rsb0xa,,,,,,855.0,3,5ab3fc4b5f01000001cb07e2,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,345625,0.0-6.0-0.0,45rsb0xa,,,,,,298272.0,,5ab3fc4b5f01000001cb07e2,"[{""page_index"":0,""viewing_time"":777},{""page_index"":1,""viewing_time"":2237},{""page_index"":2,""viewing_time"":293289},{""page_index"":3,""viewing_time"":1969}]",,,,,,,,,,,,,,,,,
