trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7995,0.0-2.0,vdq4tt81,,,,,,5763.0,5ac3b688fa3b4e0001735a24,5ac3b688fa3b4e0001735a24,,,,,,,,,,,,,,,,,,
introduction,3,10733,0.0-3.0,vdq4tt81,,,,,,2736.0,5ac3b688fa3b4e0001735a24,5ac3b688fa3b4e0001735a24,,,,,,,,,,,,,,,,,,
introduction,4,17854,0.0-4.0-0.0,vdq4tt81,,,,,,7120.0,,5ac3b688fa3b4e0001735a24,"[{""page_index"":0,""viewing_time"":1279},{""page_index"":1,""viewing_time"":4758},{""page_index"":2,""viewing_time"":1083}]",,,,,,,,,,,,,,,,,
introduction,5,18970,0.0-5.0-0.0,vdq4tt81,,,,,,1115.0,1,5ac3b688fa3b4e0001735a24,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,19371,0.0-5.0-0.1,vdq4tt81,,,,,,399.0,2,5ac3b688fa3b4e0001735a24,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,20050,0.0-5.0-0.2,vdq4tt81,,,,,,679.0,1,5ac3b688fa3b4e0001735a24,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,20707,0.0-5.0-0.3,vdq4tt81,,,,,,657.0,3,5ac3b688fa3b4e0001735a24,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,21290,0.0-5.0-0.4,vdq4tt81,,,,,,582.0,2,5ac3b688fa3b4e0001735a24,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,21875,0.0-5.0-0.5,vdq4tt81,,,,,,585.0,3,5ac3b688fa3b4e0001735a24,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22352,0.0-5.0-0.6,vdq4tt81,,,,,,476.0,1,5ac3b688fa3b4e0001735a24,,Press: 1,,,,,,,,,,,,,,,,
