trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,24574,0.0-2.0,yepzs0q2,,,,,,14427.0,5af1c4dfaec2b600010a96c9,5af1c4dfaec2b600010a96c9,,,,,,,,,,,,,,,,,,
introduction,3,29189,0.0-3.0,yepzs0q2,,,,,,4613.0,5af1c4dfaec2b600010a96c9,5af1c4dfaec2b600010a96c9,,,,,,,,,,,,,,,,,,
introduction,4,35197,0.0-4.0-0.0,yepzs0q2,,,,,,6007.0,,5af1c4dfaec2b600010a96c9,"[{""page_index"":0,""viewing_time"":1087},{""page_index"":1,""viewing_time"":3472},{""page_index"":2,""viewing_time"":1448}]",,,,,,,,,,,,,,,,,
introduction,5,37210,0.0-5.0-0.0,yepzs0q2,,,,,,2012.0,1,5af1c4dfaec2b600010a96c9,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,37818,0.0-5.0-0.1,yepzs0q2,,,,,,608.0,2,5af1c4dfaec2b600010a96c9,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,38680,0.0-5.0-0.2,yepzs0q2,,,,,,861.0,1,5af1c4dfaec2b600010a96c9,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,39314,0.0-5.0-0.3,yepzs0q2,,,,,,634.0,3,5af1c4dfaec2b600010a96c9,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,40048,0.0-5.0-0.4,yepzs0q2,,,,,,733.0,2,5af1c4dfaec2b600010a96c9,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,40667,0.0-5.0-0.5,yepzs0q2,,,,,,619.0,3,5af1c4dfaec2b600010a96c9,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,41293,0.0-5.0-0.6,yepzs0q2,,,,,,625.0,1,5af1c4dfaec2b600010a96c9,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,41968,0.0-5.0-0.7,yepzs0q2,,,,,,675.0,2,5af1c4dfaec2b600010a96c9,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,42559,0.0-5.0-0.8,yepzs0q2,,,,,,590.0,3,5af1c4dfaec2b600010a96c9,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,43257,0.0-5.0-0.9,yepzs0q2,,,,,,697.0,2,5af1c4dfaec2b600010a96c9,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,43839,0.0-5.0-0.10,yepzs0q2,,,,,,582.0,1,5af1c4dfaec2b600010a96c9,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,44637,0.0-5.0-0.11,yepzs0q2,,,,,,797.0,3,5af1c4dfaec2b600010a96c9,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,74136,0.0-6.0-0.0,yepzs0q2,,,,,,29499.0,,5af1c4dfaec2b600010a96c9,"[{""page_index"":0,""viewing_time"":3291},{""page_index"":1,""viewing_time"":4129},{""page_index"":2,""viewing_time"":19665},{""page_index"":3,""viewing_time"":2414}]",,,,,,,,,,,,,,,,,
introduction,19,89422,0.0-8.0-0.0,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,img/Red_circle.png,2203.0,calibration,,,,,,,,,,,,,,
introduction,20,95061,0.0-8.0-1.0-0.0,yepzs0q2,,,,,,5636.0,3123,5af1c4dfaec2b600010a96c9,,3123,,calibration,,,,,,,,,,,,,,
introduction,21,97078,0.0-8.0-2.0,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,99289,0.0-8.0-0.1,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,img/Red_circle.png,2227.0,calibration,,,,,,,,,,,,,,
introduction,23,100485,0.0-8.0-1.1-0.1,yepzs0q2,,,,,,1194.0,22,5af1c4dfaec2b600010a96c9,,22,,calibration,,,,,,,,,,,,,,
introduction,24,100486,0.0-8.0-2.1,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,,,,,,,,,,,,,,,,,
introduction,25,102499,0.0-8.0-0.2,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,<p>CAREFUL. That was too slow.</p>,1339.0,calibration,,,,,,,,,,,,,,
introduction,26,104446,0.0-8.0-1.2-0.2,yepzs0q2,,,,,,1945.0,1323,5af1c4dfaec2b600010a96c9,,1323,,calibration,,,,,,,,,,,,,,
introduction,27,104446,0.0-8.0-2.2,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,,,,,,,,,,,,,,,,,
introduction,28,105797,0.0-8.0-0.3,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,img/Red_circle.png,1605.0,calibration,,,,,,,,,,,,,,
introduction,29,107316,0.0-8.0-1.3-0.3,yepzs0q2,,,,,,1518.0,331,5af1c4dfaec2b600010a96c9,,331,,calibration,,,,,,,,,,,,,,
introduction,30,107317,0.0-8.0-2.3,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,,,,,,,,,,,,,,,,,
introduction,31,108926,0.0-8.0-0.4,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,img/Red_circle.png,2919.0,calibration,,,,,,,,,,,,,,
introduction,32,110888,0.0-8.0-1.4-0.4,yepzs0q2,,,,,,1960.0,2111,5af1c4dfaec2b600010a96c9,,2111,,calibration,,,,,,,,,,,,,,
introduction,33,110889,0.0-8.0-2.4,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,,,,,,,,,,,,,,,,,
introduction,34,112890,0.0-8.0-0.5,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,<p>CAREFUL. That was too slow.</p>,1238.0,calibration,,,,,,,,,,,,,,
introduction,35,115121,0.0-8.0-1.5-0.5,yepzs0q2,,,,,,2230.0,3132,5af1c4dfaec2b600010a96c9,,3132,,calibration,,,,,,,,,,,,,,
introduction,36,115122,0.0-8.0-2.5,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,,,,,,,,,,,,,,,,,
introduction,37,116363,0.0-8.0-0.6,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,img/Red_circle.png,2947.0,calibration,,,,,,,,,,,,,,
introduction,38,118090,0.0-8.0-1.6-0.6,yepzs0q2,,,,,,1726.0,1122,5af1c4dfaec2b600010a96c9,,1122,,calibration,,,,,,,,,,,,,,
introduction,39,118091,0.0-8.0-2.6,yepzs0q2,,,,,,,,5af1c4dfaec2b600010a96c9,,,,,,,,,,,,,,,,,,
