trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,47106,0.0-2.0,kfysdug4,,,,,,44851.0,5b22d2c260c40e000103b157,5b22d2c260c40e000103b157,,,,,,,,,,,,,,,,,,
introduction,3,50698,0.0-3.0,kfysdug4,,,,,,3591.0,5b22d2c260c40e000103b157,5b22d2c260c40e000103b157,,,,,,,,,,,,,,,,,,
introduction,4,170770,0.0-4.0-0.0,kfysdug4,,,,,,120071.0,,5b22d2c260c40e000103b157,"[{""page_index"":0,""viewing_time"":1228},{""page_index"":1,""viewing_time"":113886},{""page_index"":2,""viewing_time"":4957}]",,,,,,,,,,,,,,,,,
introduction,5,172249,0.0-5.0-0.0,kfysdug4,,,,,,1479.0,1,5b22d2c260c40e000103b157,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,173170,0.0-5.0-0.1,kfysdug4,,,,,,921.0,2,5b22d2c260c40e000103b157,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,173770,0.0-5.0-0.2,kfysdug4,,,,,,600.0,1,5b22d2c260c40e000103b157,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,174418,0.0-5.0-0.3,kfysdug4,,,,,,648.0,3,5b22d2c260c40e000103b157,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,175283,0.0-5.0-0.4,kfysdug4,,,,,,865.0,2,5b22d2c260c40e000103b157,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,175843,0.0-5.0-0.5,kfysdug4,,,,,,560.0,3,5b22d2c260c40e000103b157,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,176367,0.0-5.0-0.6,kfysdug4,,,,,,524.0,1,5b22d2c260c40e000103b157,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,176863,0.0-5.0-0.7,kfysdug4,,,,,,496.0,2,5b22d2c260c40e000103b157,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,177438,0.0-5.0-0.8,kfysdug4,,,,,,575.0,3,5b22d2c260c40e000103b157,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,177977,0.0-5.0-0.9,kfysdug4,,,,,,539.0,2,5b22d2c260c40e000103b157,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,178460,0.0-5.0-0.10,kfysdug4,,,,,,483.0,1,5b22d2c260c40e000103b157,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,179033,0.0-5.0-0.11,kfysdug4,,,,,,573.0,3,5b22d2c260c40e000103b157,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,207494,0.0-6.0-0.0,kfysdug4,,,,,,28461.0,,5b22d2c260c40e000103b157,"[{""page_index"":0,""viewing_time"":9889},{""page_index"":1,""viewing_time"":3801},{""page_index"":2,""viewing_time"":13381},{""page_index"":3,""viewing_time"":1390}]",,,,,,,,,,,,,,,,,
introduction,19,222740,0.0-8.0-0.0,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,img/Red_circle.png,3074.0,calibration,,,,,,,,,,,,,,
introduction,20,225709,0.0-8.0-1.0-0.0,kfysdug4,,,,,,2967.0,212,5b22d2c260c40e000103b157,,212,,calibration,,,,,,,,,,,,,,
introduction,21,225710,0.0-8.0-2.0,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,,,,,,,,,,,,,,,,,
introduction,22,227717,0.0-8.0-0.1,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,<p>CAREFUL. That was too slow.</p>,2059.0,calibration,,,,,,,,,,,,,,
introduction,23,229966,0.0-8.0-1.1-0.1,kfysdug4,,,,,,2248.0,1233,5b22d2c260c40e000103b157,,1233,,calibration,,,,,,,,,,,,,,
introduction,24,229966,0.0-8.0-2.1,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,,,,,,,,,,,,,,,,,
introduction,25,231975,0.0-8.0-0.2,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,<p>CAREFUL. That was too slow.</p>,2243.0,calibration,,,,,,,,,,,,,,
introduction,26,233905,0.0-8.0-1.2-0.2,kfysdug4,,,,,,1928.0,1311,5b22d2c260c40e000103b157,,1311,,calibration,,,,,,,,,,,,,,
introduction,27,233905,0.0-8.0-2.2,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,,,,,,,,,,,,,,,,,
introduction,28,235915,0.0-8.0-0.3,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,<p>CAREFUL. That was too slow.</p>,2045.0,calibration,,,,,,,,,,,,,,
introduction,29,238283,0.0-8.0-1.3-0.3,kfysdug4,,,,,,2367.0,1331,5b22d2c260c40e000103b157,,1331,,calibration,,,,,,,,,,,,,,
introduction,30,238283,0.0-8.0-2.3,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,,,,,,,,,,,,,,,,,
introduction,31,240291,0.0-8.0-0.4,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,<p>CAREFUL. That was too slow.</p>,2692.0,calibration,,,,,,,,,,,,,,
introduction,32,242927,0.0-8.0-1.4-0.4,kfysdug4,,,,,,2635.0,2233,5b22d2c260c40e000103b157,,2233,,calibration,,,,,,,,,,,,,,
introduction,33,242927,0.0-8.0-2.4,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,,,,,,,,,,,,,,,,,
introduction,34,244931,0.0-8.0-0.5,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,<p>CAREFUL. That was too slow.</p>,1643.0,calibration,,,,,,,,,,,,,,
introduction,35,247040,0.0-8.0-1.5-0.5,kfysdug4,,,,,,2108.0,1221,5b22d2c260c40e000103b157,,1221,,calibration,,,,,,,,,,,,,,
introduction,36,247041,0.0-8.0-2.5,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,,,,,,,,,,,,,,,,,
introduction,37,248691,0.0-8.0-0.6,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,img/Red_circle.png,2622.0,calibration,,,,,,,,,,,,,,
introduction,38,251524,0.0-8.0-1.6-0.6,kfysdug4,,,,,,2833.0,2132,5b22d2c260c40e000103b157,,2132,,calibration,,,,,,,,,,,,,,
introduction,39,251525,0.0-8.0-2.6,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,,,,,,,,,,,,,,,,,
introduction,40,253534,0.0-8.0-0.7,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,<p>CAREFUL. That was too slow.</p>,2307.0,calibration,,,,,,,,,,,,,,
introduction,41,255305,0.0-8.0-1.7-0.7,kfysdug4,,,,,,1770.0,1122,5b22d2c260c40e000103b157,,1122,,calibration,,,,,,,,,,,,,,
introduction,42,255305,0.0-8.0-2.7,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,,,,,,,,,,,,,,,,,
introduction,43,257315,0.0-8.0-0.8,kfysdug4,,,,,,,,5b22d2c260c40e000103b157,,<p>CAREFUL. That was too slow.</p>,1337.0,calibration,,,,,,,,,,,,,,
