trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,4485,0.0-2.0,p01crmkx,,,,,,2908.0,5b94223a6adb26000190659b,5b94223a6adb26000190659b,,,,,,,,,,,,,,,,,,
introduction,3,7202,0.0-3.0,p01crmkx,,,,,,2715.0,5b94223a6adb26000190659b,5b94223a6adb26000190659b,,,,,,,,,,,,,,,,,,
introduction,4,19605,0.0-4.0-0.0,p01crmkx,,,,,,12402.0,,5b94223a6adb26000190659b,"[{""page_index"":0,""viewing_time"":1279},{""page_index"":1,""viewing_time"":9677},{""page_index"":2,""viewing_time"":1446}]",,,,,,,,,,,,,,,,,
introduction,5,20792,0.0-5.0-0.0,p01crmkx,,,,,,1185.0,1,5b94223a6adb26000190659b,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,21383,0.0-5.0-0.1,p01crmkx,,,,,,591.0,2,5b94223a6adb26000190659b,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,22111,0.0-5.0-0.2,p01crmkx,,,,,,727.0,1,5b94223a6adb26000190659b,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,22671,0.0-5.0-0.3,p01crmkx,,,,,,559.0,3,5b94223a6adb26000190659b,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,23327,0.0-5.0-0.4,p01crmkx,,,,,,655.0,2,5b94223a6adb26000190659b,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,23927,0.0-5.0-0.5,p01crmkx,,,,,,599.0,3,5b94223a6adb26000190659b,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,24455,0.0-5.0-0.6,p01crmkx,,,,,,528.0,1,5b94223a6adb26000190659b,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,24983,0.0-5.0-0.7,p01crmkx,,,,,,527.0,2,5b94223a6adb26000190659b,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,25455,0.0-5.0-0.8,p01crmkx,,,,,,471.0,3,5b94223a6adb26000190659b,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,25991,0.0-5.0-0.9,p01crmkx,,,,,,535.0,2,5b94223a6adb26000190659b,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,26439,0.0-5.0-0.10,p01crmkx,,,,,,447.0,1,5b94223a6adb26000190659b,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,26943,0.0-5.0-0.11,p01crmkx,,,,,,503.0,3,5b94223a6adb26000190659b,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,54776,0.0-6.0-0.0,p01crmkx,,,,,,27834.0,,5b94223a6adb26000190659b,"[{""page_index"":0,""viewing_time"":2685},{""page_index"":1,""viewing_time"":2362},{""page_index"":2,""viewing_time"":20523},{""page_index"":3,""viewing_time"":2264}]",,,,,,,,,,,,,,,,,
