trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,153981,0.0-2.0,fd230tkp,,,,,,137075.0,5b9efb73d1ff7a00013bfe84,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,3,156855,0.0-3.0,fd230tkp,,,,,,2872.0,5b9efb73d1ff7a00013bfe84,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,4,165236,0.0-4.0-0.0,fd230tkp,,,,,,8381.0,,5b9efb73d1ff7a00013bfe84,"[{""page_index"":0,""viewing_time"":2057},{""page_index"":1,""viewing_time"":4711},{""page_index"":2,""viewing_time"":1613}]",,,,,,,,,,,,,,,,,
introduction,5,166491,0.0-5.0-0.0,fd230tkp,,,,,,1253.0,1,5b9efb73d1ff7a00013bfe84,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,167308,0.0-5.0-0.1,fd230tkp,,,,,,817.0,2,5b9efb73d1ff7a00013bfe84,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,168441,0.0-5.0-0.2,fd230tkp,,,,,,1132.0,1,5b9efb73d1ff7a00013bfe84,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,169413,0.0-5.0-0.3,fd230tkp,,,,,,972.0,3,5b9efb73d1ff7a00013bfe84,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,171213,0.0-5.0-0.4,fd230tkp,,,,,,1800.0,2,5b9efb73d1ff7a00013bfe84,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,172089,0.0-5.0-0.5,fd230tkp,,,,,,875.0,3,5b9efb73d1ff7a00013bfe84,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,172706,0.0-5.0-0.6,fd230tkp,,,,,,617.0,1,5b9efb73d1ff7a00013bfe84,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,173402,0.0-5.0-0.7,fd230tkp,,,,,,696.0,2,5b9efb73d1ff7a00013bfe84,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,174249,0.0-5.0-0.8,fd230tkp,,,,,,846.0,3,5b9efb73d1ff7a00013bfe84,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,175009,0.0-5.0-0.9,fd230tkp,,,,,,760.0,2,5b9efb73d1ff7a00013bfe84,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,175689,0.0-5.0-0.10,fd230tkp,,,,,,680.0,1,5b9efb73d1ff7a00013bfe84,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,176458,0.0-5.0-0.11,fd230tkp,,,,,,769.0,3,5b9efb73d1ff7a00013bfe84,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,306620,0.0-6.0-0.0,fd230tkp,,,,,,130162.0,,5b9efb73d1ff7a00013bfe84,"[{""page_index"":0,""viewing_time"":900},{""page_index"":1,""viewing_time"":65113},{""page_index"":2,""viewing_time"":62987},{""page_index"":3,""viewing_time"":1161}]",,,,,,,,,,,,,,,,,
introduction,19,327472,0.0-8.0-0.0,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,img/Red_circle.png,2454.0,calibration,,,,,,,,,,,,,,
introduction,20,330331,0.0-8.0-1.0-0.0,fd230tkp,,,,,,2857.0,3123,5b9efb73d1ff7a00013bfe84,,3123,,calibration,,,,,,,,,,,,,,
introduction,21,330332,0.0-8.0-2.0,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,22,332333,0.0-8.0-0.1,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,<p>CAREFUL. That was too slow.</p>,3226.0,calibration,,,,,,,,,,,,,,
introduction,23,334194,0.0-8.0-1.1-0.1,fd230tkp,,,,,,1858.0,132,5b9efb73d1ff7a00013bfe84,,132,,calibration,,,,,,,,,,,,,,
introduction,24,334195,0.0-8.0-2.1,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,25,336203,0.0-8.0-0.2,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,<p>CAREFUL. That was too slow.</p>,1450.0,calibration,,,,,,,,,,,,,,
introduction,26,338701,0.0-8.0-1.2-0.2,fd230tkp,,,,,,2496.0,2312,5b9efb73d1ff7a00013bfe84,,2312,,calibration,,,,,,,,,,,,,,
introduction,27,338702,0.0-8.0-2.2,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,28,340159,0.0-8.0-0.3,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,img/Red_circle.png,2630.0,calibration,,,,,,,,,,,,,,
introduction,29,343158,0.0-8.0-1.3-0.3,fd230tkp,,,,,,2997.0,2122,5b9efb73d1ff7a00013bfe84,,2122,,calibration,,,,,,,,,,,,,,
introduction,30,343158,0.0-8.0-2.3,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,31,345166,0.0-8.0-0.4,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,<p>CAREFUL. That was too slow.</p>,2652.0,calibration,,,,,,,,,,,,,,
introduction,32,347623,0.0-8.0-1.4-0.4,fd230tkp,,,,,,2455.0,1132,5b9efb73d1ff7a00013bfe84,,1132,,calibration,,,,,,,,,,,,,,
introduction,33,347623,0.0-8.0-2.4,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,34,349628,0.0-8.0-0.5,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,<p>CAREFUL. That was too slow.</p>,3306.0,calibration,,,,,,,,,,,,,,
introduction,35,351533,0.0-8.0-1.5-0.5,fd230tkp,,,,,,1904.0,3313,5b9efb73d1ff7a00013bfe84,,3313,,calibration,,,,,,,,,,,,,,
introduction,36,351534,0.0-8.0-2.5,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,37,353547,0.0-8.0-0.6,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,<p>CAREFUL. That was too slow.</p>,1404.0,calibration,,,,,,,,,,,,,,
introduction,38,355483,0.0-8.0-1.6-0.6,fd230tkp,,,,,,1935.0,2112,5b9efb73d1ff7a00013bfe84,,2112,,calibration,,,,,,,,,,,,,,
introduction,39,355484,0.0-8.0-2.6,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,40,356891,0.0-8.0-0.7,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,img/Red_circle.png,2146.0,calibration,,,,,,,,,,,,,,
introduction,41,358859,0.0-8.0-1.7-0.7,fd230tkp,,,,,,1966.0,212,5b9efb73d1ff7a00013bfe84,,212,,calibration,,,,,,,,,,,,,,
introduction,42,358860,0.0-8.0-2.7,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,43,360863,0.0-8.0-0.8,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,<p>CAREFUL. That was too slow.</p>,3401.0,calibration,,,,,,,,,,,,,,
introduction,44,363448,0.0-8.0-1.8-0.8,fd230tkp,,,,,,2583.0,1231,5b9efb73d1ff7a00013bfe84,,1231,,calibration,,,,,,,,,,,,,,
introduction,45,363448,0.0-8.0-2.8,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,46,365451,0.0-8.0-0.9,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,<p>CAREFUL. That was too slow.</p>,2951.0,calibration,,,,,,,,,,,,,,
introduction,47,368961,0.0-8.0-1.9-0.9,fd230tkp,,,,,,3509.0,32,5b9efb73d1ff7a00013bfe84,,32,,calibration,,,,,,,,,,,,,,
introduction,48,370967,0.0-8.0-2.9,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,49,373926,0.0-8.0-0.10,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,img/Red_circle.png,2780.0,calibration,,,,,,,,,,,,,,
introduction,50,376170,0.0-8.0-1.10-0.10,fd230tkp,,,,,,2241.0,2132,5b9efb73d1ff7a00013bfe84,,2132,,calibration,,,,,,,,,,,,,,
introduction,51,376170,0.0-8.0-2.10,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,52,378175,0.0-8.0-0.11,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,<p>CAREFUL. That was too slow.</p>,1203.0,calibration,,,,,,,,,,,,,,
introduction,53,380910,0.0-8.0-1.11-0.11,fd230tkp,,,,,,2733.0,1221,5b9efb73d1ff7a00013bfe84,,1221,,calibration,,,,,,,,,,,,,,
introduction,54,380911,0.0-8.0-2.11,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,55,382119,0.0-8.0-0.12,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,img/Red_circle.png,1639.0,calibration,,,,,,,,,,,,,,
introduction,56,384065,0.0-8.0-1.12-0.12,fd230tkp,,,,,,1944.0,3333,5b9efb73d1ff7a00013bfe84,,3333,,calibration,,,,,,,,,,,,,,
introduction,57,384066,0.0-8.0-2.12,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,58,385711,0.0-8.0-0.13,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,img/Red_circle.png,1296.0,calibration,,,,,,,,,,,,,,
introduction,59,387904,0.0-8.0-1.13-0.13,fd230tkp,,,,,,2192.0,2213,5b9efb73d1ff7a00013bfe84,,2213,,calibration,,,,,,,,,,,,,,
introduction,60,387905,0.0-8.0-2.13,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,61,389213,0.0-8.0-0.14,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,img/Red_circle.png,2700.0,calibration,,,,,,,,,,,,,,
introduction,62,390937,0.0-8.0-1.14-0.14,fd230tkp,,,,,,1722.0,113,5b9efb73d1ff7a00013bfe84,,113,,calibration,,,,,,,,,,,,,,
introduction,63,390938,0.0-8.0-2.14,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,64,392949,0.0-8.0-0.15,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,<p>CAREFUL. That was too slow.</p>,1039.0,calibration,,,,,,,,,,,,,,
introduction,65,394732,0.0-8.0-1.15-0.15,fd230tkp,,,,,,1781.0,1111,5b9efb73d1ff7a00013bfe84,,1111,,calibration,,,,,,,,,,,,,,
introduction,66,394732,0.0-8.0-2.15,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,67,395780,0.0-8.0-0.16,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,img/Red_circle.png,3193.0,calibration,,,,,,,,,,,,,,
introduction,68,397906,0.0-8.0-1.16-0.16,fd230tkp,,,,,,2124.0,2332,5b9efb73d1ff7a00013bfe84,,2332,,calibration,,,,,,,,,,,,,,
introduction,69,397906,0.0-8.0-2.16,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,70,399923,0.0-8.0-0.17,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,<p>CAREFUL. That was too slow.</p>,1450.0,calibration,,,,,,,,,,,,,,
introduction,71,401460,0.0-8.0-1.17-0.17,fd230tkp,,,,,,1535.0,112,5b9efb73d1ff7a00013bfe84,,112,,calibration,,,,,,,,,,,,,,
introduction,72,401460,0.0-8.0-2.17,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,73,402916,0.0-8.0-0.18,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,img/Red_circle.png,2375.0,calibration,,,,,,,,,,,,,,
introduction,74,404473,0.0-8.0-1.18-0.18,fd230tkp,,,,,,1555.0,333,5b9efb73d1ff7a00013bfe84,,333,,calibration,,,,,,,,,,,,,,
introduction,75,404473,0.0-8.0-2.18,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,76,406488,0.0-8.0-0.19,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,<p>CAREFUL. That was too slow.</p>,1322.0,calibration,,,,,,,,,,,,,,
introduction,77,408958,0.0-8.0-1.19-0.19,fd230tkp,,,,,,2465.0,1112,5b9efb73d1ff7a00013bfe84,,1112,,calibration,,,,,,,,,,,,,,
introduction,78,408959,0.0-8.0-2.19,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
introduction,79,410298,0.0-8.0-0.20,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,img/Red_circle.png,1861.0,calibration,,,,,,,,,,,,,,
introduction,80,412067,0.0-8.0-1.20-0.20,fd230tkp,,,,,,1767.0,233,5b9efb73d1ff7a00013bfe84,,233,,calibration,,,,,,,,,,,,,,
introduction,81,412068,0.0-8.0-2.20,fd230tkp,,,,,,,,5b9efb73d1ff7a00013bfe84,,,,,,,,,,,,,,,,,,
