trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,17803,0.0-2.0,hxvv770u,,,,,,4687.0,5bed01c8306ec30001fb80e2,5bed01c8306ec30001fb80e2,,,,,,,,,,,,,,,,,,
introduction,3,20732,0.0-3.0,hxvv770u,,,,,,2925.0,5bed01c8306ec30001fb80e2,5bed01c8306ec30001fb80e2,,,,,,,,,,,,,,,,,,
introduction,4,27417,0.0-4.0-0.0,hxvv770u,,,,,,6684.0,,5bed01c8306ec30001fb80e2,"[{""page_index"":0,""viewing_time"":1196},{""page_index"":1,""viewing_time"":4487},{""page_index"":2,""viewing_time"":1001}]",,,,,,,,,,,,,,,,,
introduction,5,28610,0.0-5.0-0.0,hxvv770u,,,,,,1191.0,1,5bed01c8306ec30001fb80e2,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,29124,0.0-5.0-0.1,hxvv770u,,,,,,513.0,2,5bed01c8306ec30001fb80e2,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,29689,0.0-5.0-0.2,hxvv770u,,,,,,565.0,1,5bed01c8306ec30001fb80e2,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,30206,0.0-5.0-0.3,hxvv770u,,,,,,515.0,3,5bed01c8306ec30001fb80e2,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,30693,0.0-5.0-0.4,hxvv770u,,,,,,486.0,2,5bed01c8306ec30001fb80e2,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,31209,0.0-5.0-0.5,hxvv770u,,,,,,515.0,3,5bed01c8306ec30001fb80e2,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,31673,0.0-5.0-0.6,hxvv770u,,,,,,464.0,1,5bed01c8306ec30001fb80e2,,Press: 1,,,,,,,,,,,,,,,,
