trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6138,0.0-2.0,41r66jke,,,,,,4615.0,5bf2f728bd9f150001f6cc42,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,3,10466,0.0-3.0,41r66jke,,,,,,4315.0,5bf2f728bd9f150001f6cc42,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,4,32642,0.0-4.0-0.0,41r66jke,,,,,,22172.0,,5bf2f728bd9f150001f6cc42,"[{""page_index"":0,""viewing_time"":1932},{""page_index"":1,""viewing_time"":18439},{""page_index"":2,""viewing_time"":1800}]",,,,,,,,,,,,,,,,,
introduction,5,34150,0.0-5.0-0.0,41r66jke,,,,,,1505.0,1,5bf2f728bd9f150001f6cc42,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,35201,0.0-5.0-0.1,41r66jke,,,,,,1049.0,2,5bf2f728bd9f150001f6cc42,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,36097,0.0-5.0-0.2,41r66jke,,,,,,895.0,1,5bf2f728bd9f150001f6cc42,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,37654,0.0-5.0-0.3,41r66jke,,,,,,1555.0,3,5bf2f728bd9f150001f6cc42,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,38551,0.0-5.0-0.4,41r66jke,,,,,,896.0,2,5bf2f728bd9f150001f6cc42,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,39407,0.0-5.0-0.5,41r66jke,,,,,,854.0,3,5bf2f728bd9f150001f6cc42,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,40400,0.0-5.0-0.6,41r66jke,,,,,,992.0,1,5bf2f728bd9f150001f6cc42,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,41279,0.0-5.0-0.7,41r66jke,,,,,,878.0,2,5bf2f728bd9f150001f6cc42,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,42117,0.0-5.0-0.8,41r66jke,,,,,,836.0,3,5bf2f728bd9f150001f6cc42,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,42963,0.0-5.0-0.9,41r66jke,,,,,,845.0,2,5bf2f728bd9f150001f6cc42,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,43864,0.0-5.0-0.10,41r66jke,,,,,,900.0,1,5bf2f728bd9f150001f6cc42,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,44853,0.0-5.0-0.11,41r66jke,,,,,,988.0,3,5bf2f728bd9f150001f6cc42,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,79889,0.0-6.0-0.0,41r66jke,,,,,,35035.0,,5bf2f728bd9f150001f6cc42,"[{""page_index"":0,""viewing_time"":3882},{""page_index"":1,""viewing_time"":4944},{""page_index"":2,""viewing_time"":23240},{""page_index"":3,""viewing_time"":2968}]",,,,,,,,,,,,,,,,,
introduction,19,111597,0.0-8.0-0.0,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,1089.0,calibration,,,,,,,,,,,,,,
introduction,20,113731,0.0-8.0-1.0-0.0,41r66jke,,,,,,2126.0,121,5bf2f728bd9f150001f6cc42,,121,,calibration,,,,,,,,,,,,,,
introduction,21,113736,0.0-8.0-2.0,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,22,114831,0.0-8.0-0.1,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,1351.0,calibration,,,,,,,,,,,,,,
introduction,23,117143,0.0-8.0-1.1-0.1,41r66jke,,,,,,2307.0,1121,5bf2f728bd9f150001f6cc42,,1121,,calibration,,,,,,,,,,,,,,
introduction,24,117144,0.0-8.0-2.1,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,25,118497,0.0-8.0-0.2,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,2552.0,calibration,,,,,,,,,,,,,,
introduction,26,122025,0.0-8.0-1.2-0.2,41r66jke,,,,,,3523.0,3232,5bf2f728bd9f150001f6cc42,,3232,,calibration,,,,,,,,,,,,,,
introduction,27,124030,0.0-8.0-2.2,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,126586,0.0-8.0-0.3,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,2663.0,calibration,,,,,,,,,,,,,,
introduction,29,130270,0.0-8.0-1.3-0.3,41r66jke,,,,,,3679.0,2131,5bf2f728bd9f150001f6cc42,,2131,,calibration,,,,,,,,,,,,,,
introduction,30,132273,0.0-8.0-2.3,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,31,134939,0.0-8.0-0.4,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,3226.0,calibration,,,,,,,,,,,,,,
introduction,32,137122,0.0-8.0-1.4-0.4,41r66jke,,,,,,2179.0,2223,5bf2f728bd9f150001f6cc42,,2223,,calibration,,,,,,,,,,,,,,
introduction,33,137123,0.0-8.0-2.4,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,34,139124,0.0-8.0-0.5,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,2943.0,calibration,,,,,,,,,,,,,,
introduction,35,141460,0.0-8.0-1.5-0.5,41r66jke,,,,,,2328.0,1131,5bf2f728bd9f150001f6cc42,,1131,,calibration,,,,,,,,,,,,,,
introduction,36,141461,0.0-8.0-2.5,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,37,143462,0.0-8.0-0.6,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,1982.0,calibration,,,,,,,,,,,,,,
introduction,38,145253,0.0-8.0-1.6-0.6,41r66jke,,,,,,1785.0,1221,5bf2f728bd9f150001f6cc42,,1221,,calibration,,,,,,,,,,,,,,
introduction,39,145255,0.0-8.0-2.6,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,40,147241,0.0-8.0-0.7,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,1732.0,calibration,,,,,,,,,,,,,,
introduction,41,149478,0.0-8.0-1.7-0.7,41r66jke,,,,,,2231.0,3323,5bf2f728bd9f150001f6cc42,,3323,,calibration,,,,,,,,,,,,,,
introduction,42,149479,0.0-8.0-2.7,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,43,151215,0.0-8.0-0.8,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,2827.0,calibration,,,,,,,,,,,,,,
introduction,44,153326,0.0-8.0-1.8-0.8,41r66jke,,,,,,2105.0,2123,5bf2f728bd9f150001f6cc42,,2123,,calibration,,,,,,,,,,,,,,
introduction,45,153328,0.0-8.0-2.8,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,46,155329,0.0-8.0-0.9,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,1674.0,calibration,,,,,,,,,,,,,,
introduction,47,157028,0.0-8.0-1.9-0.9,41r66jke,,,,,,1694.0,233,5bf2f728bd9f150001f6cc42,,233,,calibration,,,,,,,,,,,,,,
introduction,48,157030,0.0-8.0-2.9,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,49,158708,0.0-8.0-0.10,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,3374.0,calibration,,,,,,,,,,,,,,
introduction,50,160793,0.0-8.0-1.10-0.10,41r66jke,,,,,,2079.0,2332,5bf2f728bd9f150001f6cc42,,2332,,calibration,,,,,,,,,,,,,,
introduction,51,160795,0.0-8.0-2.10,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,52,162796,0.0-8.0-0.11,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,2930.0,calibration,,,,,,,,,,,,,,
introduction,53,164870,0.0-8.0-1.11-0.11,41r66jke,,,,,,2067.0,3311,5bf2f728bd9f150001f6cc42,,3311,,calibration,,,,,,,,,,,,,,
introduction,54,164872,0.0-8.0-2.11,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,55,166873,0.0-8.0-0.12,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,3480.0,calibration,,,,,,,,,,,,,,
introduction,56,169338,0.0-8.0-1.12-0.12,41r66jke,,,,,,2454.0,1312,5bf2f728bd9f150001f6cc42,,1312,,calibration,,,,,,,,,,,,,,
introduction,57,169340,0.0-8.0-2.12,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,58,171341,0.0-8.0-0.13,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,1628.0,calibration,,,,,,,,,,,,,,
introduction,59,173246,0.0-8.0-1.13-0.13,41r66jke,,,,,,1899.0,1122,5bf2f728bd9f150001f6cc42,,1122,,calibration,,,,,,,,,,,,,,
introduction,60,173249,0.0-8.0-2.13,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,61,174880,0.0-8.0-0.14,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,1407.0,calibration,,,,,,,,,,,,,,
introduction,62,176505,0.0-8.0-1.14-0.14,41r66jke,,,,,,1619.0,32,5bf2f728bd9f150001f6cc42,,32,,calibration,,,,,,,,,,,,,,
introduction,63,176507,0.0-8.0-2.14,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,64,177918,0.0-8.0-0.15,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,3283.0,calibration,,,,,,,,,,,,,,
introduction,65,180085,0.0-8.0-1.15-0.15,41r66jke,,,,,,2161.0,2123,5bf2f728bd9f150001f6cc42,,2123,,calibration,,,,,,,,,,,,,,
introduction,66,180093,0.0-8.0-2.15,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,67,182094,0.0-8.0-0.16,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,1226.0,calibration,,,,,,,,,,,,,,
introduction,68,184105,0.0-8.0-1.16-0.16,41r66jke,,,,,,2006.0,2113,5bf2f728bd9f150001f6cc42,,2113,,calibration,,,,,,,,,,,,,,
introduction,69,184107,0.0-8.0-2.16,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,70,185337,0.0-8.0-0.17,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,1695.0,calibration,,,,,,,,,,,,,,
introduction,71,187450,0.0-8.0-1.17-0.17,41r66jke,,,,,,2104.0,3333,5bf2f728bd9f150001f6cc42,,3333,,calibration,,,,,,,,,,,,,,
introduction,72,187450,0.0-8.0-2.17,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,73,189147,0.0-8.0-0.18,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,2207.0,calibration,,,,,,,,,,,,,,
introduction,74,190683,0.0-8.0-1.18-0.18,41r66jke,,,,,,1532.0,11,5bf2f728bd9f150001f6cc42,,11,,calibration,,,,,,,,,,,,,,
introduction,75,190688,0.0-8.0-2.18,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,76,192688,0.0-8.0-0.19,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,1261.0,calibration,,,,,,,,,,,,,,
introduction,77,195134,0.0-8.0-1.19-0.19,41r66jke,,,,,,2439.0,3231,5bf2f728bd9f150001f6cc42,,3231,,calibration,,,,,,,,,,,,,,
introduction,78,195136,0.0-8.0-2.19,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,79,196400,0.0-8.0-0.20,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,2579.0,calibration,,,,,,,,,,,,,,
introduction,80,197827,0.0-8.0-1.20-0.20,41r66jke,,,,,,1420.0,123,5bf2f728bd9f150001f6cc42,,123,,calibration,,,,,,,,,,,,,,
introduction,81,197829,0.0-8.0-2.20,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,82,199830,0.0-8.0-0.21,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,2988.0,calibration,,,,,,,,,,,,,,
introduction,83,201509,0.0-8.0-1.21-0.21,41r66jke,,,,,,1673.0,222,5bf2f728bd9f150001f6cc42,,222,,calibration,,,,,,,,,,,,,,
introduction,84,201510,0.0-8.0-2.21,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,85,203511,0.0-8.0-0.22,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,1516.0,calibration,,,,,,,,,,,,,,
introduction,86,205186,0.0-8.0-1.22-0.22,41r66jke,,,,,,1670.0,331,5bf2f728bd9f150001f6cc42,,331,,calibration,,,,,,,,,,,,,,
introduction,87,205189,0.0-8.0-2.22,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,88,206712,0.0-8.0-0.23,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,1113.0,calibration,,,,,,,,,,,,,,
introduction,89,208868,0.0-8.0-1.23-0.23,41r66jke,,,,,,2150.0,2123,5bf2f728bd9f150001f6cc42,,2123,,calibration,,,,,,,,,,,,,,
introduction,90,208870,0.0-8.0-2.23,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,91,209992,0.0-8.0-0.24,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,1051.0,calibration,,,,,,,,,,,,,,
introduction,92,211570,0.0-8.0-1.24-0.24,41r66jke,,,,,,1572.0,221,5bf2f728bd9f150001f6cc42,,221,,calibration,,,,,,,,,,,,,,
introduction,93,211572,0.0-8.0-2.24,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,94,212626,0.0-8.0-0.25,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,2892.0,calibration,,,,,,,,,,,,,,
introduction,95,213849,0.0-8.0-1.25-0.25,41r66jke,,,,,,1217.0,21,5bf2f728bd9f150001f6cc42,,21,,calibration,,,,,,,,,,,,,,
introduction,96,213851,0.0-8.0-2.25,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,97,215852,0.0-8.0-0.26,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,2327.0,calibration,,,,,,,,,,,,,,
introduction,98,217690,0.0-8.0-1.26-0.26,41r66jke,,,,,,1832.0,312,5bf2f728bd9f150001f6cc42,,312,,calibration,,,,,,,,,,,,,,
introduction,99,217692,0.0-8.0-2.26,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,100,219692,0.0-8.0-0.27,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,1383.0,calibration,,,,,,,,,,,,,,
introduction,101,221538,0.0-8.0-1.27-0.27,41r66jke,,,,,,1839.0,1223,5bf2f728bd9f150001f6cc42,,1223,,calibration,,,,,,,,,,,,,,
introduction,102,221538,0.0-8.0-2.27,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,103,222923,0.0-8.0-0.28,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,2311.0,calibration,,,,,,,,,,,,,,
introduction,104,225315,0.0-8.0-1.28-0.28,41r66jke,,,,,,2386.0,2132,5bf2f728bd9f150001f6cc42,,2132,,calibration,,,,,,,,,,,,,,
introduction,105,225317,0.0-8.0-2.28,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,106,227318,0.0-8.0-0.29,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,2405.0,calibration,,,,,,,,,,,,,,
introduction,107,228879,0.0-8.0-1.29-0.29,41r66jke,,,,,,1556.0,213,5bf2f728bd9f150001f6cc42,,213,,calibration,,,,,,,,,,,,,,
introduction,108,228881,0.0-8.0-2.29,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,109,230882,0.0-8.0-0.30,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,<p>CAREFUL. That was too slow.</p>,2391.0,calibration,,,,,,,,,,,,,,
introduction,110,233312,0.0-8.0-1.30-0.30,41r66jke,,,,,,2420.0,3212,5bf2f728bd9f150001f6cc42,,3212,,calibration,,,,,,,,,,,,,,
introduction,111,233314,0.0-8.0-2.30,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
introduction,113,338352,0.0-10.0,41r66jke,,,,,,104034.0,,5bf2f728bd9f150001f6cc42,"[{""page_index"":0,""viewing_time"":19898},{""page_index"":1,""viewing_time"":15320},{""page_index"":2,""viewing_time"":7153},{""page_index"":3,""viewing_time"":9600},{""page_index"":4,""viewing_time"":8080},{""page_index"":5,""viewing_time"":5320},{""page_index"":6,""viewing_time"":7584},{""page_index"":7,""viewing_time"":28312},{""page_index"":8,""viewing_time"":2768}]",,,,,,,,,,,,,,,,,
Red,114,340748,0.0-11.0-0.0,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,1766.0,,,,,,,,,,,,,,,
Green,115,342953,0.0-11.0-1.0-0.0,41r66jke,,,,,,2199.0,1332,5bf2f728bd9f150001f6cc42,,1332,,PR,performance,,,,,,,,,,,,,
introduction,116,342960,0.0-11.0-2.0,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
Feedback,117,342973,0.0-11.0-3.0,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,PR,performance,-1.0,,,,,,,,,,,,
introduction,118,342974,0.0-11.0-4.0,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
Red,119,344742,0.0-11.0-0.1,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,2169.0,,,,,,,,,,,,,,,
Green,120,346172,0.0-11.0-1.1-0.1,41r66jke,,,,,,1424.0,121,5bf2f728bd9f150001f6cc42,,121,,PR,performance,,,,,,,,,,,,,
introduction,121,346176,0.0-11.0-2.1,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
Feedback,122,348178,0.0-11.0-3.1,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,"<span style=""font-size: larger; color: black;"">Trial 1:  </span><br><span style=""font-size: larger; color: green;""> 5 points</span>",,PR,performance,5.0,,,,,,,,,,,,
introduction,123,348179,0.0-11.0-4.1,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
Red,124,350351,0.0-11.0-0.2,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,2943.0,,,,,,,,,,,,,,,
Green,125,352001,0.0-11.0-1.2-0.2,41r66jke,,,,,,1645.0,1221,5bf2f728bd9f150001f6cc42,,1221,,PR,performance,,,,,,,,,,,,,
Performance_tracking,126,358966,0.0-11.0-2.2,41r66jke,,,,,,6961.0,4,5bf2f728bd9f150001f6cc42,,"<span style=""font-size: larger; color: black;""> How many points do you expect to receive in the last Trial (Trial 2), based on your speed? </span>",,,performance,,0.0,4.0,2070.669992261493,1217.0,330.97549402585673,,,,,,,
Feedback,127,360967,0.0-11.0-3.2,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,"<span style=""font-size: larger; color: black;"">Trial 2:  </span><br><span style=""font-size: larger; color: green;""> 3 points</span>",,PR,performance,3.0,,,,,,,,,,,,
introduction,128,360968,0.0-11.0-4.2,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
Red,129,363913,0.0-11.0-0.3,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,2556.0,,,,,,,,,,,,,,,
Green,130,365910,0.0-11.0-1.3-0.3,41r66jke,,,,,,1992.0,3322,5bf2f728bd9f150001f6cc42,,3322,,PR,performance,,,,,,,,,,,,,
introduction,131,365915,0.0-11.0-2.3,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
Feedback,132,367923,0.0-11.0-3.3,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,"<span style=""font-size: larger; color: black;"">Trial 3:  </span><br><span style=""font-size: larger; color: green;""> 1 points</span>",,PR,performance,1.0,,,,,,,,,,,,
introduction,133,367924,0.0-11.0-4.3,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
Red,134,370483,0.0-11.0-0.4,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,3020.0,,,,,,,,,,,,,,,
Green,135,372574,0.0-11.0-1.4-0.4,41r66jke,,,,,,2085.0,2332,5bf2f728bd9f150001f6cc42,,2332,,PR,performance,,,,,,,,,,,,,
Performance_tracking,136,376825,0.0-11.0-2.4,41r66jke,,,,,,4246.0,2,5bf2f728bd9f150001f6cc42,,"<span style=""font-size: larger; color: black;""> How many points do you expect to receive in the last Trial (Trial 4), based on your speed? </span>",,,performance,,0.0,2.0,2070.669992261493,1217.0,330.97549402585673,,,,,,,
Feedback,137,378828,0.0-11.0-3.4,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,"<span style=""font-size: larger; color: black;"">Trial 4:  </span><br><span style=""font-size: larger; color: red;""> 0 points</span>",,PR,performance,0.0,,,,,,,,,,,,
introduction,138,378829,0.0-11.0-4.4,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
Red,139,381852,0.0-11.0-0.5,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,1203.0,,,,,,,,,,,,,,,
Green,140,383893,0.0-11.0-1.5-0.5,41r66jke,,,,,,2036.0,3113,5bf2f728bd9f150001f6cc42,,3113,,PR,performance,,,,,,,,,,,,,
introduction,141,383898,0.0-11.0-2.5,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
Feedback,142,385905,0.0-11.0-3.5,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,"<span style=""font-size: larger; color: black;"">Trial 5:  </span><br><span style=""font-size: larger; color: red;""> 0 points</span>",,PR,performance,0.0,,,,,,,,,,,,
introduction,143,385906,0.0-11.0-4.5,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,,,,,,,,,,,,,,,,,
Red,144,387112,0.0-11.0-0.6,41r66jke,,,,,,,,5bf2f728bd9f150001f6cc42,,img/Red_circle.png,2362.0,,,,,,,,,,,,,,,
