trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,13432,0.0-2.0,wnqcerkw,,,,,,10464.0,5c110067753adc00015913e3,5c110067753adc00015913e3,,,,,,,,,,,,,,,,,,
introduction,3,21966,0.0-3.0,wnqcerkw,,,,,,8532.0,5c110067753adc00015913e3,5c110067753adc00015913e3,,,,,,,,,,,,,,,,,,
introduction,4,48102,0.0-4.0-0.0,wnqcerkw,,,,,,26135.0,,5c110067753adc00015913e3,"[{""page_index"":0,""viewing_time"":2216},{""page_index"":1,""viewing_time"":15327},{""page_index"":2,""viewing_time"":8591}]",,,,,,,,,,,,,,,,,
introduction,5,49799,0.0-5.0-0.0,wnqcerkw,,,,,,1695.0,1,5c110067753adc00015913e3,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,50988,0.0-5.0-0.1,wnqcerkw,,,,,,1188.0,2,5c110067753adc00015913e3,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,52434,0.0-5.0-0.2,wnqcerkw,,,,,,1445.0,1,5c110067753adc00015913e3,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,53848,0.0-5.0-0.3,wnqcerkw,,,,,,1413.0,3,5c110067753adc00015913e3,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,55258,0.0-5.0-0.4,wnqcerkw,,,,,,1408.0,2,5c110067753adc00015913e3,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,57042,0.0-5.0-0.5,wnqcerkw,,,,,,1783.0,3,5c110067753adc00015913e3,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,59363,0.0-5.0-0.6,wnqcerkw,,,,,,2320.0,1,5c110067753adc00015913e3,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,62055,0.0-5.0-0.7,wnqcerkw,,,,,,2691.0,2,5c110067753adc00015913e3,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,63740,0.0-5.0-0.8,wnqcerkw,,,,,,1684.0,3,5c110067753adc00015913e3,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,64915,0.0-5.0-0.9,wnqcerkw,,,,,,1174.0,2,5c110067753adc00015913e3,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,66146,0.0-5.0-0.10,wnqcerkw,,,,,,1231.0,1,5c110067753adc00015913e3,,Press: 1,,,,,,,,,,,,,,,,
