trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,37249,0.0-2.0,w2r7rhsr,,,,,,6443.0,5c209d9b10677f0001da5e38,5c209d9b10677f0001da5e38,,,,,,,,,,,,,,,,,,
introduction,3,41155,0.0-3.0,w2r7rhsr,,,,,,3904.0,5c209d9b10677f0001da5e38,5c209d9b10677f0001da5e38,,,,,,,,,,,,,,,,,,
introduction,4,53225,0.0-4.0-0.0,w2r7rhsr,,,,,,12069.0,,5c209d9b10677f0001da5e38,"[{""page_index"":0,""viewing_time"":1659},{""page_index"":1,""viewing_time"":9087},{""page_index"":2,""viewing_time"":1323}]",,,,,,,,,,,,,,,,,
introduction,5,54666,0.0-5.0-0.0,w2r7rhsr,,,,,,1440.0,1,5c209d9b10677f0001da5e38,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,55491,0.0-5.0-0.1,w2r7rhsr,,,,,,824.0,2,5c209d9b10677f0001da5e38,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,56573,0.0-5.0-0.2,w2r7rhsr,,,,,,1082.0,1,5c209d9b10677f0001da5e38,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,57449,0.0-5.0-0.3,w2r7rhsr,,,,,,875.0,3,5c209d9b10677f0001da5e38,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,58093,0.0-5.0-0.4,w2r7rhsr,,,,,,643.0,2,5c209d9b10677f0001da5e38,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,58837,0.0-5.0-0.5,w2r7rhsr,,,,,,743.0,3,5c209d9b10677f0001da5e38,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,59581,0.0-5.0-0.6,w2r7rhsr,,,,,,743.0,1,5c209d9b10677f0001da5e38,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,60248,0.0-5.0-0.7,w2r7rhsr,,,,,,666.0,2,5c209d9b10677f0001da5e38,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,60997,0.0-5.0-0.8,w2r7rhsr,,,,,,749.0,3,5c209d9b10677f0001da5e38,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,61654,0.0-5.0-0.9,w2r7rhsr,,,,,,656.0,2,5c209d9b10677f0001da5e38,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,62348,0.0-5.0-0.10,w2r7rhsr,,,,,,693.0,1,5c209d9b10677f0001da5e38,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,63303,0.0-5.0-0.11,w2r7rhsr,,,,,,954.0,3,5c209d9b10677f0001da5e38,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,86710,0.0-6.0-0.0,w2r7rhsr,,,,,,23406.0,,5c209d9b10677f0001da5e38,"[{""page_index"":0,""viewing_time"":1741},{""page_index"":1,""viewing_time"":3542},{""page_index"":2,""viewing_time"":16648},{""page_index"":3,""viewing_time"":1475}]",,,,,,,,,,,,,,,,,
introduction,19,107312,0.0-8.0-0.0,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,img/Red_circle.png,3206.0,calibration,,,,,,,,,,,,,,
introduction,20,110631,0.0-8.0-1.0-0.0,w2r7rhsr,,,,,,3318.0,1113,5c209d9b10677f0001da5e38,,1113,,calibration,,,,,,,,,,,,,,
introduction,21,110633,0.0-8.0-2.0,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,,,,,,,,,,,,,,,,,
introduction,22,112634,0.0-8.0-0.1,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,<p>CAREFUL. That was too slow.</p>,1750.0,calibration,,,,,,,,,,,,,,
introduction,23,115066,0.0-8.0-1.1-0.1,w2r7rhsr,,,,,,2430.0,1221,5c209d9b10677f0001da5e38,,1221,,calibration,,,,,,,,,,,,,,
introduction,24,115067,0.0-8.0-2.1,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,,,,,,,,,,,,,,,,,
introduction,25,116818,0.0-8.0-0.2,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,img/Red_circle.png,1206.0,calibration,,,,,,,,,,,,,,
introduction,26,119179,0.0-8.0-1.2-0.2,w2r7rhsr,,,,,,2358.0,3112,5c209d9b10677f0001da5e38,,3112,,calibration,,,,,,,,,,,,,,
introduction,27,119179,0.0-8.0-2.2,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,,,,,,,,,,,,,,,,,
introduction,28,120387,0.0-8.0-0.3,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,img/Red_circle.png,2656.0,calibration,,,,,,,,,,,,,,
introduction,29,122523,0.0-8.0-1.3-0.3,w2r7rhsr,,,,,,2134.0,1211,5c209d9b10677f0001da5e38,,1211,,calibration,,,,,,,,,,,,,,
introduction,30,122524,0.0-8.0-2.3,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,,,,,,,,,,,,,,,,,
introduction,31,124525,0.0-8.0-0.4,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,<p>CAREFUL. That was too slow.</p>,2658.0,calibration,,,,,,,,,,,,,,
introduction,32,126770,0.0-8.0-1.4-0.4,w2r7rhsr,,,,,,2243.0,332,5c209d9b10677f0001da5e38,,332,,calibration,,,,,,,,,,,,,,
introduction,33,126771,0.0-8.0-2.4,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,,,,,,,,,,,,,,,,,
introduction,34,128771,0.0-8.0-0.5,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,<p>CAREFUL. That was too slow.</p>,3279.0,calibration,,,,,,,,,,,,,,
introduction,35,130960,0.0-8.0-1.5-0.5,w2r7rhsr,,,,,,2187.0,1313,5c209d9b10677f0001da5e38,,1313,,calibration,,,,,,,,,,,,,,
introduction,36,130961,0.0-8.0-2.5,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,,,,,,,,,,,,,,,,,
introduction,37,132961,0.0-8.0-0.6,w2r7rhsr,,,,,,,,5c209d9b10677f0001da5e38,,<p>CAREFUL. That was too slow.</p>,2648.0,calibration,,,,,,,,,,,,,,
