trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7880,0.0-2.0,be5vxrvn,,,,,,4510.0,5c2ab2de9136140001b90737,5c2ab2de9136140001b90737,,,,,,,,,,,,,,,,,,
introduction,3,11951,0.0-3.0,be5vxrvn,,,,,,4068.0,5c2ab2de9136140001b90737,5c2ab2de9136140001b90737,,,,,,,,,,,,,,,,,,
introduction,4,22423,0.0-4.0-0.0,be5vxrvn,,,,,,10469.0,,5c2ab2de9136140001b90737,"[{""page_index"":0,""viewing_time"":1614},{""page_index"":1,""viewing_time"":4966},{""page_index"":2,""viewing_time"":3888}]",,,,,,,,,,,,,,,,,
introduction,5,23248,0.0-5.0-0.0,be5vxrvn,,,,,,821.0,1,5c2ab2de9136140001b90737,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,24033,0.0-5.0-0.1,be5vxrvn,,,,,,783.0,2,5c2ab2de9136140001b90737,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,24970,0.0-5.0-0.2,be5vxrvn,,,,,,936.0,1,5c2ab2de9136140001b90737,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,25798,0.0-5.0-0.3,be5vxrvn,,,,,,826.0,3,5c2ab2de9136140001b90737,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,26608,0.0-5.0-0.4,be5vxrvn,,,,,,809.0,2,5c2ab2de9136140001b90737,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,27349,0.0-5.0-0.5,be5vxrvn,,,,,,740.0,3,5c2ab2de9136140001b90737,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,28055,0.0-5.0-0.6,be5vxrvn,,,,,,704.0,1,5c2ab2de9136140001b90737,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,28695,0.0-5.0-0.7,be5vxrvn,,,,,,639.0,2,5c2ab2de9136140001b90737,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,29537,0.0-5.0-0.8,be5vxrvn,,,,,,841.0,3,5c2ab2de9136140001b90737,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,30405,0.0-5.0-0.9,be5vxrvn,,,,,,867.0,2,5c2ab2de9136140001b90737,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,31051,0.0-5.0-0.10,be5vxrvn,,,,,,645.0,1,5c2ab2de9136140001b90737,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,31803,0.0-5.0-0.11,be5vxrvn,,,,,,750.0,3,5c2ab2de9136140001b90737,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,49230,0.0-6.0-0.0,be5vxrvn,,,,,,17426.0,,5c2ab2de9136140001b90737,"[{""page_index"":0,""viewing_time"":2665},{""page_index"":1,""viewing_time"":2224},{""page_index"":2,""viewing_time"":10760},{""page_index"":3,""viewing_time"":1776}]",,,,,,,,,,,,,,,,,
introduction,19,68343,0.0-8.0-0.0,be5vxrvn,,,,,,,,5c2ab2de9136140001b90737,,img/Red_circle.png,1542.0,calibration,,,,,,,,,,,,,,
introduction,20,70594,0.0-8.0-1.0-0.0,be5vxrvn,,,,,,2244.0,133,5c2ab2de9136140001b90737,,133,,calibration,,,,,,,,,,,,,,
introduction,21,70596,0.0-8.0-2.0,be5vxrvn,,,,,,,,5c2ab2de9136140001b90737,,,,,,,,,,,,,,,,,,
introduction,22,72143,0.0-8.0-0.1,be5vxrvn,,,,,,,,5c2ab2de9136140001b90737,,img/Red_circle.png,2290.0,calibration,,,,,,,,,,,,,,
introduction,23,73697,0.0-8.0-1.1-0.1,be5vxrvn,,,,,,1546.0,33,5c2ab2de9136140001b90737,,33,,calibration,,,,,,,,,,,,,,
introduction,24,73699,0.0-8.0-2.1,be5vxrvn,,,,,,,,5c2ab2de9136140001b90737,,,,,,,,,,,,,,,,,,
introduction,25,75700,0.0-8.0-0.2,be5vxrvn,,,,,,,,5c2ab2de9136140001b90737,,<p>CAREFUL. That was too slow.</p>,1592.0,calibration,,,,,,,,,,,,,,
introduction,26,77762,0.0-8.0-1.2-0.2,be5vxrvn,,,,,,2057.0,1211,5c2ab2de9136140001b90737,,1211,,calibration,,,,,,,,,,,,,,
introduction,27,77765,0.0-8.0-2.2,be5vxrvn,,,,,,,,5c2ab2de9136140001b90737,,,,,,,,,,,,,,,,,,
introduction,28,79360,0.0-8.0-0.3,be5vxrvn,,,,,,,,5c2ab2de9136140001b90737,,img/Red_circle.png,1570.0,calibration,,,,,,,,,,,,,,
introduction,29,83132,0.0-8.0-1.3-0.3,be5vxrvn,,,,,,3765.0,3331,5c2ab2de9136140001b90737,,3331,,calibration,,,,,,,,,,,,,,
introduction,30,85135,0.0-8.0-2.3,be5vxrvn,,,,,,,,5c2ab2de9136140001b90737,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,31,86708,0.0-8.0-0.4,be5vxrvn,,,,,,,,5c2ab2de9136140001b90737,,img/Red_circle.png,2426.0,calibration,,,,,,,,,,,,,,
introduction,32,89130,0.0-8.0-1.4-0.4,be5vxrvn,,,,,,2411.0,1112,5c2ab2de9136140001b90737,,1112,,calibration,,,,,,,,,,,,,,
