trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8849,0.0-2.0,9ls0ymfq,,,,,,3489.0,5c2bb18f70d93a000121e114,5c2bb18f70d93a000121e114,,,,,,,,,,,,,,,,,,
introduction,3,11538,0.0-3.0,9ls0ymfq,,,,,,2678.0,5c2bb18f70d93a000121e114,5c2bb18f70d93a000121e114,,,,,,,,,,,,,,,,,,
introduction,4,19498,0.0-4.0-0.0,9ls0ymfq,,,,,,7956.0,,5c2bb18f70d93a000121e114,"[{""page_index"":0,""viewing_time"":1311},{""page_index"":1,""viewing_time"":5489},{""page_index"":2,""viewing_time"":1156}]",,,,,,,,,,,,,,,,,
introduction,5,41088,0.0-5.0-0.0,9ls0ymfq,,,,,,21586.0,1,5c2bb18f70d93a000121e114,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,41917,0.0-5.0-0.1,9ls0ymfq,,,,,,827.0,2,5c2bb18f70d93a000121e114,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,42596,0.0-5.0-0.2,9ls0ymfq,,,,,,679.0,1,5c2bb18f70d93a000121e114,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,43384,0.0-5.0-0.3,9ls0ymfq,,,,,,787.0,3,5c2bb18f70d93a000121e114,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,44280,0.0-5.0-0.4,9ls0ymfq,,,,,,894.0,2,5c2bb18f70d93a000121e114,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,45142,0.0-5.0-0.5,9ls0ymfq,,,,,,860.0,3,5c2bb18f70d93a000121e114,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,45755,0.0-5.0-0.6,9ls0ymfq,,,,,,612.0,1,5c2bb18f70d93a000121e114,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,46361,0.0-5.0-0.7,9ls0ymfq,,,,,,605.0,2,5c2bb18f70d93a000121e114,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,46942,0.0-5.0-0.8,9ls0ymfq,,,,,,581.0,3,5c2bb18f70d93a000121e114,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,47491,0.0-5.0-0.9,9ls0ymfq,,,,,,548.0,2,5c2bb18f70d93a000121e114,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,48016,0.0-5.0-0.10,9ls0ymfq,,,,,,525.0,1,5c2bb18f70d93a000121e114,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,48615,0.0-5.0-0.11,9ls0ymfq,,,,,,599.0,3,5c2bb18f70d93a000121e114,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,72397,0.0-6.0-0.0,9ls0ymfq,,,,,,23781.0,,5c2bb18f70d93a000121e114,"[{""page_index"":0,""viewing_time"":1742},{""page_index"":1,""viewing_time"":6195},{""page_index"":2,""viewing_time"":14343},{""page_index"":3,""viewing_time"":1501}]",,,,,,,,,,,,,,,,,
introduction,19,90030,0.0-8.0-0.0,9ls0ymfq,,,,,,,,5c2bb18f70d93a000121e114,,img/Red_circle.png,2579.0,calibration,,,,,,,,,,,,,,
introduction,20,91857,0.0-8.0-1.0-0.0,9ls0ymfq,,,,,,1821.0,222,5c2bb18f70d93a000121e114,,222,,calibration,,,,,,,,,,,,,,
