trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,5460,0.0-2.0,54bqg88b,,,,,,3442.0,5c2ebf3e626018000134986f,5c2ebf3e626018000134986f,,,,,,,,,,,,,,,,,,
introduction,3,8996,0.0-3.0,54bqg88b,,,,,,3534.0,5c2ebf3e626018000134986f,5c2ebf3e626018000134986f,,,,,,,,,,,,,,,,,,
introduction,4,34348,0.0-4.0-0.0,54bqg88b,,,,,,25351.0,,5c2ebf3e626018000134986f,"[{""page_index"":0,""viewing_time"":1087},{""page_index"":1,""viewing_time"":13808},{""page_index"":2,""viewing_time"":10456}]",,,,,,,,,,,,,,,,,
introduction,5,35764,0.0-5.0-0.0,54bqg88b,,,,,,1415.0,1,5c2ebf3e626018000134986f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,36915,0.0-5.0-0.1,54bqg88b,,,,,,1152.0,2,5c2ebf3e626018000134986f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,37891,0.0-5.0-0.2,54bqg88b,,,,,,976.0,1,5c2ebf3e626018000134986f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,38787,0.0-5.0-0.3,54bqg88b,,,,,,896.0,3,5c2ebf3e626018000134986f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,40403,0.0-5.0-0.4,54bqg88b,,,,,,1616.0,2,5c2ebf3e626018000134986f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,41204,0.0-5.0-0.5,54bqg88b,,,,,,800.0,3,5c2ebf3e626018000134986f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,41812,0.0-5.0-0.6,54bqg88b,,,,,,608.0,1,5c2ebf3e626018000134986f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,42483,0.0-5.0-0.7,54bqg88b,,,,,,671.0,2,5c2ebf3e626018000134986f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,43059,0.0-5.0-0.8,54bqg88b,,,,,,576.0,3,5c2ebf3e626018000134986f,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,43812,0.0-5.0-0.9,54bqg88b,,,,,,752.0,2,5c2ebf3e626018000134986f,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,44371,0.0-5.0-0.10,54bqg88b,,,,,,559.0,1,5c2ebf3e626018000134986f,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,45044,0.0-5.0-0.11,54bqg88b,,,,,,672.0,3,5c2ebf3e626018000134986f,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,73643,0.0-6.0-0.0,54bqg88b,,,,,,28600.0,,5c2ebf3e626018000134986f,"[{""page_index"":0,""viewing_time"":2448},{""page_index"":1,""viewing_time"":4840},{""page_index"":2,""viewing_time"":20192},{""page_index"":3,""viewing_time"":1120}]",,,,,,,,,,,,,,,,,
introduction,19,92037,0.0-8.0-0.0,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,img/Red_circle.png,2772.0,calibration,,,,,,,,,,,,,,
introduction,20,96212,0.0-8.0-1.0-0.0,54bqg88b,,,,,,4172.0,2232,5c2ebf3e626018000134986f,,2232,,calibration,,,,,,,,,,,,,,
introduction,21,98228,0.0-8.0-2.0,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,101013,0.0-8.0-0.1,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,img/Red_circle.png,1269.0,calibration,,,,,,,,,,,,,,
introduction,23,103604,0.0-8.0-1.1-0.1,54bqg88b,,,,,,2589.0,3223,5c2ebf3e626018000134986f,,3223,,calibration,,,,,,,,,,,,,,
introduction,24,103605,0.0-8.0-2.1,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,,,,,,,,,,,,,,,,,
introduction,25,104887,0.0-8.0-0.2,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,img/Red_circle.png,2052.0,calibration,,,,,,,,,,,,,,
introduction,26,107028,0.0-8.0-1.2-0.2,54bqg88b,,,,,,2139.0,3223,5c2ebf3e626018000134986f,,3223,,calibration,,,,,,,,,,,,,,
introduction,27,107028,0.0-8.0-2.2,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,,,,,,,,,,,,,,,,,
introduction,28,109038,0.0-8.0-0.3,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,<p>CAREFUL. That was too slow.</p>,1809.0,calibration,,,,,,,,,,,,,,
introduction,29,111764,0.0-8.0-1.3-0.3,54bqg88b,,,,,,2724.0,3321,5c2ebf3e626018000134986f,,3321,,calibration,,,,,,,,,,,,,,
introduction,30,111765,0.0-8.0-2.3,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,,,,,,,,,,,,,,,,,
introduction,31,113584,0.0-8.0-0.4,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,img/Red_circle.png,1444.0,calibration,,,,,,,,,,,,,,
introduction,32,115668,0.0-8.0-1.4-0.4,54bqg88b,,,,,,2082.0,123,5c2ebf3e626018000134986f,,123,,calibration,,,,,,,,,,,,,,
introduction,33,115668,0.0-8.0-2.4,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,,,,,,,,,,,,,,,,,
introduction,34,117115,0.0-8.0-0.5,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,img/Red_circle.png,2903.0,calibration,,,,,,,,,,,,,,
introduction,35,118948,0.0-8.0-1.5-0.5,54bqg88b,,,,,,1832.0,221,5c2ebf3e626018000134986f,,221,,calibration,,,,,,,,,,,,,,
introduction,36,118949,0.0-8.0-2.5,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,,,,,,,,,,,,,,,,,
introduction,37,120954,0.0-8.0-0.6,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,<p>CAREFUL. That was too slow.</p>,3310.0,calibration,,,,,,,,,,,,,,
introduction,38,123140,0.0-8.0-1.6-0.6,54bqg88b,,,,,,2184.0,2233,5c2ebf3e626018000134986f,,2233,,calibration,,,,,,,,,,,,,,
introduction,39,123140,0.0-8.0-2.6,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,,,,,,,,,,,,,,,,,
introduction,40,125141,0.0-8.0-0.7,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,<p>CAREFUL. That was too slow.</p>,2866.0,calibration,,,,,,,,,,,,,,
introduction,41,127156,0.0-8.0-1.7-0.7,54bqg88b,,,,,,2013.0,3331,5c2ebf3e626018000134986f,,3331,,calibration,,,,,,,,,,,,,,
introduction,42,127156,0.0-8.0-2.7,54bqg88b,,,,,,,,5c2ebf3e626018000134986f,,,,,,,,,,,,,,,,,,
