trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8329,0.0-2.0,xdmte1vm,,,,,,4962.0,5c3b70640eaa0100018ea877,5c3b70640eaa0100018ea877,,,,,,,,,,,,,,,,,,
introduction,3,12105,0.0-3.0,xdmte1vm,,,,,,3774.0,5c3b70640eaa0100018ea877,5c3b70640eaa0100018ea877,,,,,,,,,,,,,,,,,,
introduction,4,23601,0.0-4.0-0.0,xdmte1vm,,,,,,11496.0,,5c3b70640eaa0100018ea877,"[{""page_index"":0,""viewing_time"":1576},{""page_index"":1,""viewing_time"":8720},{""page_index"":2,""viewing_time"":1200}]",,,,,,,,,,,,,,,,,
introduction,5,24793,0.0-5.0-0.0,xdmte1vm,,,,,,1192.0,1,5c3b70640eaa0100018ea877,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,25417,0.0-5.0-0.1,xdmte1vm,,,,,,623.0,2,5c3b70640eaa0100018ea877,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,27313,0.0-5.0-0.2,xdmte1vm,,,,,,1895.0,1,5c3b70640eaa0100018ea877,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,28017,0.0-5.0-0.3,xdmte1vm,,,,,,703.0,3,5c3b70640eaa0100018ea877,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,28817,0.0-5.0-0.4,xdmte1vm,,,,,,799.0,2,5c3b70640eaa0100018ea877,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,29521,0.0-5.0-0.5,xdmte1vm,,,,,,704.0,3,5c3b70640eaa0100018ea877,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,30233,0.0-5.0-0.6,xdmte1vm,,,,,,711.0,1,5c3b70640eaa0100018ea877,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,30937,0.0-5.0-0.7,xdmte1vm,,,,,,703.0,2,5c3b70640eaa0100018ea877,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,31521,0.0-5.0-0.8,xdmte1vm,,,,,,583.0,3,5c3b70640eaa0100018ea877,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,32114,0.0-5.0-0.9,xdmte1vm,,,,,,592.0,2,5c3b70640eaa0100018ea877,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,32753,0.0-5.0-0.10,xdmte1vm,,,,,,639.0,1,5c3b70640eaa0100018ea877,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,33377,0.0-5.0-0.11,xdmte1vm,,,,,,623.0,3,5c3b70640eaa0100018ea877,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,108504,0.0-6.0-0.0,xdmte1vm,,,,,,75127.0,,5c3b70640eaa0100018ea877,"[{""page_index"":0,""viewing_time"":2183},{""page_index"":1,""viewing_time"":5464},{""page_index"":2,""viewing_time"":62808},{""page_index"":3,""viewing_time"":4672}]",,,,,,,,,,,,,,,,,
introduction,19,126079,0.0-8.0-0.0,xdmte1vm,,,,,,,,5c3b70640eaa0100018ea877,,img/Red_circle.png,1342.0,calibration,,,,,,,,,,,,,,
