trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,16770,0.0-2.0,sty9nblu,,,,,,8727.0,5c560b6fccb08c0001e134a8,5c560b6fccb08c0001e134a8,,,,,,,,,,,,,,,,,,
introduction,3,20819,0.0-3.0,sty9nblu,,,,,,4048.0,5c560b6fccb08c0001e134a8,5c560b6fccb08c0001e134a8,,,,,,,,,,,,,,,,,,
introduction,4,27403,0.0-4.0-0.0,sty9nblu,,,,,,6583.0,,5c560b6fccb08c0001e134a8,"[{""page_index"":0,""viewing_time"":1050},{""page_index"":1,""viewing_time"":4450},{""page_index"":2,""viewing_time"":1083}]",,,,,,,,,,,,,,,,,
introduction,5,28472,0.0-5.0-0.0,sty9nblu,,,,,,1068.0,1,5c560b6fccb08c0001e134a8,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,28860,0.0-5.0-0.1,sty9nblu,,,,,,387.0,2,5c560b6fccb08c0001e134a8,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,29578,0.0-5.0-0.2,sty9nblu,,,,,,718.0,1,5c560b6fccb08c0001e134a8,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,30741,0.0-5.0-0.3,sty9nblu,,,,,,1163.0,3,5c560b6fccb08c0001e134a8,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,31356,0.0-5.0-0.4,sty9nblu,,,,,,614.0,2,5c560b6fccb08c0001e134a8,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,32181,0.0-5.0-0.5,sty9nblu,,,,,,824.0,3,5c560b6fccb08c0001e134a8,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,32787,0.0-5.0-0.6,sty9nblu,,,,,,606.0,1,5c560b6fccb08c0001e134a8,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,33358,0.0-5.0-0.7,sty9nblu,,,,,,571.0,2,5c560b6fccb08c0001e134a8,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,33903,0.0-5.0-0.8,sty9nblu,,,,,,545.0,3,5c560b6fccb08c0001e134a8,,Press: 3,,,,,,,,,,,,,,,,
