trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,9843,0.0-2.0,5sk8t76o,,,,,,5602.0,5c830a66d6a4d0000164097d,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,3,13403,0.0-3.0,5sk8t76o,,,,,,3558.0,5c830a66d6a4d0000164097d,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,4,18883,0.0-4.0-0.0,5sk8t76o,,,,,,5480.0,,5c830a66d6a4d0000164097d,"[{""page_index"":0,""viewing_time"":679},{""page_index"":1,""viewing_time"":3544},{""page_index"":2,""viewing_time"":1256}]",,,,,,,,,,,,,,,,,
introduction,5,19411,0.0-5.0-0.0,5sk8t76o,,,,,,527.0,1,5c830a66d6a4d0000164097d,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,19747,0.0-5.0-0.1,5sk8t76o,,,,,,336.0,2,5c830a66d6a4d0000164097d,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,20298,0.0-5.0-0.2,5sk8t76o,,,,,,550.0,1,5c830a66d6a4d0000164097d,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,20699,0.0-5.0-0.3,5sk8t76o,,,,,,401.0,3,5c830a66d6a4d0000164097d,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,21139,0.0-5.0-0.4,5sk8t76o,,,,,,440.0,2,5c830a66d6a4d0000164097d,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,21611,0.0-5.0-0.5,5sk8t76o,,,,,,472.0,3,5c830a66d6a4d0000164097d,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22043,0.0-5.0-0.6,5sk8t76o,,,,,,431.0,1,5c830a66d6a4d0000164097d,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,22475,0.0-5.0-0.7,5sk8t76o,,,,,,432.0,2,5c830a66d6a4d0000164097d,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,22907,0.0-5.0-0.8,5sk8t76o,,,,,,432.0,3,5c830a66d6a4d0000164097d,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,23371,0.0-5.0-0.9,5sk8t76o,,,,,,463.0,2,5c830a66d6a4d0000164097d,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,23803,0.0-5.0-0.10,5sk8t76o,,,,,,432.0,1,5c830a66d6a4d0000164097d,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,24275,0.0-5.0-0.11,5sk8t76o,,,,,,472.0,3,5c830a66d6a4d0000164097d,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,54755,0.0-6.0-0.0,5sk8t76o,,,,,,30480.0,,5c830a66d6a4d0000164097d,"[{""page_index"":0,""viewing_time"":944},{""page_index"":1,""viewing_time"":2880},{""page_index"":2,""viewing_time"":22520},{""page_index"":3,""viewing_time"":4136}]",,,,,,,,,,,,,,,,,
introduction,19,61390,0.0-8.0-0.0,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,img/Red_circle.png,1596.0,calibration,,,,,,,,,,,,,,
introduction,20,63116,0.0-8.0-1.0-0.0,5sk8t76o,,,,,,1724.0,323,5c830a66d6a4d0000164097d,,323,,calibration,,,,,,,,,,,,,,
introduction,21,63117,0.0-8.0-2.0,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,22,64715,0.0-8.0-0.1,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,img/Red_circle.png,1081.0,calibration,,,,,,,,,,,,,,
introduction,23,66188,0.0-8.0-1.1-0.1,5sk8t76o,,,,,,1472.0,3313,5c830a66d6a4d0000164097d,,3313,,calibration,,,,,,,,,,,,,,
introduction,24,66188,0.0-8.0-2.1,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,25,67271,0.0-8.0-0.2,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,img/Red_circle.png,3103.0,calibration,,,,,,,,,,,,,,
introduction,26,68771,0.0-8.0-1.2-0.2,5sk8t76o,,,,,,1499.0,1222,5c830a66d6a4d0000164097d,,1222,,calibration,,,,,,,,,,,,,,
introduction,27,68772,0.0-8.0-2.2,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,28,70773,0.0-8.0-0.3,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,<p>CAREFUL. That was too slow.</p>,2951.0,calibration,,,,,,,,,,,,,,
introduction,29,72725,0.0-8.0-1.3-0.3,5sk8t76o,,,,,,1951.0,3121,5c830a66d6a4d0000164097d,,3121,,calibration,,,,,,,,,,,,,,
introduction,30,72725,0.0-8.0-2.3,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,31,74726,0.0-8.0-0.4,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,<p>CAREFUL. That was too slow.</p>,2494.0,calibration,,,,,,,,,,,,,,
introduction,32,76068,0.0-8.0-1.4-0.4,5sk8t76o,,,,,,1340.0,3131,5c830a66d6a4d0000164097d,,3131,,calibration,,,,,,,,,,,,,,
introduction,33,76068,0.0-8.0-2.4,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,34,78069,0.0-8.0-0.5,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,<p>CAREFUL. That was too slow.</p>,2696.0,calibration,,,,,,,,,,,,,,
introduction,35,81795,0.0-8.0-1.5-0.5,5sk8t76o,,,,,,3726.0,2311,5c830a66d6a4d0000164097d,,2311,,calibration,,,,,,,,,,,,,,
introduction,36,83797,0.0-8.0-2.5,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,37,86494,0.0-8.0-0.6,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,img/Red_circle.png,2503.0,calibration,,,,,,,,,,,,,,
introduction,38,87891,0.0-8.0-1.6-0.6,5sk8t76o,,,,,,1396.0,1331,5c830a66d6a4d0000164097d,,1331,,calibration,,,,,,,,,,,,,,
introduction,39,87892,0.0-8.0-2.6,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,40,89892,0.0-8.0-0.7,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,<p>CAREFUL. That was too slow.</p>,2676.0,calibration,,,,,,,,,,,,,,
introduction,41,91372,0.0-8.0-1.7-0.7,5sk8t76o,,,,,,1478.0,1132,5c830a66d6a4d0000164097d,,1132,,calibration,,,,,,,,,,,,,,
introduction,42,91372,0.0-8.0-2.7,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,43,93373,0.0-8.0-0.8,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,<p>CAREFUL. That was too slow.</p>,1998.0,calibration,,,,,,,,,,,,,,
introduction,44,94883,0.0-8.0-1.8-0.8,5sk8t76o,,,,,,1509.0,233,5c830a66d6a4d0000164097d,,233,,calibration,,,,,,,,,,,,,,
introduction,45,94884,0.0-8.0-2.8,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,46,96883,0.0-8.0-0.9,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,img/Red_circle.png,2089.0,calibration,,,,,,,,,,,,,,
introduction,47,98523,0.0-8.0-1.9-0.9,5sk8t76o,,,,,,1639.0,2112,5c830a66d6a4d0000164097d,,2112,,calibration,,,,,,,,,,,,,,
introduction,48,98524,0.0-8.0-2.9,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,49,100525,0.0-8.0-0.10,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,<p>CAREFUL. That was too slow.</p>,3379.0,calibration,,,,,,,,,,,,,,
introduction,50,102180,0.0-8.0-1.10-0.10,5sk8t76o,,,,,,1654.0,1213,5c830a66d6a4d0000164097d,,1213,,calibration,,,,,,,,,,,,,,
introduction,51,102180,0.0-8.0-2.10,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,52,104180,0.0-8.0-0.11,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,<p>CAREFUL. That was too slow.</p>,1263.0,calibration,,,,,,,,,,,,,,
introduction,53,105436,0.0-8.0-1.11-0.11,5sk8t76o,,,,,,1254.0,131,5c830a66d6a4d0000164097d,,131,,calibration,,,,,,,,,,,,,,
introduction,54,105436,0.0-8.0-2.11,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,55,106700,0.0-8.0-0.12,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,img/Red_circle.png,3347.0,calibration,,,,,,,,,,,,,,
introduction,56,107925,0.0-8.0-1.12-0.12,5sk8t76o,,,,,,1224.0,322,5c830a66d6a4d0000164097d,,322,,calibration,,,,,,,,,,,,,,
introduction,57,107926,0.0-8.0-2.12,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,58,109926,0.0-8.0-0.13,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,<p>CAREFUL. That was too slow.</p>,1032.0,calibration,,,,,,,,,,,,,,
introduction,59,111988,0.0-8.0-1.13-0.13,5sk8t76o,,,,,,2060.0,2131,5c830a66d6a4d0000164097d,,2131,,calibration,,,,,,,,,,,,,,
introduction,60,111988,0.0-8.0-2.13,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,61,113022,0.0-8.0-0.14,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,img/Red_circle.png,1785.0,calibration,,,,,,,,,,,,,,
introduction,62,114091,0.0-8.0-1.14-0.14,5sk8t76o,,,,,,1068.0,32,5c830a66d6a4d0000164097d,,32,,calibration,,,,,,,,,,,,,,
introduction,63,114092,0.0-8.0-2.14,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,64,115878,0.0-8.0-0.15,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,img/Red_circle.png,2365.0,calibration,,,,,,,,,,,,,,
introduction,65,116867,0.0-8.0-1.15-0.15,5sk8t76o,,,,,,988.0,23,5c830a66d6a4d0000164097d,,23,,calibration,,,,,,,,,,,,,,
introduction,66,116868,0.0-8.0-2.15,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,67,118869,0.0-8.0-0.16,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,<p>CAREFUL. That was too slow.</p>,2598.0,calibration,,,,,,,,,,,,,,
introduction,68,120220,0.0-8.0-1.16-0.16,5sk8t76o,,,,,,1349.0,3332,5c830a66d6a4d0000164097d,,3332,,calibration,,,,,,,,,,,,,,
introduction,69,120220,0.0-8.0-2.16,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,70,122221,0.0-8.0-0.17,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,<p>CAREFUL. That was too slow.</p>,1176.0,calibration,,,,,,,,,,,,,,
introduction,71,123324,0.0-8.0-1.17-0.17,5sk8t76o,,,,,,1102.0,212,5c830a66d6a4d0000164097d,,212,,calibration,,,,,,,,,,,,,,
introduction,72,123324,0.0-8.0-2.17,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,73,124502,0.0-8.0-0.18,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,img/Red_circle.png,1747.0,calibration,,,,,,,,,,,,,,
introduction,74,125332,0.0-8.0-1.18-0.18,5sk8t76o,,,,,,829.0,32,5c830a66d6a4d0000164097d,,32,,calibration,,,,,,,,,,,,,,
introduction,75,125332,0.0-8.0-2.18,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,76,127081,0.0-8.0-0.19,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,img/Red_circle.png,1521.0,calibration,,,,,,,,,,,,,,
introduction,77,128267,0.0-8.0-1.19-0.19,5sk8t76o,,,,,,1186.0,1121,5c830a66d6a4d0000164097d,,1121,,calibration,,,,,,,,,,,,,,
introduction,78,128268,0.0-8.0-2.19,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,,,,,,,,,,,,,,,,,
introduction,79,129791,0.0-8.0-0.20,5sk8t76o,,,,,,,,5c830a66d6a4d0000164097d,,img/Red_circle.png,1960.0,calibration,,,,,,,,,,,,,,
