trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,5774,0.0-2.0,kn6ck83x,,,,,,4423.0,5cae3e6a47494e0018328cbb,5cae3e6a47494e0018328cbb,,,,,,,,,,,,,,,,,,
introduction,3,9291,0.0-3.0,kn6ck83x,,,,,,3515.0,5cae3e6a47494e0018328cbb,5cae3e6a47494e0018328cbb,,,,,,,,,,,,,,,,,,
introduction,4,20807,0.0-4.0-0.0,kn6ck83x,,,,,,11516.0,,5cae3e6a47494e0018328cbb,"[{""page_index"":0,""viewing_time"":1182},{""page_index"":1,""viewing_time"":9501},{""page_index"":2,""viewing_time"":833}]",,,,,,,,,,,,,,,,,
introduction,5,21580,0.0-5.0-0.0,kn6ck83x,,,,,,771.0,1,5cae3e6a47494e0018328cbb,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,22066,0.0-5.0-0.1,kn6ck83x,,,,,,485.0,2,5cae3e6a47494e0018328cbb,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,22957,0.0-5.0-0.2,kn6ck83x,,,,,,890.0,1,5cae3e6a47494e0018328cbb,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,23814,0.0-5.0-0.3,kn6ck83x,,,,,,856.0,3,5cae3e6a47494e0018328cbb,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,24511,0.0-5.0-0.4,kn6ck83x,,,,,,696.0,2,5cae3e6a47494e0018328cbb,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,25179,0.0-5.0-0.5,kn6ck83x,,,,,,667.0,3,5cae3e6a47494e0018328cbb,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,25730,0.0-5.0-0.6,kn6ck83x,,,,,,550.0,1,5cae3e6a47494e0018328cbb,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,26474,0.0-5.0-0.7,kn6ck83x,,,,,,743.0,2,5cae3e6a47494e0018328cbb,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,27116,0.0-5.0-0.8,kn6ck83x,,,,,,641.0,3,5cae3e6a47494e0018328cbb,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,27827,0.0-5.0-0.9,kn6ck83x,,,,,,711.0,2,5cae3e6a47494e0018328cbb,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,28351,0.0-5.0-0.10,kn6ck83x,,,,,,524.0,1,5cae3e6a47494e0018328cbb,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,29010,0.0-5.0-0.11,kn6ck83x,,,,,,658.0,3,5cae3e6a47494e0018328cbb,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,46241,0.0-6.0-0.0,kn6ck83x,,,,,,17231.0,,5cae3e6a47494e0018328cbb,"[{""page_index"":0,""viewing_time"":1363},{""page_index"":1,""viewing_time"":2766},{""page_index"":2,""viewing_time"":11368},{""page_index"":3,""viewing_time"":1733}]",,,,,,,,,,,,,,,,,
