trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,13290,0.0-2.0,bq15amrf,,,,,,3512.0,5cf804f0c5cf0e00010c02d5,5cf804f0c5cf0e00010c02d5,,,,,,,,,,,,,,,,,,
introduction,3,16328,0.0-3.0,bq15amrf,,,,,,3030.0,5cf804f0c5cf0e00010c02d5,5cf804f0c5cf0e00010c02d5,,,,,,,,,,,,,,,,,,
introduction,4,25992,0.0-4.0-0.0,bq15amrf,,,,,,9663.0,,5cf804f0c5cf0e00010c02d5,"[{""page_index"":0,""viewing_time"":1192},{""page_index"":1,""viewing_time"":6575},{""page_index"":2,""viewing_time"":1896}]",,,,,,,,,,,,,,,,,
introduction,5,27274,0.0-5.0-0.0,bq15amrf,,,,,,1281.0,1,5cf804f0c5cf0e00010c02d5,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,28394,0.0-5.0-0.1,bq15amrf,,,,,,1118.0,2,5cf804f0c5cf0e00010c02d5,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,29274,0.0-5.0-0.2,bq15amrf,,,,,,878.0,1,5cf804f0c5cf0e00010c02d5,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,30506,0.0-5.0-0.3,bq15amrf,,,,,,1231.0,3,5cf804f0c5cf0e00010c02d5,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,31401,0.0-5.0-0.4,bq15amrf,,,,,,894.0,2,5cf804f0c5cf0e00010c02d5,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,32234,0.0-5.0-0.5,bq15amrf,,,,,,832.0,3,5cf804f0c5cf0e00010c02d5,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,33129,0.0-5.0-0.6,bq15amrf,,,,,,894.0,1,5cf804f0c5cf0e00010c02d5,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,34601,0.0-5.0-0.7,bq15amrf,,,,,,1470.0,2,5cf804f0c5cf0e00010c02d5,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,35290,0.0-5.0-0.8,bq15amrf,,,,,,690.0,3,5cf804f0c5cf0e00010c02d5,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,35992,0.0-5.0-0.9,bq15amrf,,,,,,702.0,2,5cf804f0c5cf0e00010c02d5,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,36843,0.0-5.0-0.10,bq15amrf,,,,,,848.0,1,5cf804f0c5cf0e00010c02d5,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,37610,0.0-5.0-0.11,bq15amrf,,,,,,765.0,3,5cf804f0c5cf0e00010c02d5,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,63079,0.0-6.0-0.0,bq15amrf,,,,,,25470.0,,5cf804f0c5cf0e00010c02d5,"[{""page_index"":0,""viewing_time"":1901},{""page_index"":1,""viewing_time"":2673},{""page_index"":2,""viewing_time"":18000},{""page_index"":3,""viewing_time"":2896}]",,,,,,,,,,,,,,,,,
introduction,19,84849,0.0-8.0-0.0,bq15amrf,,,,,,,,5cf804f0c5cf0e00010c02d5,,img/Red_circle.png,2171.0,calibration,,,,,,,,,,,,,,
introduction,20,87576,0.0-8.0-1.0-0.0,bq15amrf,,,,,,2714.0,3333,5cf804f0c5cf0e00010c02d5,,3333,,calibration,,,,,,,,,,,,,,
introduction,21,87578,0.0-8.0-2.0,bq15amrf,,,,,,,,5cf804f0c5cf0e00010c02d5,,,,,,,,,,,,,,,,,,
introduction,22,89586,0.0-8.0-0.1,bq15amrf,,,,,,,,5cf804f0c5cf0e00010c02d5,,<p>CAREFUL. That was too slow.</p>,1605.0,calibration,,,,,,,,,,,,,,
introduction,23,92232,0.0-8.0-1.1-0.1,bq15amrf,,,,,,2610.0,1223,5cf804f0c5cf0e00010c02d5,,1223,,calibration,,,,,,,,,,,,,,
introduction,24,92234,0.0-8.0-2.1,bq15amrf,,,,,,,,5cf804f0c5cf0e00010c02d5,,,,,,,,,,,,,,,,,,
