trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,29788,0.0-2.0,26jvu099,,,,,,26304.0,5d3695969749cc00165c222f,5d3695969749cc00165c222f,,,,,,,,,,,,,,,,,,
introduction,3,31737,0.0-3.0,26jvu099,,,,,,1949.0,5d3695969749cc00165c222f,5d3695969749cc00165c222f,,,,,,,,,,,,,,,,,,
introduction,4,37950,0.0-4.0-0.0,26jvu099,,,,,,6213.0,,5d3695969749cc00165c222f,"[{""page_index"":0,""viewing_time"":800},{""page_index"":1,""viewing_time"":4569},{""page_index"":2,""viewing_time"":843}]",,,,,,,,,,,,,,,,,
introduction,5,38882,0.0-5.0-0.0,26jvu099,,,,,,931.0,1,5d3695969749cc00165c222f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,39331,0.0-5.0-0.1,26jvu099,,,,,,449.0,2,5d3695969749cc00165c222f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,39980,0.0-5.0-0.2,26jvu099,,,,,,649.0,1,5d3695969749cc00165c222f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,40540,0.0-5.0-0.3,26jvu099,,,,,,559.0,3,5d3695969749cc00165c222f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,41139,0.0-5.0-0.4,26jvu099,,,,,,599.0,2,5d3695969749cc00165c222f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,41703,0.0-5.0-0.5,26jvu099,,,,,,564.0,3,5d3695969749cc00165c222f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,42250,0.0-5.0-0.6,26jvu099,,,,,,546.0,1,5d3695969749cc00165c222f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,42799,0.0-5.0-0.7,26jvu099,,,,,,549.0,2,5d3695969749cc00165c222f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,43369,0.0-5.0-0.8,26jvu099,,,,,,569.0,3,5d3695969749cc00165c222f,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,43937,0.0-5.0-0.9,26jvu099,,,,,,568.0,2,5d3695969749cc00165c222f,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,44454,0.0-5.0-0.10,26jvu099,,,,,,516.0,1,5d3695969749cc00165c222f,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,45045,0.0-5.0-0.11,26jvu099,,,,,,592.0,3,5d3695969749cc00165c222f,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,67405,0.0-6.0-0.0,26jvu099,,,,,,22359.0,,5d3695969749cc00165c222f,"[{""page_index"":0,""viewing_time"":765},{""page_index"":1,""viewing_time"":4554},{""page_index"":2,""viewing_time"":15761},{""page_index"":3,""viewing_time"":1280}]",,,,,,,,,,,,,,,,,
introduction,19,78686,0.0-8.0-0.0,26jvu099,,,,,,,,5d3695969749cc00165c222f,,img/Red_circle.png,1466.0,calibration,,,,,,,,,,,,,,
introduction,20,82231,0.0-8.0-1.0-0.0,26jvu099,,,,,,3544.0,3312,5d3695969749cc00165c222f,,3312,,calibration,,,,,,,,,,,,,,
introduction,21,84243,0.0-8.0-2.0,26jvu099,,,,,,,,5d3695969749cc00165c222f,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,85718,0.0-8.0-0.1,26jvu099,,,,,,,,5d3695969749cc00165c222f,,img/Red_circle.png,1071.0,calibration,,,,,,,,,,,,,,
introduction,23,87435,0.0-8.0-1.1-0.1,26jvu099,,,,,,1716.0,2223,5d3695969749cc00165c222f,,2223,,calibration,,,,,,,,,,,,,,
introduction,24,87435,0.0-8.0-2.1,26jvu099,,,,,,,,5d3695969749cc00165c222f,,,,,,,,,,,,,,,,,,
introduction,25,88514,0.0-8.0-0.2,26jvu099,,,,,,,,5d3695969749cc00165c222f,,img/Red_circle.png,1804.0,calibration,,,,,,,,,,,,,,
introduction,26,90144,0.0-8.0-1.2-0.2,26jvu099,,,,,,1629.0,3222,5d3695969749cc00165c222f,,3222,,calibration,,,,,,,,,,,,,,
introduction,27,90145,0.0-8.0-2.2,26jvu099,,,,,,,,5d3695969749cc00165c222f,,,,,,,,,,,,,,,,,,
introduction,28,91950,0.0-8.0-0.3,26jvu099,,,,,,,,5d3695969749cc00165c222f,,img/Red_circle.png,2166.0,calibration,,,,,,,,,,,,,,
introduction,29,93267,0.0-8.0-1.3-0.3,26jvu099,,,,,,1316.0,1111,5d3695969749cc00165c222f,,1111,,calibration,,,,,,,,,,,,,,
introduction,30,93267,0.0-8.0-2.3,26jvu099,,,,,,,,5d3695969749cc00165c222f,,,,,,,,,,,,,,,,,,
introduction,31,95268,0.0-8.0-0.4,26jvu099,,,,,,,,5d3695969749cc00165c222f,,<p>CAREFUL. That was too slow.</p>,2835.0,calibration,,,,,,,,,,,,,,
introduction,32,96970,0.0-8.0-1.4-0.4,26jvu099,,,,,,1701.0,2112,5d3695969749cc00165c222f,,2112,,calibration,,,,,,,,,,,,,,
introduction,33,96970,0.0-8.0-2.4,26jvu099,,,,,,,,5d3695969749cc00165c222f,,,,,,,,,,,,,,,,,,
introduction,34,98971,0.0-8.0-0.5,26jvu099,,,,,,,,5d3695969749cc00165c222f,,<p>CAREFUL. That was too slow.</p>,2093.0,calibration,,,,,,,,,,,,,,
