trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,9595,0.0-2.0,m1zuhgos,,,,,,5842.0,5d4c7ac3e8ec490018b0050d,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,3,13870,0.0-3.0,m1zuhgos,,,,,,4272.0,5d4c7ac3e8ec490018b0050d,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,4,22900,0.0-4.0-0.0,m1zuhgos,,,,,,9028.0,,5d4c7ac3e8ec490018b0050d,"[{""page_index"":0,""viewing_time"":1666},{""page_index"":1,""viewing_time"":5888},{""page_index"":2,""viewing_time"":1474}]",,,,,,,,,,,,,,,,,
introduction,5,24463,0.0-5.0-0.0,m1zuhgos,,,,,,1561.0,1,5d4c7ac3e8ec490018b0050d,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,25359,0.0-5.0-0.1,m1zuhgos,,,,,,895.0,2,5d4c7ac3e8ec490018b0050d,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,26151,0.0-5.0-0.2,m1zuhgos,,,,,,791.0,1,5d4c7ac3e8ec490018b0050d,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,26943,0.0-5.0-0.3,m1zuhgos,,,,,,791.0,3,5d4c7ac3e8ec490018b0050d,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,27991,0.0-5.0-0.4,m1zuhgos,,,,,,1047.0,2,5d4c7ac3e8ec490018b0050d,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,28695,0.0-5.0-0.5,m1zuhgos,,,,,,703.0,3,5d4c7ac3e8ec490018b0050d,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,29303,0.0-5.0-0.6,m1zuhgos,,,,,,607.0,1,5d4c7ac3e8ec490018b0050d,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,29887,0.0-5.0-0.7,m1zuhgos,,,,,,583.0,2,5d4c7ac3e8ec490018b0050d,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,30406,0.0-5.0-0.8,m1zuhgos,,,,,,518.0,3,5d4c7ac3e8ec490018b0050d,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,31423,0.0-5.0-0.9,m1zuhgos,,,,,,1016.0,2,5d4c7ac3e8ec490018b0050d,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,32111,0.0-5.0-0.10,m1zuhgos,,,,,,687.0,1,5d4c7ac3e8ec490018b0050d,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,32815,0.0-5.0-0.11,m1zuhgos,,,,,,703.0,3,5d4c7ac3e8ec490018b0050d,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,59517,0.0-6.0-0.0,m1zuhgos,,,,,,26702.0,,5d4c7ac3e8ec490018b0050d,"[{""page_index"":0,""viewing_time"":2716},{""page_index"":1,""viewing_time"":3860},{""page_index"":2,""viewing_time"":18466},{""page_index"":3,""viewing_time"":1660}]",,,,,,,,,,,,,,,,,
introduction,19,72412,0.0-8.0-0.0,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,img/Red_circle.png,1283.0,calibration,,,,,,,,,,,,,,
introduction,20,77791,0.0-8.0-1.0-0.0,m1zuhgos,,,,,,5374.0,3223,5d4c7ac3e8ec490018b0050d,,3223,,calibration,,,,,,,,,,,,,,
introduction,21,79794,0.0-8.0-2.0,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,81091,0.0-8.0-0.1,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,img/Red_circle.png,1739.0,calibration,,,,,,,,,,,,,,
introduction,23,83375,0.0-8.0-1.1-0.1,m1zuhgos,,,,,,2281.0,322,5d4c7ac3e8ec490018b0050d,,322,,calibration,,,,,,,,,,,,,,
introduction,24,83376,0.0-8.0-2.1,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,25,85128,0.0-8.0-0.2,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,img/Red_circle.png,1937.0,calibration,,,,,,,,,,,,,,
introduction,26,87560,0.0-8.0-1.2-0.2,m1zuhgos,,,,,,2428.0,3213,5d4c7ac3e8ec490018b0050d,,3213,,calibration,,,,,,,,,,,,,,
introduction,27,87561,0.0-8.0-2.2,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,28,89501,0.0-8.0-0.3,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,img/Red_circle.png,1790.0,calibration,,,,,,,,,,,,,,
introduction,29,92071,0.0-8.0-1.3-0.3,m1zuhgos,,,,,,2567.0,3312,5d4c7ac3e8ec490018b0050d,,3312,,calibration,,,,,,,,,,,,,,
introduction,30,92072,0.0-8.0-2.3,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,31,93873,0.0-8.0-0.4,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,img/Red_circle.png,2810.0,calibration,,,,,,,,,,,,,,
introduction,32,101640,0.0-8.0-1.4-0.4,m1zuhgos,,,,,,7763.0,3112,5d4c7ac3e8ec490018b0050d,,3112,,calibration,,,,,,,,,,,,,,
introduction,33,103642,0.0-8.0-2.4,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,34,106455,0.0-8.0-0.5,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,img/Red_circle.png,3152.0,calibration,,,,,,,,,,,,,,
introduction,35,108879,0.0-8.0-1.5-0.5,m1zuhgos,,,,,,2421.0,3233,5d4c7ac3e8ec490018b0050d,,3233,,calibration,,,,,,,,,,,,,,
introduction,36,108880,0.0-8.0-2.5,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,37,110882,0.0-8.0-0.6,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,<p>CAREFUL. That was too slow.</p>,1524.0,calibration,,,,,,,,,,,,,,
introduction,38,113567,0.0-8.0-1.6-0.6,m1zuhgos,,,,,,2681.0,1323,5d4c7ac3e8ec490018b0050d,,1323,,calibration,,,,,,,,,,,,,,
introduction,39,113568,0.0-8.0-2.6,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,40,115105,0.0-8.0-0.7,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,img/Red_circle.png,2147.0,calibration,,,,,,,,,,,,,,
introduction,41,117567,0.0-8.0-1.7-0.7,m1zuhgos,,,,,,2459.0,1112,5d4c7ac3e8ec490018b0050d,,1112,,calibration,,,,,,,,,,,,,,
introduction,42,117568,0.0-8.0-2.7,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,43,119573,0.0-8.0-0.8,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,<p>CAREFUL. That was too slow.</p>,3137.0,calibration,,,,,,,,,,,,,,
introduction,44,122238,0.0-8.0-1.8-0.8,m1zuhgos,,,,,,2662.0,2323,5d4c7ac3e8ec490018b0050d,,2323,,calibration,,,,,,,,,,,,,,
introduction,45,122240,0.0-8.0-2.8,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,46,124240,0.0-8.0-0.9,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,<p>CAREFUL. That was too slow.</p>,1107.0,calibration,,,,,,,,,,,,,,
introduction,47,127102,0.0-8.0-1.9-0.9,m1zuhgos,,,,,,2859.0,3133,5d4c7ac3e8ec490018b0050d,,3133,,calibration,,,,,,,,,,,,,,
introduction,48,127103,0.0-8.0-2.9,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,49,128215,0.0-8.0-0.10,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,img/Red_circle.png,1556.0,calibration,,,,,,,,,,,,,,
introduction,50,130470,0.0-8.0-1.10-0.10,m1zuhgos,,,,,,2252.0,211,5d4c7ac3e8ec490018b0050d,,211,,calibration,,,,,,,,,,,,,,
introduction,51,130471,0.0-8.0-2.10,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,52,132034,0.0-8.0-0.11,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,img/Red_circle.png,3111.0,calibration,,,,,,,,,,,,,,
introduction,53,134094,0.0-8.0-1.11-0.11,m1zuhgos,,,,,,2057.0,321,5d4c7ac3e8ec490018b0050d,,321,,calibration,,,,,,,,,,,,,,
introduction,54,134095,0.0-8.0-2.11,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,55,136102,0.0-8.0-0.12,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,<p>CAREFUL. That was too slow.</p>,1239.0,calibration,,,,,,,,,,,,,,
introduction,56,138102,0.0-8.0-1.12-0.12,m1zuhgos,,,,,,1997.0,1212,5d4c7ac3e8ec490018b0050d,,1212,,calibration,,,,,,,,,,,,,,
introduction,57,138103,0.0-8.0-2.12,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,58,139355,0.0-8.0-0.13,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,img/Red_circle.png,2459.0,calibration,,,,,,,,,,,,,,
introduction,59,144726,0.0-8.0-1.13-0.13,m1zuhgos,,,,,,5369.0,2131,5d4c7ac3e8ec490018b0050d,,2131,,calibration,,,,,,,,,,,,,,
introduction,60,146735,0.0-8.0-2.13,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,61,149206,0.0-8.0-0.14,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,img/Red_circle.png,3081.0,calibration,,,,,,,,,,,,,,
introduction,62,151814,0.0-8.0-1.14-0.14,m1zuhgos,,,,,,2605.0,2323,5d4c7ac3e8ec490018b0050d,,2323,,calibration,,,,,,,,,,,,,,
introduction,63,151815,0.0-8.0-2.14,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,,,,,,,,,,,,,,,,,
introduction,64,153821,0.0-8.0-0.15,m1zuhgos,,,,,,,,5d4c7ac3e8ec490018b0050d,,<p>CAREFUL. That was too slow.</p>,1956.0,calibration,,,,,,,,,,,,,,
introduction,65,155983,0.0-8.0-1.15-0.15,m1zuhgos,,,,,,2159.0,2331,5d4c7ac3e8ec490018b0050d,,2331,,calibration,,,,,,,,,,,,,,
