trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,9513,0.0-2.0,dwfkevlk,,,,,,6620.0,5d9be88c195db300128d652a,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,3,12870,0.0-3.0,dwfkevlk,,,,,,3350.0,5d9be88c195db300128d652a,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,4,19922,0.0-4.0-0.0,dwfkevlk,,,,,,7050.0,,5d9be88c195db300128d652a,"[{""page_index"":0,""viewing_time"":1131},{""page_index"":1,""viewing_time"":4743},{""page_index"":2,""viewing_time"":1175}]",,,,,,,,,,,,,,,,,
introduction,5,21201,0.0-5.0-0.0,dwfkevlk,,,,,,1277.0,1,5d9be88c195db300128d652a,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,21748,0.0-5.0-0.1,dwfkevlk,,,,,,546.0,2,5d9be88c195db300128d652a,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,23061,0.0-5.0-0.2,dwfkevlk,,,,,,1312.0,1,5d9be88c195db300128d652a,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,23909,0.0-5.0-0.3,dwfkevlk,,,,,,847.0,3,5d9be88c195db300128d652a,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,24811,0.0-5.0-0.4,dwfkevlk,,,,,,902.0,2,5d9be88c195db300128d652a,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,25625,0.0-5.0-0.5,dwfkevlk,,,,,,813.0,3,5d9be88c195db300128d652a,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,26669,0.0-5.0-0.6,dwfkevlk,,,,,,1043.0,1,5d9be88c195db300128d652a,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,27466,0.0-5.0-0.7,dwfkevlk,,,,,,796.0,2,5d9be88c195db300128d652a,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,28222,0.0-5.0-0.8,dwfkevlk,,,,,,756.0,3,5d9be88c195db300128d652a,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,29017,0.0-5.0-0.9,dwfkevlk,,,,,,794.0,2,5d9be88c195db300128d652a,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,29704,0.0-5.0-0.10,dwfkevlk,,,,,,686.0,1,5d9be88c195db300128d652a,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,30682,0.0-5.0-0.11,dwfkevlk,,,,,,977.0,3,5d9be88c195db300128d652a,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,55468,0.0-6.0-0.0,dwfkevlk,,,,,,24785.0,,5d9be88c195db300128d652a,"[{""page_index"":0,""viewing_time"":1029},{""page_index"":1,""viewing_time"":7317},{""page_index"":2,""viewing_time"":15305},{""page_index"":3,""viewing_time"":1133}]",,,,,,,,,,,,,,,,,
introduction,19,86086,0.0-8.0-0.0,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,img/Red_circle.png,1149.0,calibration,,,,,,,,,,,,,,
introduction,20,88882,0.0-8.0-1.0-0.0,dwfkevlk,,,,,,2778.0,213,5d9be88c195db300128d652a,,213,,calibration,,,,,,,,,,,,,,
introduction,21,88893,0.0-8.0-2.0,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,22,90062,0.0-8.0-0.1,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,img/Red_circle.png,1870.0,calibration,,,,,,,,,,,,,,
introduction,23,91875,0.0-8.0-1.1-0.1,dwfkevlk,,,,,,1806.0,121,5d9be88c195db300128d652a,,121,,calibration,,,,,,,,,,,,,,
introduction,24,91876,0.0-8.0-2.1,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,25,93763,0.0-8.0-0.2,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,img/Red_circle.png,1606.0,calibration,,,,,,,,,,,,,,
introduction,26,95299,0.0-8.0-1.2-0.2,dwfkevlk,,,,,,1531.0,21,5d9be88c195db300128d652a,,21,,calibration,,,,,,,,,,,,,,
introduction,27,95300,0.0-8.0-2.2,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,28,96914,0.0-8.0-0.3,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,img/Red_circle.png,1523.0,calibration,,,,,,,,,,,,,,
introduction,29,98721,0.0-8.0-1.3-0.3,dwfkevlk,,,,,,1803.0,321,5d9be88c195db300128d652a,,321,,calibration,,,,,,,,,,,,,,
introduction,30,98722,0.0-8.0-2.3,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,31,100259,0.0-8.0-0.4,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,img/Red_circle.png,1499.0,calibration,,,,,,,,,,,,,,
introduction,32,102835,0.0-8.0-1.4-0.4,dwfkevlk,,,,,,2572.0,3123,5d9be88c195db300128d652a,,3123,,calibration,,,,,,,,,,,,,,
introduction,33,102836,0.0-8.0-2.4,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,34,104351,0.0-8.0-0.5,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,img/Red_circle.png,1092.0,calibration,,,,,,,,,,,,,,
introduction,35,106402,0.0-8.0-1.5-0.5,dwfkevlk,,,,,,2045.0,1311,5d9be88c195db300128d652a,,1311,,calibration,,,,,,,,,,,,,,
introduction,36,106403,0.0-8.0-2.5,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,37,107510,0.0-8.0-0.6,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,img/Red_circle.png,2975.0,calibration,,,,,,,,,,,,,,
introduction,38,109403,0.0-8.0-1.6-0.6,dwfkevlk,,,,,,1890.0,3332,5d9be88c195db300128d652a,,3332,,calibration,,,,,,,,,,,,,,
introduction,39,109404,0.0-8.0-2.6,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,40,111413,0.0-8.0-0.7,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,<p>CAREFUL. That was too slow.</p>,1446.0,calibration,,,,,,,,,,,,,,
introduction,41,113318,0.0-8.0-1.7-0.7,dwfkevlk,,,,,,1902.0,1332,5d9be88c195db300128d652a,,1332,,calibration,,,,,,,,,,,,,,
introduction,42,113319,0.0-8.0-2.7,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,43,114780,0.0-8.0-0.8,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,img/Red_circle.png,3129.0,calibration,,,,,,,,,,,,,,
introduction,44,116577,0.0-8.0-1.8-0.8,dwfkevlk,,,,,,1794.0,1122,5d9be88c195db300128d652a,,1122,,calibration,,,,,,,,,,,,,,
introduction,45,116578,0.0-8.0-2.8,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,46,118579,0.0-8.0-0.9,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,<p>CAREFUL. That was too slow.</p>,2176.0,calibration,,,,,,,,,,,,,,
introduction,47,120834,0.0-8.0-1.9-0.9,dwfkevlk,,,,,,2251.0,3333,5d9be88c195db300128d652a,,3333,,calibration,,,,,,,,,,,,,,
introduction,48,120835,0.0-8.0-2.9,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,49,122851,0.0-8.0-0.10,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,<p>CAREFUL. That was too slow.</p>,1226.0,calibration,,,,,,,,,,,,,,
introduction,50,125090,0.0-8.0-1.10-0.10,dwfkevlk,,,,,,2234.0,2332,5d9be88c195db300128d652a,,2332,,calibration,,,,,,,,,,,,,,
introduction,51,125091,0.0-8.0-2.10,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,52,126330,0.0-8.0-0.11,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,img/Red_circle.png,2938.0,calibration,,,,,,,,,,,,,,
introduction,53,127927,0.0-8.0-1.11-0.11,dwfkevlk,,,,,,1592.0,131,5d9be88c195db300128d652a,,131,,calibration,,,,,,,,,,,,,,
introduction,54,127928,0.0-8.0-2.11,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,55,129937,0.0-8.0-0.12,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,<p>CAREFUL. That was too slow.</p>,1764.0,calibration,,,,,,,,,,,,,,
introduction,56,131425,0.0-8.0-1.12-0.12,dwfkevlk,,,,,,1484.0,32,5d9be88c195db300128d652a,,32,,calibration,,,,,,,,,,,,,,
introduction,57,131427,0.0-8.0-2.12,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,58,133206,0.0-8.0-0.13,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,img/Red_circle.png,2046.0,calibration,,,,,,,,,,,,,,
introduction,59,135728,0.0-8.0-1.13-0.13,dwfkevlk,,,,,,2517.0,3212,5d9be88c195db300128d652a,,3212,,calibration,,,,,,,,,,,,,,
introduction,60,135729,0.0-8.0-2.13,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,61,137734,0.0-8.0-0.14,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,<p>CAREFUL. That was too slow.</p>,3366.0,calibration,,,,,,,,,,,,,,
introduction,62,139857,0.0-8.0-1.14-0.14,dwfkevlk,,,,,,2118.0,2112,5d9be88c195db300128d652a,,2112,,calibration,,,,,,,,,,,,,,
introduction,63,139858,0.0-8.0-2.14,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,64,141865,0.0-8.0-0.15,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,<p>CAREFUL. That was too slow.</p>,2921.0,calibration,,,,,,,,,,,,,,
introduction,65,143441,0.0-8.0-1.15-0.15,dwfkevlk,,,,,,1572.0,321,5d9be88c195db300128d652a,,321,,calibration,,,,,,,,,,,,,,
introduction,66,143442,0.0-8.0-2.15,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,67,145448,0.0-8.0-0.16,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,<p>CAREFUL. That was too slow.</p>,2326.0,calibration,,,,,,,,,,,,,,
introduction,68,147570,0.0-8.0-1.16-0.16,dwfkevlk,,,,,,2119.0,3212,5d9be88c195db300128d652a,,3212,,calibration,,,,,,,,,,,,,,
introduction,69,147572,0.0-8.0-2.16,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,70,149584,0.0-8.0-0.17,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,<p>CAREFUL. That was too slow.</p>,1981.0,calibration,,,,,,,,,,,,,,
introduction,71,151658,0.0-8.0-1.17-0.17,dwfkevlk,,,,,,2071.0,1323,5d9be88c195db300128d652a,,1323,,calibration,,,,,,,,,,,,,,
introduction,72,151659,0.0-8.0-2.17,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,,,,,,,,,,,,,,,,,
introduction,73,153653,0.0-8.0-0.18,dwfkevlk,,,,,,,,5d9be88c195db300128d652a,,img/Red_circle.png,3187.0,calibration,,,,,,,,,,,,,,
