trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,5624,0.0-2.0,850epgdw,,,,,,3291.0,5dad4c34b3446a0015e3de93,5dad4c34b3446a0015e3de93,,,,,,,,,,,,,,,,,,
introduction,3,7581,0.0-3.0,850epgdw,,,,,,1956.0,5dad4c34b3446a0015e3de93,5dad4c34b3446a0015e3de93,,,,,,,,,,,,,,,,,,
introduction,4,12964,0.0-4.0-0.0,850epgdw,,,,,,5382.0,,5dad4c34b3446a0015e3de93,"[{""page_index"":0,""viewing_time"":761},{""page_index"":1,""viewing_time"":3719},{""page_index"":2,""viewing_time"":903}]",,,,,,,,,,,,,,,,,
introduction,5,14359,0.0-5.0-0.0,850epgdw,,,,,,1394.0,1,5dad4c34b3446a0015e3de93,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,14794,0.0-5.0-0.1,850epgdw,,,,,,434.0,2,5dad4c34b3446a0015e3de93,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,15511,0.0-5.0-0.2,850epgdw,,,,,,716.0,1,5dad4c34b3446a0015e3de93,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,16038,0.0-5.0-0.3,850epgdw,,,,,,526.0,3,5dad4c34b3446a0015e3de93,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,16639,0.0-5.0-0.4,850epgdw,,,,,,601.0,2,5dad4c34b3446a0015e3de93,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,17229,0.0-5.0-0.5,850epgdw,,,,,,590.0,3,5dad4c34b3446a0015e3de93,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,17781,0.0-5.0-0.6,850epgdw,,,,,,552.0,1,5dad4c34b3446a0015e3de93,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,18252,0.0-5.0-0.7,850epgdw,,,,,,471.0,2,5dad4c34b3446a0015e3de93,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,18653,0.0-5.0-0.8,850epgdw,,,,,,401.0,3,5dad4c34b3446a0015e3de93,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,19208,0.0-5.0-0.9,850epgdw,,,,,,555.0,2,5dad4c34b3446a0015e3de93,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,19659,0.0-5.0-0.10,850epgdw,,,,,,450.0,1,5dad4c34b3446a0015e3de93,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,20228,0.0-5.0-0.11,850epgdw,,,,,,568.0,3,5dad4c34b3446a0015e3de93,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,39923,0.0-6.0-0.0,850epgdw,,,,,,19696.0,,5dad4c34b3446a0015e3de93,"[{""page_index"":0,""viewing_time"":3023},{""page_index"":1,""viewing_time"":2682},{""page_index"":2,""viewing_time"":12914},{""page_index"":3,""viewing_time"":1076}]",,,,,,,,,,,,,,,,,
introduction,19,50932,0.0-8.0-0.0,850epgdw,,,,,,,,5dad4c34b3446a0015e3de93,,img/Red_circle.png,3317.0,calibration,,,,,,,,,,,,,,
introduction,20,52315,0.0-8.0-1.0-0.0,850epgdw,,,,,,1382.0,2122,5dad4c34b3446a0015e3de93,,2122,,calibration,,,,,,,,,,,,,,
introduction,21,52316,0.0-8.0-2.0,850epgdw,,,,,,,,5dad4c34b3446a0015e3de93,,,,,,,,,,,,,,,,,,
introduction,22,54316,0.0-8.0-0.1,850epgdw,,,,,,,,5dad4c34b3446a0015e3de93,,<p>CAREFUL. That was too slow.</p>,1800.0,calibration,,,,,,,,,,,,,,
introduction,23,55354,0.0-8.0-1.1-0.1,850epgdw,,,,,,1036.0,223,5dad4c34b3446a0015e3de93,,223,,calibration,,,,,,,,,,,,,,
introduction,24,55355,0.0-8.0-2.1,850epgdw,,,,,,,,5dad4c34b3446a0015e3de93,,,,,,,,,,,,,,,,,,
introduction,25,57156,0.0-8.0-0.2,850epgdw,,,,,,,,5dad4c34b3446a0015e3de93,,img/Red_circle.png,2097.0,calibration,,,,,,,,,,,,,,
introduction,26,58838,0.0-8.0-1.2-0.2,850epgdw,,,,,,1680.0,3321,5dad4c34b3446a0015e3de93,,3321,,calibration,,,,,,,,,,,,,,
introduction,27,58838,0.0-8.0-2.2,850epgdw,,,,,,,,5dad4c34b3446a0015e3de93,,,,,,,,,,,,,,,,,,
introduction,28,60839,0.0-8.0-0.3,850epgdw,,,,,,,,5dad4c34b3446a0015e3de93,,<p>CAREFUL. That was too slow.</p>,2464.0,calibration,,,,,,,,,,,,,,
introduction,29,61793,0.0-8.0-1.3-0.3,850epgdw,,,,,,953.0,333,5dad4c34b3446a0015e3de93,,333,,calibration,,,,,,,,,,,,,,
introduction,30,61793,0.0-8.0-2.3,850epgdw,,,,,,,,5dad4c34b3446a0015e3de93,,,,,,,,,,,,,,,,,,
introduction,31,63794,0.0-8.0-0.4,850epgdw,,,,,,,,5dad4c34b3446a0015e3de93,,<p>CAREFUL. That was too slow.</p>,2699.0,calibration,,,,,,,,,,,,,,
introduction,32,64631,0.0-8.0-1.4-0.4,850epgdw,,,,,,835.0,333,5dad4c34b3446a0015e3de93,,333,,calibration,,,,,,,,,,,,,,
introduction,33,64631,0.0-8.0-2.4,850epgdw,,,,,,,,5dad4c34b3446a0015e3de93,,,,,,,,,,,,,,,,,,
introduction,34,66632,0.0-8.0-0.5,850epgdw,,,,,,,,5dad4c34b3446a0015e3de93,,<p>CAREFUL. That was too slow.</p>,1073.0,calibration,,,,,,,,,,,,,,
