trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10942,0.0-2.0,bvkhcsrz,,,,,,4721.0,5dbf261c3b89f23ccd3007af,5dbf261c3b89f23ccd3007af,,,,,,,,,,,,,,,,,,
introduction,3,15135,0.0-3.0,bvkhcsrz,,,,,,4189.0,5dbf261c3b89f23ccd3007af,5dbf261c3b89f23ccd3007af,,,,,,,,,,,,,,,,,,
introduction,4,21416,0.0-4.0-0.0,bvkhcsrz,,,,,,6280.0,,5dbf261c3b89f23ccd3007af,"[{""page_index"":0,""viewing_time"":1266},{""page_index"":1,""viewing_time"":3848},{""page_index"":2,""viewing_time"":1166}]",,,,,,,,,,,,,,,,,
introduction,5,22800,0.0-5.0-0.0,bvkhcsrz,,,,,,1382.0,1,5dbf261c3b89f23ccd3007af,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,23448,0.0-5.0-0.1,bvkhcsrz,,,,,,646.0,2,5dbf261c3b89f23ccd3007af,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,24175,0.0-5.0-0.2,bvkhcsrz,,,,,,726.0,1,5dbf261c3b89f23ccd3007af,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,24837,0.0-5.0-0.3,bvkhcsrz,,,,,,661.0,3,5dbf261c3b89f23ccd3007af,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,25460,0.0-5.0-0.4,bvkhcsrz,,,,,,622.0,2,5dbf261c3b89f23ccd3007af,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,25973,0.0-5.0-0.5,bvkhcsrz,,,,,,512.0,3,5dbf261c3b89f23ccd3007af,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,26630,0.0-5.0-0.6,bvkhcsrz,,,,,,656.0,1,5dbf261c3b89f23ccd3007af,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,27127,0.0-5.0-0.7,bvkhcsrz,,,,,,496.0,2,5dbf261c3b89f23ccd3007af,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,27620,0.0-5.0-0.8,bvkhcsrz,,,,,,492.0,3,5dbf261c3b89f23ccd3007af,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,28168,0.0-5.0-0.9,bvkhcsrz,,,,,,548.0,2,5dbf261c3b89f23ccd3007af,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,28715,0.0-5.0-0.10,bvkhcsrz,,,,,,545.0,1,5dbf261c3b89f23ccd3007af,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,29318,0.0-5.0-0.11,bvkhcsrz,,,,,,602.0,3,5dbf261c3b89f23ccd3007af,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,63634,0.0-6.0-0.0,bvkhcsrz,,,,,,34315.0,,5dbf261c3b89f23ccd3007af,"[{""page_index"":0,""viewing_time"":3003},{""page_index"":1,""viewing_time"":3370},{""page_index"":2,""viewing_time"":13690},{""page_index"":3,""viewing_time"":14252}]",,,,,,,,,,,,,,,,,
introduction,19,80108,0.0-8.0-0.0,bvkhcsrz,,,,,,,,5dbf261c3b89f23ccd3007af,,img/Red_circle.png,1616.0,calibration,,,,,,,,,,,,,,
introduction,20,81995,0.0-8.0-1.0-0.0,bvkhcsrz,,,,,,1880.0,332,5dbf261c3b89f23ccd3007af,,332,,calibration,,,,,,,,,,,,,,
introduction,21,81998,0.0-8.0-2.0,bvkhcsrz,,,,,,,,5dbf261c3b89f23ccd3007af,,,,,,,,,,,,,,,,,,
introduction,22,83630,0.0-8.0-0.1,bvkhcsrz,,,,,,,,5dbf261c3b89f23ccd3007af,,img/Red_circle.png,2880.0,calibration,,,,,,,,,,,,,,
introduction,23,84986,0.0-8.0-1.1-0.1,bvkhcsrz,,,,,,1352.0,221,5dbf261c3b89f23ccd3007af,,221,,calibration,,,,,,,,,,,,,,
introduction,24,84998,0.0-8.0-2.1,bvkhcsrz,,,,,,,,5dbf261c3b89f23ccd3007af,,,,,,,,,,,,,,,,,,
introduction,25,87013,0.0-8.0-0.2,bvkhcsrz,,,,,,,,5dbf261c3b89f23ccd3007af,,<p>CAREFUL. That was too slow.</p>,1154.0,calibration,,,,,,,,,,,,,,
introduction,26,89340,0.0-8.0-1.2-0.2,bvkhcsrz,,,,,,2323.0,3131,5dbf261c3b89f23ccd3007af,,3131,,calibration,,,,,,,,,,,,,,
introduction,27,89342,0.0-8.0-2.2,bvkhcsrz,,,,,,,,5dbf261c3b89f23ccd3007af,,,,,,,,,,,,,,,,,,
introduction,28,90502,0.0-8.0-0.3,bvkhcsrz,,,,,,,,5dbf261c3b89f23ccd3007af,,img/Red_circle.png,2335.0,calibration,,,,,,,,,,,,,,
introduction,29,94960,0.0-8.0-1.3-0.3,bvkhcsrz,,,,,,4454.0,2122,5dbf261c3b89f23ccd3007af,,2122,,calibration,,,,,,,,,,,,,,
introduction,30,96962,0.0-8.0-2.3,bvkhcsrz,,,,,,,,5dbf261c3b89f23ccd3007af,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,31,99313,0.0-8.0-0.4,bvkhcsrz,,,,,,,,5dbf261c3b89f23ccd3007af,,img/Red_circle.png,1576.0,calibration,,,,,,,,,,,,,,
introduction,32,101596,0.0-8.0-1.4-0.4,bvkhcsrz,,,,,,2278.0,213,5dbf261c3b89f23ccd3007af,,2113,,calibration,,,,,,,,,,,,,,
introduction,33,104897,0.0-8.0-1.5-0.5,bvkhcsrz,,,,,,3296.0,2113,5dbf261c3b89f23ccd3007af,,2113,,calibration,,,,,,,,,,,,,,
introduction,34,106912,0.0-8.0-2.4,bvkhcsrz,,,,,,,,5dbf261c3b89f23ccd3007af,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,35,108496,0.0-8.0-0.5,bvkhcsrz,,,,,,,,5dbf261c3b89f23ccd3007af,,img/Red_circle.png,2734.0,calibration,,,,,,,,,,,,,,
introduction,36,110023,0.0-8.0-1.6-0.6,bvkhcsrz,,,,,,1523.0,311,5dbf261c3b89f23ccd3007af,,311,,calibration,,,,,,,,,,,,,,
