trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7863,0.0-2.0,s3nvtqhk,,,,,,5105.0,5dd42e7f35cf744223c60d1b,5dd42e7f35cf744223c60d1b,,,,,,,,,,,,,,,,,,
introduction,3,12075,0.0-3.0,s3nvtqhk,,,,,,4211.0,5dd42e7f35cf744223c60d1b,5dd42e7f35cf744223c60d1b,,,,,,,,,,,,,,,,,,
introduction,4,24234,0.0-4.0-0.0,s3nvtqhk,,,,,,12158.0,,5dd42e7f35cf744223c60d1b,"[{""page_index"":0,""viewing_time"":1839},{""page_index"":1,""viewing_time"":9353},{""page_index"":2,""viewing_time"":966}]",,,,,,,,,,,,,,,,,
introduction,5,25412,0.0-5.0-0.0,s3nvtqhk,,,,,,1177.0,1,5dd42e7f35cf744223c60d1b,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,26524,0.0-5.0-0.1,s3nvtqhk,,,,,,1111.0,2,5dd42e7f35cf744223c60d1b,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,27516,0.0-5.0-0.2,s3nvtqhk,,,,,,992.0,1,5dd42e7f35cf744223c60d1b,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,28385,0.0-5.0-0.3,s3nvtqhk,,,,,,868.0,3,5dd42e7f35cf744223c60d1b,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,29276,0.0-5.0-0.4,s3nvtqhk,,,,,,891.0,2,5dd42e7f35cf744223c60d1b,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,30139,0.0-5.0-0.5,s3nvtqhk,,,,,,862.0,3,5dd42e7f35cf744223c60d1b,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,31077,0.0-5.0-0.6,s3nvtqhk,,,,,,938.0,1,5dd42e7f35cf744223c60d1b,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,31842,0.0-5.0-0.7,s3nvtqhk,,,,,,765.0,2,5dd42e7f35cf744223c60d1b,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,32707,0.0-5.0-0.8,s3nvtqhk,,,,,,864.0,3,5dd42e7f35cf744223c60d1b,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,33665,0.0-5.0-0.9,s3nvtqhk,,,,,,958.0,2,5dd42e7f35cf744223c60d1b,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,34465,0.0-5.0-0.10,s3nvtqhk,,,,,,800.0,1,5dd42e7f35cf744223c60d1b,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,35461,0.0-5.0-0.11,s3nvtqhk,,,,,,995.0,3,5dd42e7f35cf744223c60d1b,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,113713,0.0-6.0-0.0,s3nvtqhk,,,,,,78252.0,,5dd42e7f35cf744223c60d1b,"[{""page_index"":0,""viewing_time"":1713},{""page_index"":1,""viewing_time"":2700},{""page_index"":2,""viewing_time"":72505},{""page_index"":3,""viewing_time"":1334}]",,,,,,,,,,,,,,,,,
introduction,19,146780,0.0-8.0-0.0,s3nvtqhk,,,,,,,,5dd42e7f35cf744223c60d1b,,img/Red_circle.png,1815.0,calibration,,,,,,,,,,,,,,
introduction,20,149510,0.0-8.0-1.0-0.0,s3nvtqhk,,,,,,2728.0,2112,5dd42e7f35cf744223c60d1b,,2112,,calibration,,,,,,,,,,,,,,
introduction,21,149511,0.0-8.0-2.0,s3nvtqhk,,,,,,,,5dd42e7f35cf744223c60d1b,,,,,,,,,,,,,,,,,,
introduction,22,151336,0.0-8.0-0.1,s3nvtqhk,,,,,,,,5dd42e7f35cf744223c60d1b,,img/Red_circle.png,2577.0,calibration,,,,,,,,,,,,,,
introduction,23,154028,0.0-8.0-1.1-0.1,s3nvtqhk,,,,,,2691.0,3122,5dd42e7f35cf744223c60d1b,,3122,,calibration,,,,,,,,,,,,,,
introduction,24,154029,0.0-8.0-2.1,s3nvtqhk,,,,,,,,5dd42e7f35cf744223c60d1b,,,,,,,,,,,,,,,,,,
introduction,25,156036,0.0-8.0-0.2,s3nvtqhk,,,,,,,,5dd42e7f35cf744223c60d1b,,<p>CAREFUL. That was too slow.</p>,1654.0,calibration,,,,,,,,,,,,,,
introduction,26,159321,0.0-8.0-1.2-0.2,s3nvtqhk,,,,,,3283.0,1323,5dd42e7f35cf744223c60d1b,,1323,,calibration,,,,,,,,,,,,,,
introduction,27,159322,0.0-8.0-2.2,s3nvtqhk,,,,,,,,5dd42e7f35cf744223c60d1b,,,,,,,,,,,,,,,,,,
introduction,28,160990,0.0-8.0-0.3,s3nvtqhk,,,,,,,,5dd42e7f35cf744223c60d1b,,img/Red_circle.png,1349.0,calibration,,,,,,,,,,,,,,
introduction,29,162688,0.0-8.0-1.3-0.3,s3nvtqhk,,,,,,1696.0,133,5dd42e7f35cf744223c60d1b,,133,,calibration,,,,,,,,,,,,,,
introduction,30,162688,0.0-8.0-2.3,s3nvtqhk,,,,,,,,5dd42e7f35cf744223c60d1b,,,,,,,,,,,,,,,,,,
