trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10400,0.0-2.0,ulfya0nn,,,,,,3421.0,5de84ccaeddfc97c4eed1f5d,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
introduction,3,13280,0.0-3.0,ulfya0nn,,,,,,2877.0,5de84ccaeddfc97c4eed1f5d,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
introduction,4,22143,0.0-4.0-0.0,ulfya0nn,,,,,,8863.0,,5de84ccaeddfc97c4eed1f5d,"[{""page_index"":0,""viewing_time"":976},{""page_index"":1,""viewing_time"":4999},{""page_index"":2,""viewing_time"":2888}]",,,,,,,,,,,,,,,,,
introduction,5,22848,0.0-5.0-0.0,ulfya0nn,,,,,,703.0,1,5de84ccaeddfc97c4eed1f5d,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,23304,0.0-5.0-0.1,ulfya0nn,,,,,,455.0,2,5de84ccaeddfc97c4eed1f5d,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,24131,0.0-5.0-0.2,ulfya0nn,,,,,,826.0,1,5de84ccaeddfc97c4eed1f5d,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,24879,0.0-5.0-0.3,ulfya0nn,,,,,,748.0,3,5de84ccaeddfc97c4eed1f5d,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,25575,0.0-5.0-0.4,ulfya0nn,,,,,,696.0,2,5de84ccaeddfc97c4eed1f5d,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,26288,0.0-5.0-0.5,ulfya0nn,,,,,,713.0,3,5de84ccaeddfc97c4eed1f5d,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,26873,0.0-5.0-0.6,ulfya0nn,,,,,,584.0,1,5de84ccaeddfc97c4eed1f5d,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,27471,0.0-5.0-0.7,ulfya0nn,,,,,,598.0,2,5de84ccaeddfc97c4eed1f5d,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,27986,0.0-5.0-0.8,ulfya0nn,,,,,,514.0,3,5de84ccaeddfc97c4eed1f5d,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,28630,0.0-5.0-0.9,ulfya0nn,,,,,,644.0,2,5de84ccaeddfc97c4eed1f5d,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,29223,0.0-5.0-0.10,ulfya0nn,,,,,,593.0,1,5de84ccaeddfc97c4eed1f5d,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,29887,0.0-5.0-0.11,ulfya0nn,,,,,,664.0,3,5de84ccaeddfc97c4eed1f5d,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,57023,0.0-6.0-0.0,ulfya0nn,,,,,,27135.0,,5de84ccaeddfc97c4eed1f5d,"[{""page_index"":0,""viewing_time"":2335},{""page_index"":1,""viewing_time"":3736},{""page_index"":2,""viewing_time"":19816},{""page_index"":3,""viewing_time"":1248}]",,,,,,,,,,,,,,,,,
introduction,19,71852,0.0-8.0-0.0,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,img/Red_circle.png,2023.0,calibration,,,,,,,,,,,,,,
introduction,20,73577,0.0-8.0-1.0-0.0,ulfya0nn,,,,,,1720.0,1212,5de84ccaeddfc97c4eed1f5d,,1212,,calibration,,,,,,,,,,,,,,
introduction,21,73578,0.0-8.0-2.0,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
introduction,22,75580,0.0-8.0-0.1,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,<p>CAREFUL. That was too slow.</p>,1391.0,calibration,,,,,,,,,,,,,,
introduction,23,78569,0.0-8.0-1.1-0.1,ulfya0nn,,,,,,2987.0,2123,5de84ccaeddfc97c4eed1f5d,,2123,,calibration,,,,,,,,,,,,,,
introduction,24,78570,0.0-8.0-2.1,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
introduction,25,79966,0.0-8.0-0.2,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,img/Red_circle.png,2755.0,calibration,,,,,,,,,,,,,,
introduction,26,81665,0.0-8.0-1.2-0.2,ulfya0nn,,,,,,1697.0,31,5de84ccaeddfc97c4eed1f5d,,31,,calibration,,,,,,,,,,,,,,
introduction,27,81666,0.0-8.0-2.2,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
introduction,28,83680,0.0-8.0-0.3,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,<p>CAREFUL. That was too slow.</p>,1376.0,calibration,,,,,,,,,,,,,,
introduction,29,85705,0.0-8.0-1.3-0.3,ulfya0nn,,,,,,2023.0,3122,5de84ccaeddfc97c4eed1f5d,,3122,,calibration,,,,,,,,,,,,,,
introduction,30,85706,0.0-8.0-2.3,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
introduction,31,87099,0.0-8.0-0.4,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,img/Red_circle.png,1474.0,calibration,,,,,,,,,,,,,,
introduction,32,89129,0.0-8.0-1.4-0.4,ulfya0nn,,,,,,2028.0,2231,5de84ccaeddfc97c4eed1f5d,,2231,,calibration,,,,,,,,,,,,,,
introduction,33,89130,0.0-8.0-2.4,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
introduction,34,90606,0.0-8.0-0.5,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,img/Red_circle.png,2624.0,calibration,,,,,,,,,,,,,,
introduction,35,91881,0.0-8.0-1.5-0.5,ulfya0nn,,,,,,1273.0,13,5de84ccaeddfc97c4eed1f5d,,13,,calibration,,,,,,,,,,,,,,
introduction,36,91882,0.0-8.0-2.5,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
introduction,37,93884,0.0-8.0-0.6,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,<p>CAREFUL. That was too slow.</p>,3116.0,calibration,,,,,,,,,,,,,,
introduction,38,95602,0.0-8.0-1.6-0.6,ulfya0nn,,,,,,1716.0,131,5de84ccaeddfc97c4eed1f5d,,131,,calibration,,,,,,,,,,,,,,
introduction,39,95603,0.0-8.0-2.6,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
introduction,40,97611,0.0-8.0-0.7,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,<p>CAREFUL. That was too slow.</p>,2812.0,calibration,,,,,,,,,,,,,,
introduction,41,99681,0.0-8.0-1.7-0.7,ulfya0nn,,,,,,2067.0,3131,5de84ccaeddfc97c4eed1f5d,,3131,,calibration,,,,,,,,,,,,,,
introduction,42,99682,0.0-8.0-2.7,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
introduction,43,101689,0.0-8.0-0.8,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,<p>CAREFUL. That was too slow.</p>,1138.0,calibration,,,,,,,,,,,,,,
introduction,44,104761,0.0-8.0-1.8-0.8,ulfya0nn,,,,,,3071.0,332,5de84ccaeddfc97c4eed1f5d,,332,,calibration,,,,,,,,,,,,,,
introduction,45,104762,0.0-8.0-2.8,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
introduction,46,105905,0.0-8.0-0.9,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,img/Red_circle.png,1275.0,calibration,,,,,,,,,,,,,,
introduction,47,107961,0.0-8.0-1.9-0.9,ulfya0nn,,,,,,2055.0,1113,5de84ccaeddfc97c4eed1f5d,,1113,,calibration,,,,,,,,,,,,,,
introduction,48,107962,0.0-8.0-2.9,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
introduction,49,109243,0.0-8.0-0.10,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,img/Red_circle.png,2704.0,calibration,,,,,,,,,,,,,,
introduction,50,111977,0.0-8.0-1.10-0.10,ulfya0nn,,,,,,2732.0,1231,5de84ccaeddfc97c4eed1f5d,,1231,,calibration,,,,,,,,,,,,,,
introduction,51,111978,0.0-8.0-2.10,ulfya0nn,,,,,,,,5de84ccaeddfc97c4eed1f5d,,,,,,,,,,,,,,,,,,
