trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7329,0.0-2.0,hkldvy3w,,,,,,4299.0,5df9fc638f1faf7631f88d3e,5df9fc638f1faf7631f88d3e,,,,,,,,,,,,,,,,,,
introduction,3,10603,0.0-3.0,hkldvy3w,,,,,,3271.0,5df9fc638f1faf7631f88d3e,5df9fc638f1faf7631f88d3e,,,,,,,,,,,,,,,,,,
introduction,4,16851,0.0-4.0-0.0,hkldvy3w,,,,,,6246.0,,5df9fc638f1faf7631f88d3e,"[{""page_index"":0,""viewing_time"":917},{""page_index"":1,""viewing_time"":4515},{""page_index"":2,""viewing_time"":813}]",,,,,,,,,,,,,,,,,
introduction,5,18610,0.0-5.0-0.0,hkldvy3w,,,,,,1758.0,1,5df9fc638f1faf7631f88d3e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,19432,0.0-5.0-0.1,hkldvy3w,,,,,,821.0,2,5df9fc638f1faf7631f88d3e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,20144,0.0-5.0-0.2,hkldvy3w,,,,,,712.0,1,5df9fc638f1faf7631f88d3e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,21447,0.0-5.0-0.3,hkldvy3w,,,,,,1302.0,3,5df9fc638f1faf7631f88d3e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,22029,0.0-5.0-0.4,hkldvy3w,,,,,,581.0,2,5df9fc638f1faf7631f88d3e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,22444,0.0-5.0-0.5,hkldvy3w,,,,,,415.0,3,5df9fc638f1faf7631f88d3e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,23096,0.0-5.0-0.6,hkldvy3w,,,,,,651.0,1,5df9fc638f1faf7631f88d3e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,23604,0.0-5.0-0.7,hkldvy3w,,,,,,506.0,2,5df9fc638f1faf7631f88d3e,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,24244,0.0-5.0-0.8,hkldvy3w,,,,,,639.0,3,5df9fc638f1faf7631f88d3e,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,24876,0.0-5.0-0.9,hkldvy3w,,,,,,631.0,2,5df9fc638f1faf7631f88d3e,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,25307,0.0-5.0-0.10,hkldvy3w,,,,,,431.0,1,5df9fc638f1faf7631f88d3e,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,25923,0.0-5.0-0.11,hkldvy3w,,,,,,616.0,3,5df9fc638f1faf7631f88d3e,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,43566,0.0-6.0-0.0,hkldvy3w,,,,,,17642.0,,5df9fc638f1faf7631f88d3e,"[{""page_index"":0,""viewing_time"":1450},{""page_index"":1,""viewing_time"":2537},{""page_index"":2,""viewing_time"":12592},{""page_index"":3,""viewing_time"":1062}]",,,,,,,,,,,,,,,,,
introduction,19,62044,0.0-8.0-0.0,hkldvy3w,,,,,,,,5df9fc638f1faf7631f88d3e,,img/Red_circle.png,2489.0,calibration,,,,,,,,,,,,,,
introduction,20,65088,0.0-8.0-1.0-0.0,hkldvy3w,,,,,,3039.0,3331,5df9fc638f1faf7631f88d3e,,3331,,calibration,,,,,,,,,,,,,,
introduction,21,65090,0.0-8.0-2.0,hkldvy3w,,,,,,,,5df9fc638f1faf7631f88d3e,,,,,,,,,,,,,,,,,,
introduction,22,67094,0.0-8.0-0.1,hkldvy3w,,,,,,,,5df9fc638f1faf7631f88d3e,,<p>CAREFUL. That was too slow.</p>,2040.0,calibration,,,,,,,,,,,,,,
introduction,23,68977,0.0-8.0-1.1-0.1,hkldvy3w,,,,,,1879.0,1332,5df9fc638f1faf7631f88d3e,,1332,,calibration,,,,,,,,,,,,,,
introduction,24,68977,0.0-8.0-2.1,hkldvy3w,,,,,,,,5df9fc638f1faf7631f88d3e,,,,,,,,,,,,,,,,,,
introduction,25,70979,0.0-8.0-0.2,hkldvy3w,,,,,,,,5df9fc638f1faf7631f88d3e,,<p>CAREFUL. That was too slow.</p>,2039.0,calibration,,,,,,,,,,,,,,
introduction,26,72259,0.0-8.0-1.2-0.2,hkldvy3w,,,,,,1277.0,33,5df9fc638f1faf7631f88d3e,,33,,calibration,,,,,,,,,,,,,,
introduction,27,72260,0.0-8.0-2.2,hkldvy3w,,,,,,,,5df9fc638f1faf7631f88d3e,,,,,,,,,,,,,,,,,,
introduction,28,74272,0.0-8.0-0.3,hkldvy3w,,,,,,,,5df9fc638f1faf7631f88d3e,,<p>CAREFUL. That was too slow.</p>,2538.0,calibration,,,,,,,,,,,,,,
introduction,29,75994,0.0-8.0-1.3-0.3,hkldvy3w,,,,,,1718.0,113,5df9fc638f1faf7631f88d3e,,113,,calibration,,,,,,,,,,,,,,
introduction,30,75995,0.0-8.0-2.3,hkldvy3w,,,,,,,,5df9fc638f1faf7631f88d3e,,,,,,,,,,,,,,,,,,
introduction,31,77998,0.0-8.0-0.4,hkldvy3w,,,,,,,,5df9fc638f1faf7631f88d3e,,<p>CAREFUL. That was too slow.</p>,2207.0,calibration,,,,,,,,,,,,,,
introduction,32,79785,0.0-8.0-1.4-0.4,hkldvy3w,,,,,,1784.0,132,5df9fc638f1faf7631f88d3e,,132,,calibration,,,,,,,,,,,,,,
introduction,33,79786,0.0-8.0-2.4,hkldvy3w,,,,,,,,5df9fc638f1faf7631f88d3e,,,,,,,,,,,,,,,,,,
