trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7808,0.0-2.0,f2laozpx,,,,,,3832.0,5e1545d9b1fb05b6369d13e8,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,3,12779,0.0-3.0,f2laozpx,,,,,,4968.0,5e1545d9b1fb05b6369d13e8,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,4,18943,0.0-4.0-0.0,f2laozpx,,,,,,6163.0,,5e1545d9b1fb05b6369d13e8,"[{""page_index"":0,""viewing_time"":1249},{""page_index"":1,""viewing_time"":2512},{""page_index"":2,""viewing_time"":2403}]",,,,,,,,,,,,,,,,,
introduction,5,19947,0.0-5.0-0.0,f2laozpx,,,,,,1003.0,1,5e1545d9b1fb05b6369d13e8,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,20504,0.0-5.0-0.1,f2laozpx,,,,,,557.0,2,5e1545d9b1fb05b6369d13e8,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,21239,0.0-5.0-0.2,f2laozpx,,,,,,735.0,1,5e1545d9b1fb05b6369d13e8,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,21841,0.0-5.0-0.3,f2laozpx,,,,,,601.0,3,5e1545d9b1fb05b6369d13e8,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,23328,0.0-5.0-0.4,f2laozpx,,,,,,1487.0,2,5e1545d9b1fb05b6369d13e8,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,23940,0.0-5.0-0.5,f2laozpx,,,,,,612.0,3,5e1545d9b1fb05b6369d13e8,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,24494,0.0-5.0-0.6,f2laozpx,,,,,,553.0,1,5e1545d9b1fb05b6369d13e8,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,25066,0.0-5.0-0.7,f2laozpx,,,,,,571.0,2,5e1545d9b1fb05b6369d13e8,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,25704,0.0-5.0-0.8,f2laozpx,,,,,,638.0,3,5e1545d9b1fb05b6369d13e8,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,26762,0.0-5.0-0.9,f2laozpx,,,,,,1058.0,2,5e1545d9b1fb05b6369d13e8,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,27259,0.0-5.0-0.10,f2laozpx,,,,,,496.0,1,5e1545d9b1fb05b6369d13e8,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,27748,0.0-5.0-0.11,f2laozpx,,,,,,489.0,3,5e1545d9b1fb05b6369d13e8,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,44639,0.0-6.0-0.0,f2laozpx,,,,,,16891.0,,5e1545d9b1fb05b6369d13e8,"[{""page_index"":0,""viewing_time"":1741},{""page_index"":1,""viewing_time"":2388},{""page_index"":2,""viewing_time"":10993},{""page_index"":3,""viewing_time"":1769}]",,,,,,,,,,,,,,,,,
introduction,19,63952,0.0-8.0-0.0,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,img/Red_circle.png,2956.0,calibration,,,,,,,,,,,,,,
introduction,20,65833,0.0-8.0-1.0-0.0,f2laozpx,,,,,,1878.0,23,5e1545d9b1fb05b6369d13e8,,23,,calibration,,,,,,,,,,,,,,
introduction,21,65834,0.0-8.0-2.0,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,22,67836,0.0-8.0-0.1,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,1859.0,calibration,,,,,,,,,,,,,,
introduction,23,69396,0.0-8.0-1.1-0.1,f2laozpx,,,,,,1557.0,2211,5e1545d9b1fb05b6369d13e8,,2211,,calibration,,,,,,,,,,,,,,
introduction,24,69396,0.0-8.0-2.1,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,25,71271,0.0-8.0-0.2,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,img/Red_circle.png,2901.0,calibration,,,,,,,,,,,,,,
introduction,26,73006,0.0-8.0-1.2-0.2,f2laozpx,,,,,,1732.0,3232,5e1545d9b1fb05b6369d13e8,,3232,,calibration,,,,,,,,,,,,,,
introduction,27,73006,0.0-8.0-2.2,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,28,75007,0.0-8.0-0.3,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,1273.0,calibration,,,,,,,,,,,,,,
introduction,29,77099,0.0-8.0-1.3-0.3,f2laozpx,,,,,,2089.0,2311,5e1545d9b1fb05b6369d13e8,,2311,,calibration,,,,,,,,,,,,,,
introduction,30,77099,0.0-8.0-2.3,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,31,78389,0.0-8.0-0.4,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,img/Red_circle.png,1319.0,calibration,,,,,,,,,,,,,,
introduction,32,80128,0.0-8.0-1.4-0.4,f2laozpx,,,,,,1735.0,1212,5e1545d9b1fb05b6369d13e8,,1212,,calibration,,,,,,,,,,,,,,
introduction,33,80129,0.0-8.0-2.4,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,34,81453,0.0-8.0-0.5,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,img/Red_circle.png,3370.0,calibration,,,,,,,,,,,,,,
introduction,35,83011,0.0-8.0-1.5-0.5,f2laozpx,,,,,,1556.0,1323,5e1545d9b1fb05b6369d13e8,,1323,,calibration,,,,,,,,,,,,,,
introduction,36,83012,0.0-8.0-2.5,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,37,85022,0.0-8.0-0.6,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,2333.0,calibration,,,,,,,,,,,,,,
introduction,38,86425,0.0-8.0-1.6-0.6,f2laozpx,,,,,,1400.0,2313,5e1545d9b1fb05b6369d13e8,,2313,,calibration,,,,,,,,,,,,,,
introduction,39,86425,0.0-8.0-2.6,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,40,88434,0.0-8.0-0.7,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,1031.0,calibration,,,,,,,,,,,,,,
introduction,41,89975,0.0-8.0-1.7-0.7,f2laozpx,,,,,,1538.0,3223,5e1545d9b1fb05b6369d13e8,,3223,,calibration,,,,,,,,,,,,,,
introduction,42,89975,0.0-8.0-2.7,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,43,91017,0.0-8.0-0.8,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,img/Red_circle.png,3468.0,calibration,,,,,,,,,,,,,,
introduction,44,92557,0.0-8.0-1.8-0.8,f2laozpx,,,,,,1538.0,1123,5e1545d9b1fb05b6369d13e8,,1123,,calibration,,,,,,,,,,,,,,
introduction,45,92558,0.0-8.0-2.8,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,46,94572,0.0-8.0-0.9,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,3290.0,calibration,,,,,,,,,,,,,,
introduction,47,96187,0.0-8.0-1.9-0.9,f2laozpx,,,,,,1613.0,1232,5e1545d9b1fb05b6369d13e8,,1232,,calibration,,,,,,,,,,,,,,
introduction,48,96188,0.0-8.0-2.9,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,49,98202,0.0-8.0-0.10,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,1941.0,calibration,,,,,,,,,,,,,,
introduction,50,100214,0.0-8.0-1.10-0.10,f2laozpx,,,,,,2010.0,3132,5e1545d9b1fb05b6369d13e8,,3132,,calibration,,,,,,,,,,,,,,
introduction,51,100215,0.0-8.0-2.10,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,52,102159,0.0-8.0-0.11,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,img/Red_circle.png,2228.0,calibration,,,,,,,,,,,,,,
introduction,53,104574,0.0-8.0-1.11-0.11,f2laozpx,,,,,,2413.0,2323,5e1545d9b1fb05b6369d13e8,,2323,,calibration,,,,,,,,,,,,,,
introduction,54,104575,0.0-8.0-2.11,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,55,106576,0.0-8.0-0.12,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,1870.0,calibration,,,,,,,,,,,,,,
introduction,56,108171,0.0-8.0-1.12-0.12,f2laozpx,,,,,,1592.0,1232,5e1545d9b1fb05b6369d13e8,,1232,,calibration,,,,,,,,,,,,,,
introduction,57,108172,0.0-8.0-2.12,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,58,110056,0.0-8.0-0.13,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,img/Red_circle.png,2179.0,calibration,,,,,,,,,,,,,,
introduction,59,111552,0.0-8.0-1.13-0.13,f2laozpx,,,,,,1493.0,1222,5e1545d9b1fb05b6369d13e8,,1222,,calibration,,,,,,,,,,,,,,
introduction,60,111552,0.0-8.0-2.13,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,61,113556,0.0-8.0-0.14,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,3444.0,calibration,,,,,,,,,,,,,,
introduction,62,115081,0.0-8.0-1.14-0.14,f2laozpx,,,,,,1521.0,3221,5e1545d9b1fb05b6369d13e8,,3221,,calibration,,,,,,,,,,,,,,
introduction,63,115081,0.0-8.0-2.14,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,64,117085,0.0-8.0-0.15,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,3165.0,calibration,,,,,,,,,,,,,,
introduction,65,118517,0.0-8.0-1.15-0.15,f2laozpx,,,,,,1430.0,2232,5e1545d9b1fb05b6369d13e8,,2232,,calibration,,,,,,,,,,,,,,
introduction,66,118517,0.0-8.0-2.15,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,67,120523,0.0-8.0-0.16,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,3190.0,calibration,,,,,,,,,,,,,,
introduction,68,123141,0.0-8.0-1.16-0.16,f2laozpx,,,,,,2616.0,1113,5e1545d9b1fb05b6369d13e8,,1113,,calibration,,,,,,,,,,,,,,
introduction,69,123141,0.0-8.0-2.16,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,70,125146,0.0-8.0-0.17,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,2355.0,calibration,,,,,,,,,,,,,,
introduction,71,126560,0.0-8.0-1.17-0.17,f2laozpx,,,,,,1411.0,3231,5e1545d9b1fb05b6369d13e8,,3231,,calibration,,,,,,,,,,,,,,
introduction,72,126560,0.0-8.0-2.17,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,73,128570,0.0-8.0-0.18,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,2486.0,calibration,,,,,,,,,,,,,,
introduction,74,130060,0.0-8.0-1.18-0.18,f2laozpx,,,,,,1489.0,1212,5e1545d9b1fb05b6369d13e8,,1212,,calibration,,,,,,,,,,,,,,
introduction,75,130061,0.0-8.0-2.18,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,76,132069,0.0-8.0-0.19,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,<p>CAREFUL. That was too slow.</p>,1260.0,calibration,,,,,,,,,,,,,,
introduction,77,133152,0.0-8.0-1.19-0.19,f2laozpx,,,,,,1080.0,23,5e1545d9b1fb05b6369d13e8,,23,,calibration,,,,,,,,,,,,,,
introduction,78,133152,0.0-8.0-2.19,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,79,134416,0.0-8.0-0.20,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,img/Red_circle.png,1566.0,calibration,,,,,,,,,,,,,,
introduction,80,135940,0.0-8.0-1.20-0.20,f2laozpx,,,,,,1522.0,1112,5e1545d9b1fb05b6369d13e8,,1112,,calibration,,,,,,,,,,,,,,
introduction,81,135940,0.0-8.0-2.20,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,82,137510,0.0-8.0-0.21,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,img/Red_circle.png,1849.0,calibration,,,,,,,,,,,,,,
introduction,83,139259,0.0-8.0-1.21-0.21,f2laozpx,,,,,,1747.0,131,5e1545d9b1fb05b6369d13e8,,131,,calibration,,,,,,,,,,,,,,
introduction,84,139259,0.0-8.0-2.21,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,85,141124,0.0-8.0-0.22,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,img/Red_circle.png,1278.0,calibration,,,,,,,,,,,,,,
introduction,86,142592,0.0-8.0-1.22-0.22,f2laozpx,,,,,,1465.0,2122,5e1545d9b1fb05b6369d13e8,,2122,,calibration,,,,,,,,,,,,,,
introduction,87,142592,0.0-8.0-2.22,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,88,143886,0.0-8.0-0.23,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,img/Red_circle.png,1886.0,calibration,,,,,,,,,,,,,,
introduction,89,145419,0.0-8.0-1.23-0.23,f2laozpx,,,,,,1532.0,1312,5e1545d9b1fb05b6369d13e8,,1312,,calibration,,,,,,,,,,,,,,
introduction,90,145420,0.0-8.0-2.23,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,,,,,,,,,,,,,,,,,
introduction,91,147307,0.0-8.0-0.24,f2laozpx,,,,,,,,5e1545d9b1fb05b6369d13e8,,img/Red_circle.png,3258.0,calibration,,,,,,,,,,,,,,
introduction,92,149985,0.0-8.0-1.24-0.24,f2laozpx,,,,,,2676.0,331,5e1545d9b1fb05b6369d13e8,,331,,calibration,,,,,,,,,,,,,,
