trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,15013,0.0-2.0,nm1cxqbv,,,,,,12161.0,5e40c06ac0507c307ee951eb,5e40c06ac0507c307ee951eb,,,,,,,,,,,,,,,,,,
introduction,3,17771,0.0-3.0,nm1cxqbv,,,,,,2755.0,5e40c06ac0507c307ee951eb,5e40c06ac0507c307ee951eb,,,,,,,,,,,,,,,,,,
introduction,4,24063,0.0-4.0-0.0,nm1cxqbv,,,,,,6290.0,,5e40c06ac0507c307ee951eb,"[{""page_index"":0,""viewing_time"":1496},{""page_index"":1,""viewing_time"":3973},{""page_index"":2,""viewing_time"":819}]",,,,,,,,,,,,,,,,,
introduction,5,28572,0.0-5.0-0.0,nm1cxqbv,,,,,,4504.0,1,5e40c06ac0507c307ee951eb,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,29472,0.0-5.0-0.1,nm1cxqbv,,,,,,898.0,2,5e40c06ac0507c307ee951eb,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,30265,0.0-5.0-0.2,nm1cxqbv,,,,,,791.0,1,5e40c06ac0507c307ee951eb,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,30987,0.0-5.0-0.3,nm1cxqbv,,,,,,720.0,3,5e40c06ac0507c307ee951eb,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,31602,0.0-5.0-0.4,nm1cxqbv,,,,,,613.0,2,5e40c06ac0507c307ee951eb,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,32227,0.0-5.0-0.5,nm1cxqbv,,,,,,624.0,3,5e40c06ac0507c307ee951eb,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,33279,0.0-5.0-0.6,nm1cxqbv,,,,,,1051.0,1,5e40c06ac0507c307ee951eb,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,33851,0.0-5.0-0.7,nm1cxqbv,,,,,,571.0,2,5e40c06ac0507c307ee951eb,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,34558,0.0-5.0-0.8,nm1cxqbv,,,,,,705.0,3,5e40c06ac0507c307ee951eb,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,35188,0.0-5.0-0.9,nm1cxqbv,,,,,,628.0,2,5e40c06ac0507c307ee951eb,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,35681,0.0-5.0-0.10,nm1cxqbv,,,,,,492.0,1,5e40c06ac0507c307ee951eb,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,36325,0.0-5.0-0.11,nm1cxqbv,,,,,,642.0,3,5e40c06ac0507c307ee951eb,,Press: 3,,,,,,,,,,,,,,,,
