trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6936,0.0-2.0,z96wxpe4,,,,,,3663.0,5e914ee346d11b48197172c2,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,3,9579,0.0-3.0,z96wxpe4,,,,,,2642.0,5e914ee346d11b48197172c2,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,4,28302,0.0-4.0-0.0,z96wxpe4,,,,,,18723.0,,5e914ee346d11b48197172c2,"[{""page_index"":0,""viewing_time"":1155},{""page_index"":1,""viewing_time"":16291},{""page_index"":2,""viewing_time"":1277}]",,,,,,,,,,,,,,,,,
introduction,5,29430,0.0-5.0-0.0,z96wxpe4,,,,,,1127.0,1,5e914ee346d11b48197172c2,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,29981,0.0-5.0-0.1,z96wxpe4,,,,,,551.0,2,5e914ee346d11b48197172c2,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,30684,0.0-5.0-0.2,z96wxpe4,,,,,,702.0,1,5e914ee346d11b48197172c2,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,31366,0.0-5.0-0.3,z96wxpe4,,,,,,682.0,3,5e914ee346d11b48197172c2,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,32146,0.0-5.0-0.4,z96wxpe4,,,,,,780.0,2,5e914ee346d11b48197172c2,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,33110,0.0-5.0-0.5,z96wxpe4,,,,,,964.0,3,5e914ee346d11b48197172c2,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,33682,0.0-5.0-0.6,z96wxpe4,,,,,,573.0,1,5e914ee346d11b48197172c2,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,34261,0.0-5.0-0.7,z96wxpe4,,,,,,578.0,2,5e914ee346d11b48197172c2,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,34863,0.0-5.0-0.8,z96wxpe4,,,,,,603.0,3,5e914ee346d11b48197172c2,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,35489,0.0-5.0-0.9,z96wxpe4,,,,,,625.0,2,5e914ee346d11b48197172c2,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,35986,0.0-5.0-0.10,z96wxpe4,,,,,,497.0,1,5e914ee346d11b48197172c2,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,36616,0.0-5.0-0.11,z96wxpe4,,,,,,630.0,3,5e914ee346d11b48197172c2,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,70865,0.0-6.0-0.0,z96wxpe4,,,,,,34250.0,,5e914ee346d11b48197172c2,"[{""page_index"":0,""viewing_time"":978},{""page_index"":1,""viewing_time"":9653},{""page_index"":2,""viewing_time"":22674},{""page_index"":3,""viewing_time"":945}]",,,,,,,,,,,,,,,,,
introduction,19,83099,0.0-8.0-0.0,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,1256.0,calibration,,,,,,,,,,,,,,
introduction,20,85550,0.0-8.0-1.0-0.0,z96wxpe4,,,,,,2450.0,2233,5e914ee346d11b48197172c2,,2233,,calibration,,,,,,,,,,,,,,
introduction,21,85553,0.0-8.0-2.0,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,22,86811,0.0-8.0-0.1,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,2887.0,calibration,,,,,,,,,,,,,,
introduction,23,89358,0.0-8.0-1.1-0.1,z96wxpe4,,,,,,2546.0,3311,5e914ee346d11b48197172c2,,3311,,calibration,,,,,,,,,,,,,,
introduction,24,89358,0.0-8.0-2.1,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,25,91359,0.0-8.0-0.2,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,<p>CAREFUL. That was too slow.</p>,3180.0,calibration,,,,,,,,,,,,,,
introduction,26,93992,0.0-8.0-1.2-0.2,z96wxpe4,,,,,,2633.0,3211,5e914ee346d11b48197172c2,,3211,,calibration,,,,,,,,,,,,,,
introduction,27,93992,0.0-8.0-2.2,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,28,95993,0.0-8.0-0.3,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,<p>CAREFUL. That was too slow.</p>,1761.0,calibration,,,,,,,,,,,,,,
introduction,29,98394,0.0-8.0-1.3-0.3,z96wxpe4,,,,,,2400.0,1333,5e914ee346d11b48197172c2,,1333,,calibration,,,,,,,,,,,,,,
introduction,30,98394,0.0-8.0-2.3,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,31,100156,0.0-8.0-0.4,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,1647.0,calibration,,,,,,,,,,,,,,
introduction,32,102151,0.0-8.0-1.4-0.4,z96wxpe4,,,,,,1994.0,3322,5e914ee346d11b48197172c2,,3322,,calibration,,,,,,,,,,,,,,
introduction,33,102151,0.0-8.0-2.4,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,34,103799,0.0-8.0-0.5,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,1530.0,calibration,,,,,,,,,,,,,,
introduction,35,106242,0.0-8.0-1.5-0.5,z96wxpe4,,,,,,2442.0,3323,5e914ee346d11b48197172c2,,3323,,calibration,,,,,,,,,,,,,,
introduction,36,106242,0.0-8.0-2.5,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,37,107774,0.0-8.0-0.6,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,3418.0,calibration,,,,,,,,,,,,,,
introduction,38,110050,0.0-8.0-1.6-0.6,z96wxpe4,,,,,,2276.0,3222,5e914ee346d11b48197172c2,,3222,,calibration,,,,,,,,,,,,,,
introduction,39,110050,0.0-8.0-2.6,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,40,112050,0.0-8.0-0.7,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,<p>CAREFUL. That was too slow.</p>,2820.0,calibration,,,,,,,,,,,,,,
introduction,41,114218,0.0-8.0-1.7-0.7,z96wxpe4,,,,,,2167.0,1132,5e914ee346d11b48197172c2,,1132,,calibration,,,,,,,,,,,,,,
introduction,42,114218,0.0-8.0-2.7,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,43,116218,0.0-8.0-0.8,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,<p>CAREFUL. That was too slow.</p>,1642.0,calibration,,,,,,,,,,,,,,
introduction,44,118878,0.0-8.0-1.8-0.8,z96wxpe4,,,,,,2659.0,3123,5e914ee346d11b48197172c2,,3123,,calibration,,,,,,,,,,,,,,
introduction,45,118878,0.0-8.0-2.8,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,46,120522,0.0-8.0-0.9,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,2250.0,calibration,,,,,,,,,,,,,,
introduction,47,124131,0.0-8.0-1.9-0.9,z96wxpe4,,,,,,3608.0,3213,5e914ee346d11b48197172c2,,3213,,calibration,,,,,,,,,,,,,,
introduction,48,126131,0.0-8.0-2.9,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,49,128383,0.0-8.0-0.10,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,3459.0,calibration,,,,,,,,,,,,,,
introduction,50,129729,0.0-8.0-1.10-0.10,z96wxpe4,,,,,,1345.0,33,5e914ee346d11b48197172c2,,33,,calibration,,,,,,,,,,,,,,
introduction,51,129729,0.0-8.0-2.10,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,52,131730,0.0-8.0-0.11,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,<p>CAREFUL. That was too slow.</p>,1806.0,calibration,,,,,,,,,,,,,,
introduction,53,133434,0.0-8.0-1.11-0.11,z96wxpe4,,,,,,1703.0,3323,5e914ee346d11b48197172c2,,3323,,calibration,,,,,,,,,,,,,,
introduction,54,133434,0.0-8.0-2.11,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,55,135241,0.0-8.0-0.12,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,3047.0,calibration,,,,,,,,,,,,,,
introduction,56,136667,0.0-8.0-1.12-0.12,z96wxpe4,,,,,,1425.0,233,5e914ee346d11b48197172c2,,233,,calibration,,,,,,,,,,,,,,
introduction,57,136667,0.0-8.0-2.12,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,58,138667,0.0-8.0-0.13,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,<p>CAREFUL. That was too slow.</p>,3480.0,calibration,,,,,,,,,,,,,,
introduction,59,140759,0.0-8.0-1.13-0.13,z96wxpe4,,,,,,2091.0,2122,5e914ee346d11b48197172c2,,2122,,calibration,,,,,,,,,,,,,,
introduction,60,140760,0.0-8.0-2.13,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,61,142761,0.0-8.0-0.14,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,<p>CAREFUL. That was too slow.</p>,2477.0,calibration,,,,,,,,,,,,,,
introduction,62,144328,0.0-8.0-1.14-0.14,z96wxpe4,,,,,,1566.0,212,5e914ee346d11b48197172c2,,212,,calibration,,,,,,,,,,,,,,
introduction,63,144328,0.0-8.0-2.14,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,64,146329,0.0-8.0-0.15,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,<p>CAREFUL. That was too slow.</p>,1440.0,calibration,,,,,,,,,,,,,,
introduction,65,147973,0.0-8.0-1.15-0.15,z96wxpe4,,,,,,1643.0,311,5e914ee346d11b48197172c2,,311,,calibration,,,,,,,,,,,,,,
introduction,66,147973,0.0-8.0-2.15,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,67,149414,0.0-8.0-0.16,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,2799.0,calibration,,,,,,,,,,,,,,
introduction,68,150785,0.0-8.0-1.16-0.16,z96wxpe4,,,,,,1370.0,32,5e914ee346d11b48197172c2,,32,,calibration,,,,,,,,,,,,,,
introduction,69,150785,0.0-8.0-2.16,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,70,152786,0.0-8.0-0.17,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,<p>CAREFUL. That was too slow.</p>,2138.0,calibration,,,,,,,,,,,,,,
introduction,71,153854,0.0-8.0-1.17-0.17,z96wxpe4,,,,,,1067.0,11,5e914ee346d11b48197172c2,,11,,calibration,,,,,,,,,,,,,,
introduction,72,153854,0.0-8.0-2.17,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,73,155855,0.0-8.0-0.18,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,<p>CAREFUL. That was too slow.</p>,1583.0,calibration,,,,,,,,,,,,,,
introduction,74,157870,0.0-8.0-1.18-0.18,z96wxpe4,,,,,,2015.0,2322,5e914ee346d11b48197172c2,,2322,,calibration,,,,,,,,,,,,,,
introduction,75,157870,0.0-8.0-2.18,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,76,159455,0.0-8.0-0.19,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,1698.0,calibration,,,,,,,,,,,,,,
introduction,77,160948,0.0-8.0-1.19-0.19,z96wxpe4,,,,,,1492.0,212,5e914ee346d11b48197172c2,,212,,calibration,,,,,,,,,,,,,,
introduction,78,160948,0.0-8.0-2.19,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,79,162647,0.0-8.0-0.20,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,1247.0,calibration,,,,,,,,,,,,,,
introduction,80,163974,0.0-8.0-1.20-0.20,z96wxpe4,,,,,,1326.0,113,5e914ee346d11b48197172c2,,113,,calibration,,,,,,,,,,,,,,
introduction,81,163974,0.0-8.0-2.20,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,82,165222,0.0-8.0-0.21,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,1474.0,calibration,,,,,,,,,,,,,,
introduction,83,167833,0.0-8.0-1.21-0.21,z96wxpe4,,,,,,2610.0,3212,5e914ee346d11b48197172c2,,3212,,calibration,,,,,,,,,,,,,,
introduction,84,167833,0.0-8.0-2.21,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
introduction,85,169308,0.0-8.0-0.22,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,img/Red_circle.png,1058.0,calibration,,,,,,,,,,,,,,
introduction,86,170645,0.0-8.0-1.22-0.22,z96wxpe4,,,,,,1337.0,32,5e914ee346d11b48197172c2,,32,,calibration,,,,,,,,,,,,,,
introduction,87,170645,0.0-8.0-2.22,z96wxpe4,,,,,,,,5e914ee346d11b48197172c2,,,,,,,,,,,,,,,,,,
