trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8632,0.0-2.0,ulfpf2y5,,,,,,4012.0,5efb31fa8cd32f04bf048643,5efb31fa8cd32f04bf048643,,,,,,,,,,,,,,,,,,
introduction,3,12230,0.0-3.0,ulfpf2y5,,,,,,3596.0,5efb31fa8cd32f04bf048643,5efb31fa8cd32f04bf048643,,,,,,,,,,,,,,,,,,
introduction,4,20302,0.0-4.0-0.0,ulfpf2y5,,,,,,8071.0,,5efb31fa8cd32f04bf048643,"[{""page_index"":0,""viewing_time"":1129},{""page_index"":1,""viewing_time"":5088},{""page_index"":2,""viewing_time"":1854}]",,,,,,,,,,,,,,,,,
introduction,5,21385,0.0-5.0-0.0,ulfpf2y5,,,,,,1081.0,1,5efb31fa8cd32f04bf048643,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,22019,0.0-5.0-0.1,ulfpf2y5,,,,,,634.0,2,5efb31fa8cd32f04bf048643,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,22665,0.0-5.0-0.2,ulfpf2y5,,,,,,646.0,1,5efb31fa8cd32f04bf048643,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,23186,0.0-5.0-0.3,ulfpf2y5,,,,,,521.0,3,5efb31fa8cd32f04bf048643,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,23682,0.0-5.0-0.4,ulfpf2y5,,,,,,495.0,2,5efb31fa8cd32f04bf048643,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,24292,0.0-5.0-0.5,ulfpf2y5,,,,,,610.0,3,5efb31fa8cd32f04bf048643,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,24784,0.0-5.0-0.6,ulfpf2y5,,,,,,492.0,1,5efb31fa8cd32f04bf048643,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,25301,0.0-5.0-0.7,ulfpf2y5,,,,,,516.0,2,5efb31fa8cd32f04bf048643,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,25835,0.0-5.0-0.8,ulfpf2y5,,,,,,534.0,3,5efb31fa8cd32f04bf048643,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,26381,0.0-5.0-0.9,ulfpf2y5,,,,,,545.0,2,5efb31fa8cd32f04bf048643,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,26851,0.0-5.0-0.10,ulfpf2y5,,,,,,470.0,1,5efb31fa8cd32f04bf048643,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,27628,0.0-5.0-0.11,ulfpf2y5,,,,,,777.0,3,5efb31fa8cd32f04bf048643,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,51639,0.0-6.0-0.0,ulfpf2y5,,,,,,24010.0,,5efb31fa8cd32f04bf048643,"[{""page_index"":0,""viewing_time"":1863},{""page_index"":1,""viewing_time"":1659},{""page_index"":2,""viewing_time"":17909},{""page_index"":3,""viewing_time"":2579}]",,,,,,,,,,,,,,,,,
introduction,19,64720,0.0-8.0-0.0,ulfpf2y5,,,,,,,,5efb31fa8cd32f04bf048643,,img/Red_circle.png,2281.0,calibration,,,,,,,,,,,,,,
introduction,20,66327,0.0-8.0-1.0-0.0,ulfpf2y5,,,,,,1605.0,313,5efb31fa8cd32f04bf048643,,313,,calibration,,,,,,,,,,,,,,
introduction,21,66329,0.0-8.0-2.0,ulfpf2y5,,,,,,,,5efb31fa8cd32f04bf048643,,,,,,,,,,,,,,,,,,
introduction,22,68339,0.0-8.0-0.1,ulfpf2y5,,,,,,,,5efb31fa8cd32f04bf048643,,<p>CAREFUL. That was too slow.</p>,3303.0,calibration,,,,,,,,,,,,,,
introduction,23,69922,0.0-8.0-1.1-0.1,ulfpf2y5,,,,,,1581.0,2331,5efb31fa8cd32f04bf048643,,2331,,calibration,,,,,,,,,,,,,,
introduction,24,69923,0.0-8.0-2.1,ulfpf2y5,,,,,,,,5efb31fa8cd32f04bf048643,,,,,,,,,,,,,,,,,,
introduction,25,71930,0.0-8.0-0.2,ulfpf2y5,,,,,,,,5efb31fa8cd32f04bf048643,,<p>CAREFUL. That was too slow.</p>,2005.0,calibration,,,,,,,,,,,,,,
introduction,26,73401,0.0-8.0-1.2-0.2,ulfpf2y5,,,,,,1468.0,1322,5efb31fa8cd32f04bf048643,,1322,,calibration,,,,,,,,,,,,,,
introduction,27,73402,0.0-8.0-2.2,ulfpf2y5,,,,,,,,5efb31fa8cd32f04bf048643,,,,,,,,,,,,,,,,,,
introduction,28,75417,0.0-8.0-0.3,ulfpf2y5,,,,,,,,5efb31fa8cd32f04bf048643,,<p>CAREFUL. That was too slow.</p>,1561.0,calibration,,,,,,,,,,,,,,
introduction,29,76636,0.0-8.0-1.3-0.3,ulfpf2y5,,,,,,1216.0,222,5efb31fa8cd32f04bf048643,,222,,calibration,,,,,,,,,,,,,,
introduction,30,76637,0.0-8.0-2.3,ulfpf2y5,,,,,,,,5efb31fa8cd32f04bf048643,,,,,,,,,,,,,,,,,,
introduction,31,78210,0.0-8.0-0.4,ulfpf2y5,,,,,,,,5efb31fa8cd32f04bf048643,,img/Red_circle.png,3153.0,calibration,,,,,,,,,,,,,,
introduction,32,79684,0.0-8.0-1.4-0.4,ulfpf2y5,,,,,,1471.0,3312,5efb31fa8cd32f04bf048643,,3312,,calibration,,,,,,,,,,,,,,
introduction,33,79684,0.0-8.0-2.4,ulfpf2y5,,,,,,,,5efb31fa8cd32f04bf048643,,,,,,,,,,,,,,,,,,
introduction,34,81698,0.0-8.0-0.5,ulfpf2y5,,,,,,,,5efb31fa8cd32f04bf048643,,<p>CAREFUL. That was too slow.</p>,1359.0,calibration,,,,,,,,,,,,,,
