trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,19638,0.0-2.0,f8jgdz9n,,,,,,16315.0,5f120594adcb84118a2bd752,5f120594adcb84118a2bd752,,,,,,,,,,,,,,,,,,
introduction,3,21562,0.0-3.0,f8jgdz9n,,,,,,1923.0,5f120594adcb84118a2bd752,5f120594adcb84118a2bd752,,,,,,,,,,,,,,,,,,
introduction,4,26902,0.0-4.0-0.0,f8jgdz9n,,,,,,5340.0,,5f120594adcb84118a2bd752,"[{""page_index"":0,""viewing_time"":1169},{""page_index"":1,""viewing_time"":3439},{""page_index"":2,""viewing_time"":732}]",,,,,,,,,,,,,,,,,
introduction,5,27393,0.0-5.0-0.0,f8jgdz9n,,,,,,491.0,1,5f120594adcb84118a2bd752,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,27767,0.0-5.0-0.1,f8jgdz9n,,,,,,373.0,2,5f120594adcb84118a2bd752,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,28460,0.0-5.0-0.2,f8jgdz9n,,,,,,693.0,1,5f120594adcb84118a2bd752,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,29050,0.0-5.0-0.3,f8jgdz9n,,,,,,590.0,3,5f120594adcb84118a2bd752,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,29526,0.0-5.0-0.4,f8jgdz9n,,,,,,476.0,2,5f120594adcb84118a2bd752,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,30031,0.0-5.0-0.5,f8jgdz9n,,,,,,505.0,3,5f120594adcb84118a2bd752,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,30567,0.0-5.0-0.6,f8jgdz9n,,,,,,536.0,1,5f120594adcb84118a2bd752,,Press: 1,,,,,,,,,,,,,,,,
