trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10519,0.0-2.0,mm5m8j6s,,,,,,7393.0,5f369d91f4364007213154ce,5f369d91f4364007213154ce,,,,,,,,,,,,,,,,,,
introduction,3,14569,0.0-3.0,mm5m8j6s,,,,,,4050.0,5f369d91f4364007213154ce,5f369d91f4364007213154ce,,,,,,,,,,,,,,,,,,
introduction,4,37396,0.0-4.0-0.0,mm5m8j6s,,,,,,22827.0,,5f369d91f4364007213154ce,"[{""page_index"":0,""viewing_time"":837},{""page_index"":1,""viewing_time"":20985},{""page_index"":2,""viewing_time"":1005}]",,,,,,,,,,,,,,,,,
introduction,5,38646,0.0-5.0-0.0,mm5m8j6s,,,,,,1249.0,1,5f369d91f4364007213154ce,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,39224,0.0-5.0-0.1,mm5m8j6s,,,,,,578.0,2,5f369d91f4364007213154ce,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,39826,0.0-5.0-0.2,mm5m8j6s,,,,,,602.0,1,5f369d91f4364007213154ce,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,40703,0.0-5.0-0.3,mm5m8j6s,,,,,,877.0,3,5f369d91f4364007213154ce,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,41352,0.0-5.0-0.4,mm5m8j6s,,,,,,649.0,2,5f369d91f4364007213154ce,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,42138,0.0-5.0-0.5,mm5m8j6s,,,,,,785.0,3,5f369d91f4364007213154ce,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,42817,0.0-5.0-0.6,mm5m8j6s,,,,,,679.0,1,5f369d91f4364007213154ce,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,43216,0.0-5.0-0.7,mm5m8j6s,,,,,,399.0,2,5f369d91f4364007213154ce,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,43694,0.0-5.0-0.8,mm5m8j6s,,,,,,478.0,3,5f369d91f4364007213154ce,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,44138,0.0-5.0-0.9,mm5m8j6s,,,,,,444.0,2,5f369d91f4364007213154ce,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,44530,0.0-5.0-0.10,mm5m8j6s,,,,,,391.0,1,5f369d91f4364007213154ce,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,45021,0.0-5.0-0.11,mm5m8j6s,,,,,,491.0,3,5f369d91f4364007213154ce,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,74704,0.0-6.0-0.0,mm5m8j6s,,,,,,29683.0,,5f369d91f4364007213154ce,"[{""page_index"":0,""viewing_time"":1227},{""page_index"":1,""viewing_time"":2068},{""page_index"":2,""viewing_time"":24403},{""page_index"":3,""viewing_time"":1985}]",,,,,,,,,,,,,,,,,
introduction,19,86440,0.0-8.0-0.0,mm5m8j6s,,,,,,,,5f369d91f4364007213154ce,,img/Red_circle.png,2436.0,calibration,,,,,,,,,,,,,,
introduction,20,89117,0.0-8.0-1.0-0.0,mm5m8j6s,,,,,,2676.0,2133,5f369d91f4364007213154ce,,2133,,calibration,,,,,,,,,,,,,,
introduction,21,89117,0.0-8.0-2.0,mm5m8j6s,,,,,,,,5f369d91f4364007213154ce,,,,,,,,,,,,,,,,,,
introduction,22,91118,0.0-8.0-0.1,mm5m8j6s,,,,,,,,5f369d91f4364007213154ce,,<p>CAREFUL. That was too slow.</p>,1268.0,calibration,,,,,,,,,,,,,,
introduction,23,93082,0.0-8.0-1.1-0.1,mm5m8j6s,,,,,,1963.0,2311,5f369d91f4364007213154ce,,2311,,calibration,,,,,,,,,,,,,,
introduction,24,93082,0.0-8.0-2.1,mm5m8j6s,,,,,,,,5f369d91f4364007213154ce,,,,,,,,,,,,,,,,,,
introduction,25,94353,0.0-8.0-0.2,mm5m8j6s,,,,,,,,5f369d91f4364007213154ce,,img/Red_circle.png,1848.0,calibration,,,,,,,,,,,,,,
introduction,26,95907,0.0-8.0-1.2-0.2,mm5m8j6s,,,,,,1554.0,221,5f369d91f4364007213154ce,,221,,calibration,,,,,,,,,,,,,,
introduction,27,95908,0.0-8.0-2.2,mm5m8j6s,,,,,,,,5f369d91f4364007213154ce,,,,,,,,,,,,,,,,,,
