trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8348,0.0-2.0,8mg7wmeq,,,,,,5304.0,5f52971c271a0703d733031c,5f52971c271a0703d733031c,,,,,,,,,,,,,,,,,,
introduction,3,11924,0.0-3.0,8mg7wmeq,,,,,,3571.0,5f52971c271a0703d733031c,5f52971c271a0703d733031c,,,,,,,,,,,,,,,,,,
introduction,4,13834,0.0-4.0-0.0,8mg7wmeq,,,,,,1909.0,,5f52971c271a0703d733031c,"[{""page_index"":0,""viewing_time"":1179},{""page_index"":1,""viewing_time"":4},{""page_index"":2,""viewing_time"":726}]",,,,,,,,,,,,,,,,,
introduction,5,15301,0.0-5.0-0.0,8mg7wmeq,,,,,,1465.0,1,5f52971c271a0703d733031c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,15898,0.0-5.0-0.1,8mg7wmeq,,,,,,597.0,2,5f52971c271a0703d733031c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,16686,0.0-5.0-0.2,8mg7wmeq,,,,,,786.0,1,5f52971c271a0703d733031c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,17457,0.0-5.0-0.3,8mg7wmeq,,,,,,769.0,3,5f52971c271a0703d733031c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,18041,0.0-5.0-0.4,8mg7wmeq,,,,,,583.0,2,5f52971c271a0703d733031c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,18638,0.0-5.0-0.5,8mg7wmeq,,,,,,596.0,3,5f52971c271a0703d733031c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,19218,0.0-5.0-0.6,8mg7wmeq,,,,,,579.0,1,5f52971c271a0703d733031c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,19728,0.0-5.0-0.7,8mg7wmeq,,,,,,508.0,2,5f52971c271a0703d733031c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,20204,0.0-5.0-0.8,8mg7wmeq,,,,,,475.0,3,5f52971c271a0703d733031c,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,20706,0.0-5.0-0.9,8mg7wmeq,,,,,,501.0,2,5f52971c271a0703d733031c,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,21218,0.0-5.0-0.10,8mg7wmeq,,,,,,511.0,1,5f52971c271a0703d733031c,,Press: 1,,,,,,,,,,,,,,,,
