trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6454,0.0-2.0,92amtuap,,,,,,3903.0,5fa8b4123a3f0d7a4aab8ef3,5fa8b4123a3f0d7a4aab8ef3,,,,,,,,,,,,,,,,,,
introduction,3,11500,0.0-3.0,92amtuap,,,,,,5042.0,5fa8b4123a3f0d7a4aab8ef3,5fa8b4123a3f0d7a4aab8ef3,,,,,,,,,,,,,,,,,,
introduction,4,20666,0.0-4.0-0.0,92amtuap,,,,,,9165.0,,5fa8b4123a3f0d7a4aab8ef3,"[{""page_index"":0,""viewing_time"":1435},{""page_index"":1,""viewing_time"":6381},{""page_index"":2,""viewing_time"":1348}]",,,,,,,,,,,,,,,,,
introduction,5,21941,0.0-5.0-0.0,92amtuap,,,,,,1273.0,1,5fa8b4123a3f0d7a4aab8ef3,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,22784,0.0-5.0-0.1,92amtuap,,,,,,841.0,2,5fa8b4123a3f0d7a4aab8ef3,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,23823,0.0-5.0-0.2,92amtuap,,,,,,1039.0,1,5fa8b4123a3f0d7a4aab8ef3,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,25132,0.0-5.0-0.3,92amtuap,,,,,,1308.0,3,5fa8b4123a3f0d7a4aab8ef3,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,25844,0.0-5.0-0.4,92amtuap,,,,,,712.0,2,5fa8b4123a3f0d7a4aab8ef3,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,26658,0.0-5.0-0.5,92amtuap,,,,,,813.0,3,5fa8b4123a3f0d7a4aab8ef3,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,27210,0.0-5.0-0.6,92amtuap,,,,,,552.0,1,5fa8b4123a3f0d7a4aab8ef3,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,27717,0.0-5.0-0.7,92amtuap,,,,,,507.0,2,5fa8b4123a3f0d7a4aab8ef3,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,29445,0.0-5.0-0.8,92amtuap,,,,,,1727.0,3,5fa8b4123a3f0d7a4aab8ef3,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,29920,0.0-5.0-0.9,92amtuap,,,,,,475.0,2,5fa8b4123a3f0d7a4aab8ef3,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,30318,0.0-5.0-0.10,92amtuap,,,,,,397.0,1,5fa8b4123a3f0d7a4aab8ef3,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,30843,0.0-5.0-0.11,92amtuap,,,,,,525.0,3,5fa8b4123a3f0d7a4aab8ef3,,Press: 3,,,,,,,,,,,,,,,,
