trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,12998,0.0-2.0,1yfgc77o,,,,,,6626.0,5fdbdc853ce8060db67cf718,5fdbdc853ce8060db67cf718,,,,,,,,,,,,,,,,,,
introduction,3,17368,0.0-3.0,1yfgc77o,,,,,,4368.0,5fdbdc853ce8060db67cf718,5fdbdc853ce8060db67cf718,,,,,,,,,,,,,,,,,,
introduction,4,25549,0.0-4.0-0.0,1yfgc77o,,,,,,8180.0,,5fdbdc853ce8060db67cf718,"[{""page_index"":0,""viewing_time"":1941},{""page_index"":1,""viewing_time"":4436},{""page_index"":2,""viewing_time"":1803}]",,,,,,,,,,,,,,,,,
introduction,5,27574,0.0-5.0-0.0,1yfgc77o,,,,,,2023.0,1,5fdbdc853ce8060db67cf718,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,28093,0.0-5.0-0.1,1yfgc77o,,,,,,519.0,2,5fdbdc853ce8060db67cf718,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,28853,0.0-5.0-0.2,1yfgc77o,,,,,,759.0,1,5fdbdc853ce8060db67cf718,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,29598,0.0-5.0-0.3,1yfgc77o,,,,,,744.0,3,5fdbdc853ce8060db67cf718,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,30325,0.0-5.0-0.4,1yfgc77o,,,,,,727.0,2,5fdbdc853ce8060db67cf718,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,31117,0.0-5.0-0.5,1yfgc77o,,,,,,792.0,3,5fdbdc853ce8060db67cf718,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,31741,0.0-5.0-0.6,1yfgc77o,,,,,,624.0,1,5fdbdc853ce8060db67cf718,,Press: 1,,,,,,,,,,,,,,,,
