trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7261,0.0-2.0,zru0t049,,,,,,4795.0,5ffd2c0699c3912436845113,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,3,11759,0.0-3.0,zru0t049,,,,,,4495.0,5ffd2c0699c3912436845113,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,4,19942,0.0-4.0-0.0,zru0t049,,,,,,8182.0,,5ffd2c0699c3912436845113,"[{""page_index"":0,""viewing_time"":1215},{""page_index"":1,""viewing_time"":5867},{""page_index"":2,""viewing_time"":1098}]",,,,,,,,,,,,,,,,,
introduction,5,20907,0.0-5.0-0.0,zru0t049,,,,,,963.0,1,5ffd2c0699c3912436845113,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,21423,0.0-5.0-0.1,zru0t049,,,,,,515.0,2,5ffd2c0699c3912436845113,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,22164,0.0-5.0-0.2,zru0t049,,,,,,740.0,1,5ffd2c0699c3912436845113,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,22655,0.0-5.0-0.3,zru0t049,,,,,,490.0,3,5ffd2c0699c3912436845113,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,23188,0.0-5.0-0.4,zru0t049,,,,,,532.0,2,5ffd2c0699c3912436845113,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,23750,0.0-5.0-0.5,zru0t049,,,,,,561.0,3,5ffd2c0699c3912436845113,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,24200,0.0-5.0-0.6,zru0t049,,,,,,449.0,1,5ffd2c0699c3912436845113,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,24621,0.0-5.0-0.7,zru0t049,,,,,,420.0,2,5ffd2c0699c3912436845113,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,25023,0.0-5.0-0.8,zru0t049,,,,,,402.0,3,5ffd2c0699c3912436845113,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,25584,0.0-5.0-0.9,zru0t049,,,,,,560.0,2,5ffd2c0699c3912436845113,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,25950,0.0-5.0-0.10,zru0t049,,,,,,366.0,1,5ffd2c0699c3912436845113,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,26488,0.0-5.0-0.11,zru0t049,,,,,,537.0,3,5ffd2c0699c3912436845113,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,43309,0.0-6.0-0.0,zru0t049,,,,,,16821.0,,5ffd2c0699c3912436845113,"[{""page_index"":0,""viewing_time"":1167},{""page_index"":1,""viewing_time"":1653},{""page_index"":2,""viewing_time"":12299},{""page_index"":3,""viewing_time"":1701}]",,,,,,,,,,,,,,,,,
introduction,19,62541,0.0-8.0-0.0,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,img/Red_circle.png,1242.0,calibration,,,,,,,,,,,,,,
introduction,20,66058,0.0-8.0-1.0-0.0,zru0t049,,,,,,3511.0,3123,5ffd2c0699c3912436845113,,3123,,calibration,,,,,,,,,,,,,,
introduction,21,68065,0.0-8.0-2.0,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,69316,0.0-8.0-0.1,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,img/Red_circle.png,1414.0,calibration,,,,,,,,,,,,,,
introduction,23,70544,0.0-8.0-1.1-0.1,zru0t049,,,,,,1225.0,312,5ffd2c0699c3912436845113,,312,,calibration,,,,,,,,,,,,,,
introduction,24,70545,0.0-8.0-2.1,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,25,71968,0.0-8.0-0.2,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,img/Red_circle.png,1048.0,calibration,,,,,,,,,,,,,,
introduction,26,73265,0.0-8.0-1.2-0.2,zru0t049,,,,,,1295.0,1331,5ffd2c0699c3912436845113,,1331,,calibration,,,,,,,,,,,,,,
introduction,27,73266,0.0-8.0-2.2,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,28,74330,0.0-8.0-0.3,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,img/Red_circle.png,1591.0,calibration,,,,,,,,,,,,,,
introduction,29,75130,0.0-8.0-1.3-0.3,zru0t049,,,,,,795.0,22,5ffd2c0699c3912436845113,,22,,calibration,,,,,,,,,,,,,,
introduction,30,75131,0.0-8.0-2.3,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,31,76749,0.0-8.0-0.4,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,img/Red_circle.png,1462.0,calibration,,,,,,,,,,,,,,
introduction,32,78272,0.0-8.0-1.4-0.4,zru0t049,,,,,,1520.0,3333,5ffd2c0699c3912436845113,,3333,,calibration,,,,,,,,,,,,,,
introduction,33,78273,0.0-8.0-2.4,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,34,79746,0.0-8.0-0.5,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,img/Red_circle.png,2064.0,calibration,,,,,,,,,,,,,,
introduction,35,81667,0.0-8.0-1.5-0.5,zru0t049,,,,,,1919.0,1212,5ffd2c0699c3912436845113,,1212,,calibration,,,,,,,,,,,,,,
introduction,36,81668,0.0-8.0-2.5,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,37,83678,0.0-8.0-0.6,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,<p>CAREFUL. That was too slow.</p>,2581.0,calibration,,,,,,,,,,,,,,
introduction,38,85573,0.0-8.0-1.6-0.6,zru0t049,,,,,,1892.0,3223,5ffd2c0699c3912436845113,,3223,,calibration,,,,,,,,,,,,,,
introduction,39,85574,0.0-8.0-2.6,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,40,87583,0.0-8.0-0.7,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,<p>CAREFUL. That was too slow.</p>,2641.0,calibration,,,,,,,,,,,,,,
introduction,41,88997,0.0-8.0-1.7-0.7,zru0t049,,,,,,1412.0,2121,5ffd2c0699c3912436845113,,2121,,calibration,,,,,,,,,,,,,,
introduction,42,88998,0.0-8.0-2.7,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,43,90999,0.0-8.0-0.8,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,<p>CAREFUL. That was too slow.</p>,3446.0,calibration,,,,,,,,,,,,,,
introduction,44,92147,0.0-8.0-1.8-0.8,zru0t049,,,,,,1144.0,123,5ffd2c0699c3912436845113,,123,,calibration,,,,,,,,,,,,,,
introduction,45,92158,0.0-8.0-2.8,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,46,94166,0.0-8.0-0.9,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,<p>CAREFUL. That was too slow.</p>,1931.0,calibration,,,,,,,,,,,,,,
introduction,47,95481,0.0-8.0-1.9-0.9,zru0t049,,,,,,1312.0,1233,5ffd2c0699c3912436845113,,1233,,calibration,,,,,,,,,,,,,,
introduction,48,95482,0.0-8.0-2.9,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,49,97415,0.0-8.0-0.10,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,img/Red_circle.png,1790.0,calibration,,,,,,,,,,,,,,
introduction,50,99216,0.0-8.0-1.10-0.10,zru0t049,,,,,,1798.0,2123,5ffd2c0699c3912436845113,,2123,,calibration,,,,,,,,,,,,,,
introduction,51,99217,0.0-8.0-2.10,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,52,101015,0.0-8.0-0.11,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,img/Red_circle.png,1799.0,calibration,,,,,,,,,,,,,,
introduction,53,102419,0.0-8.0-1.11-0.11,zru0t049,,,,,,1401.0,2333,5ffd2c0699c3912436845113,,2333,,calibration,,,,,,,,,,,,,,
introduction,54,102420,0.0-8.0-2.11,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,55,104229,0.0-8.0-0.12,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,img/Red_circle.png,2320.0,calibration,,,,,,,,,,,,,,
introduction,56,108700,0.0-8.0-1.12-0.12,zru0t049,,,,,,4468.0,3313,5ffd2c0699c3912436845113,,3313,,calibration,,,,,,,,,,,,,,
introduction,57,110703,0.0-8.0-2.12,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,58,113032,0.0-8.0-0.13,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,img/Red_circle.png,2711.0,calibration,,,,,,,,,,,,,,
introduction,59,114608,0.0-8.0-1.13-0.13,zru0t049,,,,,,1573.0,1333,5ffd2c0699c3912436845113,,1333,,calibration,,,,,,,,,,,,,,
introduction,60,114608,0.0-8.0-2.13,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,,,,,,,,,,,,,,,,,
introduction,61,116610,0.0-8.0-0.14,zru0t049,,,,,,,,5ffd2c0699c3912436845113,,<p>CAREFUL. That was too slow.</p>,2158.0,calibration,,,,,,,,,,,,,,
