trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,43894,0.0-2.0,gnf5yphf,,,,,,38294.0,60085c96f16b701cbdced9a4,60085c96f16b701cbdced9a4,,,,,,,,,,,,,,,,,,
introduction,3,46051,0.0-3.0,gnf5yphf,,,,,,2153.0,60085c96f16b701cbdced9a4,60085c96f16b701cbdced9a4,,,,,,,,,,,,,,,,,,
introduction,4,48475,0.0-4.0-0.0,gnf5yphf,,,,,,2423.0,,60085c96f16b701cbdced9a4,"[{""page_index"":0,""viewing_time"":679},{""page_index"":1,""viewing_time"":836},{""page_index"":2,""viewing_time"":908}]",,,,,,,,,,,,,,,,,
introduction,5,49781,0.0-5.0-0.0,gnf5yphf,,,,,,1305.0,1,60085c96f16b701cbdced9a4,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,50253,0.0-5.0-0.1,gnf5yphf,,,,,,472.0,2,60085c96f16b701cbdced9a4,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,50910,0.0-5.0-0.2,gnf5yphf,,,,,,656.0,1,60085c96f16b701cbdced9a4,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,51760,0.0-5.0-0.3,gnf5yphf,,,,,,849.0,3,60085c96f16b701cbdced9a4,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,52387,0.0-5.0-0.4,gnf5yphf,,,,,,628.0,2,60085c96f16b701cbdced9a4,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,53092,0.0-5.0-0.5,gnf5yphf,,,,,,704.0,3,60085c96f16b701cbdced9a4,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,53670,0.0-5.0-0.6,gnf5yphf,,,,,,577.0,1,60085c96f16b701cbdced9a4,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,54304,0.0-5.0-0.7,gnf5yphf,,,,,,633.0,2,60085c96f16b701cbdced9a4,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,54914,0.0-5.0-0.8,gnf5yphf,,,,,,609.0,3,60085c96f16b701cbdced9a4,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,55510,0.0-5.0-0.9,gnf5yphf,,,,,,596.0,2,60085c96f16b701cbdced9a4,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,56080,0.0-5.0-0.10,gnf5yphf,,,,,,569.0,1,60085c96f16b701cbdced9a4,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,56764,0.0-5.0-0.11,gnf5yphf,,,,,,683.0,3,60085c96f16b701cbdced9a4,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,59583,0.0-6.0-0.0,gnf5yphf,,,,,,2819.0,,60085c96f16b701cbdced9a4,"[{""page_index"":0,""viewing_time"":598},{""page_index"":1,""viewing_time"":637},{""page_index"":2,""viewing_time"":826},{""page_index"":3,""viewing_time"":758}]",,,,,,,,,,,,,,,,,
introduction,19,72649,0.0-8.0-0.0,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,img/Red_circle.png,2377.0,calibration,,,,,,,,,,,,,,
introduction,20,75009,0.0-8.0-1.0-0.0,gnf5yphf,,,,,,2355.0,1133,60085c96f16b701cbdced9a4,,1133,,calibration,,,,,,,,,,,,,,
introduction,21,75011,0.0-8.0-2.0,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,,,,,,,,,,,,,,,,,
introduction,22,77023,0.0-8.0-0.1,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,<p>CAREFUL. That was too slow.</p>,2557.0,calibration,,,,,,,,,,,,,,
introduction,23,78372,0.0-8.0-1.1-0.1,gnf5yphf,,,,,,1333.0,112,60085c96f16b701cbdced9a4,,112,,calibration,,,,,,,,,,,,,,
introduction,24,78374,0.0-8.0-2.1,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,,,,,,,,,,,,,,,,,
introduction,25,80404,0.0-8.0-0.2,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,<p>CAREFUL. That was too slow.</p>,1767.0,calibration,,,,,,,,,,,,,,
introduction,26,82261,0.0-8.0-1.2-0.2,gnf5yphf,,,,,,1851.0,2221,60085c96f16b701cbdced9a4,,2221,,calibration,,,,,,,,,,,,,,
introduction,27,82262,0.0-8.0-2.2,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,,,,,,,,,,,,,,,,,
introduction,28,84030,0.0-8.0-0.3,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,img/Red_circle.png,1650.0,calibration,,,,,,,,,,,,,,
introduction,29,86147,0.0-8.0-1.3-0.3,gnf5yphf,,,,,,2111.0,1312,60085c96f16b701cbdced9a4,,1312,,calibration,,,,,,,,,,,,,,
introduction,30,86148,0.0-8.0-2.3,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,,,,,,,,,,,,,,,,,
introduction,31,87810,0.0-8.0-0.4,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,img/Red_circle.png,3384.0,calibration,,,,,,,,,,,,,,
introduction,32,89374,0.0-8.0-1.4-0.4,gnf5yphf,,,,,,1559.0,1111,60085c96f16b701cbdced9a4,,1111,,calibration,,,,,,,,,,,,,,
introduction,33,89376,0.0-8.0-2.4,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,,,,,,,,,,,,,,,,,
introduction,34,91382,0.0-8.0-0.5,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,<p>CAREFUL. That was too slow.</p>,2877.0,calibration,,,,,,,,,,,,,,
introduction,35,97301,0.0-8.0-1.5-0.5,gnf5yphf,,,,,,5915.0,3332,60085c96f16b701cbdced9a4,,3332,,calibration,,,,,,,,,,,,,,
introduction,36,99304,0.0-8.0-2.5,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,37,102246,0.0-8.0-0.6,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,img/Red_circle.png,1235.0,calibration,,,,,,,,,,,,,,
introduction,38,104350,0.0-8.0-1.6-0.6,gnf5yphf,,,,,,2098.0,2313,60085c96f16b701cbdced9a4,,2313,,calibration,,,,,,,,,,,,,,
introduction,39,104351,0.0-8.0-2.6,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,,,,,,,,,,,,,,,,,
introduction,40,105600,0.0-8.0-0.7,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,img/Red_circle.png,2893.0,calibration,,,,,,,,,,,,,,
introduction,41,107204,0.0-8.0-1.7-0.7,gnf5yphf,,,,,,1600.0,1133,60085c96f16b701cbdced9a4,,1133,,calibration,,,,,,,,,,,,,,
introduction,42,107205,0.0-8.0-2.7,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,,,,,,,,,,,,,,,,,
introduction,43,109206,0.0-8.0-0.8,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,<p>CAREFUL. That was too slow.</p>,2875.0,calibration,,,,,,,,,,,,,,
introduction,44,112445,0.0-8.0-1.8-0.8,gnf5yphf,,,,,,3233.0,3123,60085c96f16b701cbdced9a4,,3123,,calibration,,,,,,,,,,,,,,
introduction,45,112446,0.0-8.0-2.8,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,,,,,,,,,,,,,,,,,
introduction,46,114459,0.0-8.0-0.9,gnf5yphf,,,,,,,,60085c96f16b701cbdced9a4,,<p>CAREFUL. That was too slow.</p>,3058.0,calibration,,,,,,,,,,,,,,
