trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,23467,0.0-2.0,d9rvd051,,,,,,11775.0,6012e262527c380ccb2a6c74,6012e262527c380ccb2a6c74,,,,,,,,,,,,,,,,,,
introduction,3,28678,0.0-3.0,d9rvd051,,,,,,5208.0,6012e262527c380ccb2a6c74,6012e262527c380ccb2a6c74,,,,,,,,,,,,,,,,,,
introduction,4,132315,0.0-4.0-0.0,d9rvd051,,,,,,103636.0,,6012e262527c380ccb2a6c74,"[{""page_index"":0,""viewing_time"":1705},{""page_index"":1,""viewing_time"":100513},{""page_index"":2,""viewing_time"":1418}]",,,,,,,,,,,,,,,,,
introduction,5,133311,0.0-5.0-0.0,d9rvd051,,,,,,995.0,1,6012e262527c380ccb2a6c74,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,134201,0.0-5.0-0.1,d9rvd051,,,,,,889.0,2,6012e262527c380ccb2a6c74,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,139520,0.0-5.0-0.2,d9rvd051,,,,,,5319.0,1,6012e262527c380ccb2a6c74,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,140307,0.0-5.0-0.3,d9rvd051,,,,,,786.0,3,6012e262527c380ccb2a6c74,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,141060,0.0-5.0-0.4,d9rvd051,,,,,,752.0,2,6012e262527c380ccb2a6c74,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,141795,0.0-5.0-0.5,d9rvd051,,,,,,735.0,3,6012e262527c380ccb2a6c74,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,142559,0.0-5.0-0.6,d9rvd051,,,,,,764.0,1,6012e262527c380ccb2a6c74,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,143367,0.0-5.0-0.7,d9rvd051,,,,,,807.0,2,6012e262527c380ccb2a6c74,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,144055,0.0-5.0-0.8,d9rvd051,,,,,,688.0,3,6012e262527c380ccb2a6c74,,Press: 3,,,,,,,,,,,,,,,,
