trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,33215,0.0-2.0,vtg9pll2,,,,,,30098.0,607f1e19b195cdd04a669958,607f1e19b195cdd04a669958,,,,,,,,,,,,,,,,,,
introduction,3,37578,0.0-3.0,vtg9pll2,,,,,,4359.0,607f1e19b195cdd04a669958,607f1e19b195cdd04a669958,,,,,,,,,,,,,,,,,,
introduction,4,43878,0.0-4.0-0.0,vtg9pll2,,,,,,6299.0,,607f1e19b195cdd04a669958,"[{""page_index"":0,""viewing_time"":1035},{""page_index"":1,""viewing_time"":3979},{""page_index"":2,""viewing_time"":1284}]",,,,,,,,,,,,,,,,,
introduction,5,44409,0.0-5.0-0.0,vtg9pll2,,,,,,530.0,1,607f1e19b195cdd04a669958,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,44747,0.0-5.0-0.1,vtg9pll2,,,,,,336.0,2,607f1e19b195cdd04a669958,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,45479,0.0-5.0-0.2,vtg9pll2,,,,,,732.0,1,607f1e19b195cdd04a669958,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,46165,0.0-5.0-0.3,vtg9pll2,,,,,,685.0,3,607f1e19b195cdd04a669958,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,46696,0.0-5.0-0.4,vtg9pll2,,,,,,531.0,2,607f1e19b195cdd04a669958,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,47239,0.0-5.0-0.5,vtg9pll2,,,,,,542.0,3,607f1e19b195cdd04a669958,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,47740,0.0-5.0-0.6,vtg9pll2,,,,,,500.0,1,607f1e19b195cdd04a669958,,Press: 1,,,,,,,,,,,,,,,,
