trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10534,0.0-2.0,vyynx8wm,,,,,,4831.0,6085e7b2cefdf1c11ed41546,6085e7b2cefdf1c11ed41546,,,,,,,,,,,,,,,,,,
introduction,3,16656,0.0-3.0,vyynx8wm,,,,,,6117.0,6085e7b2cefdf1c11ed41546,6085e7b2cefdf1c11ed41546,,,,,,,,,,,,,,,,,,
introduction,4,26550,0.0-4.0-0.0,vyynx8wm,,,,,,9892.0,,6085e7b2cefdf1c11ed41546,"[{""page_index"":0,""viewing_time"":1243},{""page_index"":1,""viewing_time"":7496},{""page_index"":2,""viewing_time"":1153}]",,,,,,,,,,,,,,,,,
introduction,5,27881,0.0-5.0-0.0,vyynx8wm,,,,,,1329.0,1,6085e7b2cefdf1c11ed41546,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,28709,0.0-5.0-0.1,vyynx8wm,,,,,,826.0,2,6085e7b2cefdf1c11ed41546,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,29902,0.0-5.0-0.2,vyynx8wm,,,,,,1191.0,1,6085e7b2cefdf1c11ed41546,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,30984,0.0-5.0-0.3,vyynx8wm,,,,,,1081.0,3,6085e7b2cefdf1c11ed41546,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,31686,0.0-5.0-0.4,vyynx8wm,,,,,,701.0,2,6085e7b2cefdf1c11ed41546,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,32408,0.0-5.0-0.5,vyynx8wm,,,,,,720.0,3,6085e7b2cefdf1c11ed41546,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,33137,0.0-5.0-0.6,vyynx8wm,,,,,,728.0,1,6085e7b2cefdf1c11ed41546,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,33771,0.0-5.0-0.7,vyynx8wm,,,,,,632.0,2,6085e7b2cefdf1c11ed41546,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,34388,0.0-5.0-0.8,vyynx8wm,,,,,,616.0,3,6085e7b2cefdf1c11ed41546,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,35034,0.0-5.0-0.9,vyynx8wm,,,,,,644.0,2,6085e7b2cefdf1c11ed41546,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,35738,0.0-5.0-0.10,vyynx8wm,,,,,,703.0,1,6085e7b2cefdf1c11ed41546,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,36625,0.0-5.0-0.11,vyynx8wm,,,,,,884.0,3,6085e7b2cefdf1c11ed41546,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,43466,0.0-6.0-0.0,vyynx8wm,,,,,,6841.0,,6085e7b2cefdf1c11ed41546,"[{""page_index"":0,""viewing_time"":1643},{""page_index"":1,""viewing_time"":2328},{""page_index"":2,""viewing_time"":1495},{""page_index"":3,""viewing_time"":1375}]",,,,,,,,,,,,,,,,,
introduction,19,56492,0.0-8.0-0.0,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,img/Red_circle.png,1035.0,calibration,,,,,,,,,,,,,,
introduction,20,63887,0.0-8.0-1.0-0.0,vyynx8wm,,,,,,7387.0,3332,6085e7b2cefdf1c11ed41546,,3332,,calibration,,,,,,,,,,,,,,
introduction,21,65889,0.0-8.0-2.0,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,66929,0.0-8.0-0.1,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,img/Red_circle.png,3261.0,calibration,,,,,,,,,,,,,,
introduction,23,72845,0.0-8.0-1.1-0.1,vyynx8wm,,,,,,5908.0,132,6085e7b2cefdf1c11ed41546,,132,,calibration,,,,,,,,,,,,,,
introduction,24,74848,0.0-8.0-2.1,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,25,78111,0.0-8.0-0.2,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,img/Red_circle.png,1052.0,calibration,,,,,,,,,,,,,,
introduction,26,82159,0.0-8.0-1.2-0.2,vyynx8wm,,,,,,4042.0,2323,6085e7b2cefdf1c11ed41546,,2323,,calibration,,,,,,,,,,,,,,
introduction,27,84162,0.0-8.0-2.2,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,85217,0.0-8.0-0.3,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,img/Red_circle.png,2825.0,calibration,,,,,,,,,,,,,,
introduction,29,88820,0.0-8.0-1.3-0.3,vyynx8wm,,,,,,3599.0,1122,6085e7b2cefdf1c11ed41546,,1122,,calibration,,,,,,,,,,,,,,
introduction,30,90824,0.0-8.0-2.3,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,31,93651,0.0-8.0-0.4,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,img/Red_circle.png,2763.0,calibration,,,,,,,,,,,,,,
introduction,32,98554,0.0-8.0-1.4-0.4,vyynx8wm,,,,,,4899.0,3212,6085e7b2cefdf1c11ed41546,,3212,,calibration,,,,,,,,,,,,,,
introduction,33,100559,0.0-8.0-2.4,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,34,103325,0.0-8.0-0.5,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,img/Red_circle.png,1375.0,calibration,,,,,,,,,,,,,,
introduction,35,105326,0.0-8.0-1.5-0.5,vyynx8wm,,,,,,1995.0,1131,6085e7b2cefdf1c11ed41546,,1131,,calibration,,,,,,,,,,,,,,
introduction,36,105329,0.0-8.0-2.5,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,,,,,,,,,,,,,,,,,
introduction,37,106708,0.0-8.0-0.6,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,img/Red_circle.png,2824.0,calibration,,,,,,,,,,,,,,
introduction,38,108444,0.0-8.0-1.6-0.6,vyynx8wm,,,,,,1729.0,2233,6085e7b2cefdf1c11ed41546,,2233,,calibration,,,,,,,,,,,,,,
introduction,39,108446,0.0-8.0-2.6,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,,,,,,,,,,,,,,,,,
introduction,40,110447,0.0-8.0-0.7,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,<p>CAREFUL. That was too slow.</p>,1770.0,calibration,,,,,,,,,,,,,,
introduction,41,112577,0.0-8.0-1.7-0.7,vyynx8wm,,,,,,2120.0,2113,6085e7b2cefdf1c11ed41546,,2113,,calibration,,,,,,,,,,,,,,
introduction,42,112580,0.0-8.0-2.7,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,,,,,,,,,,,,,,,,,
introduction,43,114361,0.0-8.0-0.8,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,img/Red_circle.png,2177.0,calibration,,,,,,,,,,,,,,
introduction,44,116135,0.0-8.0-1.8-0.8,vyynx8wm,,,,,,1768.0,331,6085e7b2cefdf1c11ed41546,,331,,calibration,,,,,,,,,,,,,,
introduction,45,116139,0.0-8.0-2.8,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,,,,,,,,,,,,,,,,,
introduction,46,118139,0.0-8.0-0.9,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,<p>CAREFUL. That was too slow.</p>,2083.0,calibration,,,,,,,,,,,,,,
introduction,47,120402,0.0-8.0-1.9-0.9,vyynx8wm,,,,,,2257.0,2312,6085e7b2cefdf1c11ed41546,,2312,,calibration,,,,,,,,,,,,,,
introduction,48,120403,0.0-8.0-2.9,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,,,,,,,,,,,,,,,,,
introduction,49,122403,0.0-8.0-0.10,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,<p>CAREFUL. That was too slow.</p>,1836.0,calibration,,,,,,,,,,,,,,
introduction,50,124510,0.0-8.0-1.10-0.10,vyynx8wm,,,,,,2100.0,3311,6085e7b2cefdf1c11ed41546,,3311,,calibration,,,,,,,,,,,,,,
introduction,51,124512,0.0-8.0-2.10,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,,,,,,,,,,,,,,,,,
introduction,52,126351,0.0-8.0-0.11,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,img/Red_circle.png,2947.0,calibration,,,,,,,,,,,,,,
introduction,53,128689,0.0-8.0-1.11-0.11,vyynx8wm,,,,,,2331.0,313,6085e7b2cefdf1c11ed41546,,313,,calibration,,,,,,,,,,,,,,
introduction,54,128691,0.0-8.0-2.11,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,,,,,,,,,,,,,,,,,
introduction,55,130691,0.0-8.0-0.12,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,<p>CAREFUL. That was too slow.</p>,3008.0,calibration,,,,,,,,,,,,,,
introduction,56,132291,0.0-8.0-1.12-0.12,vyynx8wm,,,,,,1593.0,331,6085e7b2cefdf1c11ed41546,,331,,calibration,,,,,,,,,,,,,,
introduction,57,132294,0.0-8.0-2.12,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,,,,,,,,,,,,,,,,,
introduction,58,134294,0.0-8.0-0.13,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,<p>CAREFUL. That was too slow.</p>,3086.0,calibration,,,,,,,,,,,,,,
introduction,59,136409,0.0-8.0-1.13-0.13,vyynx8wm,,,,,,2109.0,3133,6085e7b2cefdf1c11ed41546,,3133,,calibration,,,,,,,,,,,,,,
introduction,60,136410,0.0-8.0-2.13,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,,,,,,,,,,,,,,,,,
introduction,61,138411,0.0-8.0-0.14,vyynx8wm,,,,,,,,6085e7b2cefdf1c11ed41546,,<p>CAREFUL. That was too slow.</p>,2916.0,calibration,,,,,,,,,,,,,,
