trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,9199,0.0-2.0,979nvvmy,,,,,,5011.0,609ee7a707f13c414e5e87ec,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,3,12763,0.0-3.0,979nvvmy,,,,,,3561.0,609ee7a707f13c414e5e87ec,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,4,21471,0.0-4.0-0.0,979nvvmy,,,,,,8707.0,,609ee7a707f13c414e5e87ec,"[{""page_index"":0,""viewing_time"":1096},{""page_index"":1,""viewing_time"":4052},{""page_index"":2,""viewing_time"":3558}]",,,,,,,,,,,,,,,,,
introduction,5,22017,0.0-5.0-0.0,979nvvmy,,,,,,544.0,1,609ee7a707f13c414e5e87ec,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,22498,0.0-5.0-0.1,979nvvmy,,,,,,479.0,2,609ee7a707f13c414e5e87ec,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,23465,0.0-5.0-0.2,979nvvmy,,,,,,966.0,1,609ee7a707f13c414e5e87ec,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,24474,0.0-5.0-0.3,979nvvmy,,,,,,1008.0,3,609ee7a707f13c414e5e87ec,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,25080,0.0-5.0-0.4,979nvvmy,,,,,,604.0,2,609ee7a707f13c414e5e87ec,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,25739,0.0-5.0-0.5,979nvvmy,,,,,,659.0,3,609ee7a707f13c414e5e87ec,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,26368,0.0-5.0-0.6,979nvvmy,,,,,,629.0,1,609ee7a707f13c414e5e87ec,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,27007,0.0-5.0-0.7,979nvvmy,,,,,,639.0,2,609ee7a707f13c414e5e87ec,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,27655,0.0-5.0-0.8,979nvvmy,,,,,,647.0,3,609ee7a707f13c414e5e87ec,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,28248,0.0-5.0-0.9,979nvvmy,,,,,,592.0,2,609ee7a707f13c414e5e87ec,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,28793,0.0-5.0-0.10,979nvvmy,,,,,,545.0,1,609ee7a707f13c414e5e87ec,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,29556,0.0-5.0-0.11,979nvvmy,,,,,,763.0,3,609ee7a707f13c414e5e87ec,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,126054,0.0-6.0-0.0,979nvvmy,,,,,,96498.0,,609ee7a707f13c414e5e87ec,"[{""page_index"":0,""viewing_time"":1070},{""page_index"":1,""viewing_time"":3866},{""page_index"":2,""viewing_time"":89792},{""page_index"":3,""viewing_time"":1770}]",,,,,,,,,,,,,,,,,
introduction,19,139270,0.0-8.0-0.0,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,img/Red_circle.png,1393.0,calibration,,,,,,,,,,,,,,
introduction,20,140971,0.0-8.0-1.0-0.0,979nvvmy,,,,,,1693.0,223,609ee7a707f13c414e5e87ec,,223,,calibration,,,,,,,,,,,,,,
introduction,21,140975,0.0-8.0-2.0,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,22,142376,0.0-8.0-0.1,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,img/Red_circle.png,2513.0,calibration,,,,,,,,,,,,,,
introduction,23,144209,0.0-8.0-1.1-0.1,979nvvmy,,,,,,1828.0,3211,609ee7a707f13c414e5e87ec,,3211,,calibration,,,,,,,,,,,,,,
introduction,24,144209,0.0-8.0-2.1,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,25,146213,0.0-8.0-0.2,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,<p>CAREFUL. That was too slow.</p>,1052.0,calibration,,,,,,,,,,,,,,
introduction,26,148596,0.0-8.0-1.2-0.2,979nvvmy,,,,,,2379.0,3213,609ee7a707f13c414e5e87ec,,3213,,calibration,,,,,,,,,,,,,,
introduction,27,148597,0.0-8.0-2.2,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,28,149666,0.0-8.0-0.3,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,img/Red_circle.png,2646.0,calibration,,,,,,,,,,,,,,
introduction,29,152132,0.0-8.0-1.3-0.3,979nvvmy,,,,,,2462.0,2312,609ee7a707f13c414e5e87ec,,2312,,calibration,,,,,,,,,,,,,,
introduction,30,152133,0.0-8.0-2.3,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,31,154141,0.0-8.0-0.4,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,<p>CAREFUL. That was too slow.</p>,2495.0,calibration,,,,,,,,,,,,,,
introduction,32,156210,0.0-8.0-1.4-0.4,979nvvmy,,,,,,2066.0,1313,609ee7a707f13c414e5e87ec,,1313,,calibration,,,,,,,,,,,,,,
introduction,33,156211,0.0-8.0-2.4,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,34,158224,0.0-8.0-0.5,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,<p>CAREFUL. That was too slow.</p>,2299.0,calibration,,,,,,,,,,,,,,
introduction,35,160125,0.0-8.0-1.5-0.5,979nvvmy,,,,,,1898.0,3212,609ee7a707f13c414e5e87ec,,3212,,calibration,,,,,,,,,,,,,,
introduction,36,160126,0.0-8.0-2.5,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,37,162140,0.0-8.0-0.6,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,<p>CAREFUL. That was too slow.</p>,2958.0,calibration,,,,,,,,,,,,,,
introduction,38,163618,0.0-8.0-1.6-0.6,979nvvmy,,,,,,1475.0,332,609ee7a707f13c414e5e87ec,,332,,calibration,,,,,,,,,,,,,,
introduction,39,163619,0.0-8.0-2.6,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,40,165624,0.0-8.0-0.7,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,<p>CAREFUL. That was too slow.</p>,2607.0,calibration,,,,,,,,,,,,,,
introduction,41,167337,0.0-8.0-1.7-0.7,979nvvmy,,,,,,1709.0,1231,609ee7a707f13c414e5e87ec,,1231,,calibration,,,,,,,,,,,,,,
introduction,42,167338,0.0-8.0-2.7,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,43,169340,0.0-8.0-0.8,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,<p>CAREFUL. That was too slow.</p>,1238.0,calibration,,,,,,,,,,,,,,
introduction,44,171682,0.0-8.0-1.8-0.8,979nvvmy,,,,,,2338.0,1332,609ee7a707f13c414e5e87ec,,1332,,calibration,,,,,,,,,,,,,,
introduction,45,171683,0.0-8.0-2.8,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,46,172926,0.0-8.0-0.9,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,img/Red_circle.png,3223.0,calibration,,,,,,,,,,,,,,
introduction,47,174678,0.0-8.0-1.9-0.9,979nvvmy,,,,,,1747.0,2232,609ee7a707f13c414e5e87ec,,2232,,calibration,,,,,,,,,,,,,,
introduction,48,174678,0.0-8.0-2.9,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,49,176683,0.0-8.0-0.10,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,<p>CAREFUL. That was too slow.</p>,1970.0,calibration,,,,,,,,,,,,,,
introduction,50,178832,0.0-8.0-1.10-0.10,979nvvmy,,,,,,2144.0,3132,609ee7a707f13c414e5e87ec,,3132,,calibration,,,,,,,,,,,,,,
introduction,51,178832,0.0-8.0-2.10,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,52,180806,0.0-8.0-0.11,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,img/Red_circle.png,2456.0,calibration,,,,,,,,,,,,,,
introduction,53,183077,0.0-8.0-1.11-0.11,979nvvmy,,,,,,2267.0,3233,609ee7a707f13c414e5e87ec,,3233,,calibration,,,,,,,,,,,,,,
introduction,54,183077,0.0-8.0-2.11,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,55,185089,0.0-8.0-0.12,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,<p>CAREFUL. That was too slow.</p>,1678.0,calibration,,,,,,,,,,,,,,
introduction,56,186887,0.0-8.0-1.12-0.12,979nvvmy,,,,,,1794.0,1231,609ee7a707f13c414e5e87ec,,1231,,calibration,,,,,,,,,,,,,,
introduction,57,186888,0.0-8.0-2.12,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,58,188573,0.0-8.0-0.13,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,img/Red_circle.png,2090.0,calibration,,,,,,,,,,,,,,
introduction,59,190695,0.0-8.0-1.13-0.13,979nvvmy,,,,,,2118.0,3321,609ee7a707f13c414e5e87ec,,3321,,calibration,,,,,,,,,,,,,,
introduction,60,190696,0.0-8.0-2.13,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,61,192703,0.0-8.0-0.14,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,<p>CAREFUL. That was too slow.</p>,3290.0,calibration,,,,,,,,,,,,,,
introduction,62,194741,0.0-8.0-1.14-0.14,979nvvmy,,,,,,2034.0,2123,609ee7a707f13c414e5e87ec,,2123,,calibration,,,,,,,,,,,,,,
introduction,63,194742,0.0-8.0-2.14,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,64,196755,0.0-8.0-0.15,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,<p>CAREFUL. That was too slow.</p>,1594.0,calibration,,,,,,,,,,,,,,
introduction,65,198109,0.0-8.0-1.15-0.15,979nvvmy,,,,,,1350.0,211,609ee7a707f13c414e5e87ec,,211,,calibration,,,,,,,,,,,,,,
introduction,66,198110,0.0-8.0-2.15,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,67,199711,0.0-8.0-0.16,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,img/Red_circle.png,1559.0,calibration,,,,,,,,,,,,,,
introduction,68,200954,0.0-8.0-1.16-0.16,979nvvmy,,,,,,1239.0,23,609ee7a707f13c414e5e87ec,,23,,calibration,,,,,,,,,,,,,,
introduction,69,200955,0.0-8.0-2.16,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,70,202530,0.0-8.0-0.17,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,img/Red_circle.png,1499.0,calibration,,,,,,,,,,,,,,
introduction,71,204183,0.0-8.0-1.17-0.17,979nvvmy,,,,,,1648.0,321,609ee7a707f13c414e5e87ec,,321,,calibration,,,,,,,,,,,,,,
introduction,72,204184,0.0-8.0-2.17,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,73,205688,0.0-8.0-0.18,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,img/Red_circle.png,1700.0,calibration,,,,,,,,,,,,,,
introduction,74,207158,0.0-8.0-1.18-0.18,979nvvmy,,,,,,1469.0,1232,609ee7a707f13c414e5e87ec,,1232,,calibration,,,,,,,,,,,,,,
introduction,75,207159,0.0-8.0-2.18,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,76,208863,0.0-8.0-0.19,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,img/Red_circle.png,2631.0,calibration,,,,,,,,,,,,,,
introduction,77,210086,0.0-8.0-1.19-0.19,979nvvmy,,,,,,1218.0,32,609ee7a707f13c414e5e87ec,,32,,calibration,,,,,,,,,,,,,,
introduction,78,210086,0.0-8.0-2.19,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,,,,,,,,,,,,,,,,,
introduction,79,212099,0.0-8.0-0.20,979nvvmy,,,,,,,,609ee7a707f13c414e5e87ec,,<p>CAREFUL. That was too slow.</p>,2480.0,calibration,,,,,,,,,,,,,,
