trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,14893,0.0-2.0,kh7rtblb,,,,,,12747.0,60b0f00d76201e617923f93f,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,3,20019,0.0-3.0,kh7rtblb,,,,,,5115.0,60b0f00d76201e617923f93f,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,4,26095,0.0-4.0-0.0,kh7rtblb,,,,,,6072.0,,60b0f00d76201e617923f93f,"[{""page_index"":0,""viewing_time"":1321},{""page_index"":1,""viewing_time"":3415},{""page_index"":2,""viewing_time"":1335}]",,,,,,,,,,,,,,,,,
introduction,5,27388,0.0-5.0-0.0,kh7rtblb,,,,,,1290.0,1,60b0f00d76201e617923f93f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,27851,0.0-5.0-0.1,kh7rtblb,,,,,,461.0,2,60b0f00d76201e617923f93f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,28966,0.0-5.0-0.2,kh7rtblb,,,,,,1114.0,1,60b0f00d76201e617923f93f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,29699,0.0-5.0-0.3,kh7rtblb,,,,,,732.0,3,60b0f00d76201e617923f93f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,30366,0.0-5.0-0.4,kh7rtblb,,,,,,666.0,2,60b0f00d76201e617923f93f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,30968,0.0-5.0-0.5,kh7rtblb,,,,,,601.0,3,60b0f00d76201e617923f93f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,31462,0.0-5.0-0.6,kh7rtblb,,,,,,493.0,1,60b0f00d76201e617923f93f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,31968,0.0-5.0-0.7,kh7rtblb,,,,,,504.0,2,60b0f00d76201e617923f93f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,32456,0.0-5.0-0.8,kh7rtblb,,,,,,487.0,3,60b0f00d76201e617923f93f,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,32972,0.0-5.0-0.9,kh7rtblb,,,,,,515.0,2,60b0f00d76201e617923f93f,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,33397,0.0-5.0-0.10,kh7rtblb,,,,,,425.0,1,60b0f00d76201e617923f93f,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,34135,0.0-5.0-0.11,kh7rtblb,,,,,,737.0,3,60b0f00d76201e617923f93f,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,51839,0.0-6.0-0.0,kh7rtblb,,,,,,17703.0,,60b0f00d76201e617923f93f,"[{""page_index"":0,""viewing_time"":2030},{""page_index"":1,""viewing_time"":1715},{""page_index"":2,""viewing_time"":12573},{""page_index"":3,""viewing_time"":1384}]",,,,,,,,,,,,,,,,,
introduction,19,85682,0.0-8.0-0.0,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,img/Red_circle.png,2112.0,calibration,,,,,,,,,,,,,,
introduction,20,87352,0.0-8.0-1.0-0.0,kh7rtblb,,,,,,1663.0,1121,60b0f00d76201e617923f93f,,1121,,calibration,,,,,,,,,,,,,,
introduction,21,87357,0.0-8.0-2.0,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,22,89364,0.0-8.0-0.1,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,<p>CAREFUL. That was too slow.</p>,1289.0,calibration,,,,,,,,,,,,,,
introduction,23,90762,0.0-8.0-1.1-0.1,kh7rtblb,,,,,,1392.0,1111,60b0f00d76201e617923f93f,,1111,,calibration,,,,,,,,,,,,,,
introduction,24,90769,0.0-8.0-2.1,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,25,92066,0.0-8.0-0.2,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,img/Red_circle.png,1142.0,calibration,,,,,,,,,,,,,,
introduction,26,93803,0.0-8.0-1.2-0.2,kh7rtblb,,,,,,1731.0,3222,60b0f00d76201e617923f93f,,3222,,calibration,,,,,,,,,,,,,,
introduction,27,93804,0.0-8.0-2.2,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,28,94951,0.0-8.0-0.3,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,img/Red_circle.png,2906.0,calibration,,,,,,,,,,,,,,
introduction,29,96993,0.0-8.0-1.3-0.3,kh7rtblb,,,,,,2037.0,2313,60b0f00d76201e617923f93f,,2313,,calibration,,,,,,,,,,,,,,
introduction,30,96996,0.0-8.0-2.3,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,31,99007,0.0-8.0-0.4,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,<p>CAREFUL. That was too slow.</p>,3228.0,calibration,,,,,,,,,,,,,,
introduction,32,100581,0.0-8.0-1.4-0.4,kh7rtblb,,,,,,1568.0,3131,60b0f00d76201e617923f93f,,3131,,calibration,,,,,,,,,,,,,,
introduction,33,100583,0.0-8.0-2.4,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,34,102585,0.0-8.0-0.5,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,<p>CAREFUL. That was too slow.</p>,3098.0,calibration,,,,,,,,,,,,,,
introduction,35,104112,0.0-8.0-1.5-0.5,kh7rtblb,,,,,,1521.0,3331,60b0f00d76201e617923f93f,,3331,,calibration,,,,,,,,,,,,,,
introduction,36,104115,0.0-8.0-2.5,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,37,106119,0.0-8.0-0.6,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,<p>CAREFUL. That was too slow.</p>,3276.0,calibration,,,,,,,,,,,,,,
introduction,38,107481,0.0-8.0-1.6-0.6,kh7rtblb,,,,,,1354.0,1221,60b0f00d76201e617923f93f,,1221,,calibration,,,,,,,,,,,,,,
introduction,39,107484,0.0-8.0-2.6,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,40,109486,0.0-8.0-0.7,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,<p>CAREFUL. That was too slow.</p>,1149.0,calibration,,,,,,,,,,,,,,
introduction,41,111095,0.0-8.0-1.7-0.7,kh7rtblb,,,,,,1603.0,232,60b0f00d76201e617923f93f,,232,,calibration,,,,,,,,,,,,,,
introduction,42,111098,0.0-8.0-2.7,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,43,112261,0.0-8.0-0.8,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,img/Red_circle.png,1926.0,calibration,,,,,,,,,,,,,,
introduction,44,113533,0.0-8.0-1.8-0.8,kh7rtblb,,,,,,1265.0,1123,60b0f00d76201e617923f93f,,1123,,calibration,,,,,,,,,,,,,,
introduction,45,113535,0.0-8.0-2.8,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,46,115474,0.0-8.0-0.9,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,img/Red_circle.png,2041.0,calibration,,,,,,,,,,,,,,
introduction,47,116621,0.0-8.0-1.9-0.9,kh7rtblb,,,,,,1141.0,1123,60b0f00d76201e617923f93f,,1123,,calibration,,,,,,,,,,,,,,
introduction,48,116623,0.0-8.0-2.9,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,49,118635,0.0-8.0-0.10,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,<p>CAREFUL. That was too slow.</p>,1938.0,calibration,,,,,,,,,,,,,,
introduction,50,120105,0.0-8.0-1.10-0.10,kh7rtblb,,,,,,1465.0,3322,60b0f00d76201e617923f93f,,3322,,calibration,,,,,,,,,,,,,,
introduction,51,120108,0.0-8.0-2.10,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,52,122067,0.0-8.0-0.11,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,img/Red_circle.png,3133.0,calibration,,,,,,,,,,,,,,
introduction,53,123990,0.0-8.0-1.11-0.11,kh7rtblb,,,,,,1918.0,3231,60b0f00d76201e617923f93f,,3231,,calibration,,,,,,,,,,,,,,
introduction,54,123995,0.0-8.0-2.11,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,55,126001,0.0-8.0-0.12,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,<p>CAREFUL. That was too slow.</p>,1172.0,calibration,,,,,,,,,,,,,,
introduction,56,127259,0.0-8.0-1.12-0.12,kh7rtblb,,,,,,1253.0,2222,60b0f00d76201e617923f93f,,2222,,calibration,,,,,,,,,,,,,,
introduction,57,127261,0.0-8.0-2.12,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,,,,,,,,,,,,,,,,,
introduction,58,128456,0.0-8.0-0.13,kh7rtblb,,,,,,,,60b0f00d76201e617923f93f,,img/Red_circle.png,1590.0,calibration,,,,,,,,,,,,,,
