trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,5118,0.0-2.0,o0jyhlzw,,,,,,2874.0,60b8555a8b8253295be46dc6,60b8555a8b8253295be46dc6,,,,,,,,,,,,,,,,,,
introduction,3,7482,0.0-3.0,o0jyhlzw,,,,,,2358.0,60b8555a8b8253295be46dc6,60b8555a8b8253295be46dc6,,,,,,,,,,,,,,,,,,
introduction,4,13724,0.0-4.0-0.0,o0jyhlzw,,,,,,6241.0,,60b8555a8b8253295be46dc6,"[{""page_index"":0,""viewing_time"":848},{""page_index"":1,""viewing_time"":4335},{""page_index"":2,""viewing_time"":1058}]",,,,,,,,,,,,,,,,,
introduction,5,14402,0.0-5.0-0.0,o0jyhlzw,,,,,,675.0,1,60b8555a8b8253295be46dc6,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,14770,0.0-5.0-0.1,o0jyhlzw,,,,,,369.0,2,60b8555a8b8253295be46dc6,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,15369,0.0-5.0-0.2,o0jyhlzw,,,,,,598.0,1,60b8555a8b8253295be46dc6,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,15796,0.0-5.0-0.3,o0jyhlzw,,,,,,427.0,3,60b8555a8b8253295be46dc6,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,16339,0.0-5.0-0.4,o0jyhlzw,,,,,,543.0,2,60b8555a8b8253295be46dc6,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,16802,0.0-5.0-0.5,o0jyhlzw,,,,,,462.0,3,60b8555a8b8253295be46dc6,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,17271,0.0-5.0-0.6,o0jyhlzw,,,,,,469.0,1,60b8555a8b8253295be46dc6,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,17770,0.0-5.0-0.7,o0jyhlzw,,,,,,497.0,2,60b8555a8b8253295be46dc6,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,18209,0.0-5.0-0.8,o0jyhlzw,,,,,,440.0,3,60b8555a8b8253295be46dc6,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,18690,0.0-5.0-0.9,o0jyhlzw,,,,,,480.0,2,60b8555a8b8253295be46dc6,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,19179,0.0-5.0-0.10,o0jyhlzw,,,,,,489.0,1,60b8555a8b8253295be46dc6,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,19634,0.0-5.0-0.11,o0jyhlzw,,,,,,455.0,3,60b8555a8b8253295be46dc6,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,35263,0.0-6.0-0.0,o0jyhlzw,,,,,,15629.0,,60b8555a8b8253295be46dc6,"[{""page_index"":0,""viewing_time"":1555},{""page_index"":1,""viewing_time"":1754},{""page_index"":2,""viewing_time"":11025},{""page_index"":3,""viewing_time"":1295}]",,,,,,,,,,,,,,,,,
introduction,19,47154,0.0-8.0-0.0,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,img/Red_circle.png,2929.0,calibration,,,,,,,,,,,,,,
introduction,20,48774,0.0-8.0-1.0-0.0,o0jyhlzw,,,,,,1614.0,1221,60b8555a8b8253295be46dc6,,2112,,calibration,,,,,,,,,,,,,,
introduction,21,51436,0.0-8.0-1.1-0.1,o0jyhlzw,,,,,,2648.0,2112,60b8555a8b8253295be46dc6,,2112,,calibration,,,,,,,,,,,,,,
introduction,22,53437,0.0-8.0-2.0,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,23,56368,0.0-8.0-0.1,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,img/Red_circle.png,2796.0,calibration,,,,,,,,,,,,,,
introduction,24,57394,0.0-8.0-1.2-0.2,o0jyhlzw,,,,,,1021.0,221,60b8555a8b8253295be46dc6,,221,,calibration,,,,,,,,,,,,,,
introduction,25,57395,0.0-8.0-2.1,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,,,,,,,,,,,,,,,,,
introduction,26,59472,0.0-8.0-0.2,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,<p>CAREFUL. That was too slow.</p>,1412.0,calibration,,,,,,,,,,,,,,
introduction,27,60230,0.0-8.0-1.3-0.3,o0jyhlzw,,,,,,755.0,12,60b8555a8b8253295be46dc6,,12,,calibration,,,,,,,,,,,,,,
introduction,28,60231,0.0-8.0-2.2,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,,,,,,,,,,,,,,,,,
introduction,29,61647,0.0-8.0-0.3,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,img/Red_circle.png,2392.0,calibration,,,,,,,,,,,,,,
introduction,30,62934,0.0-8.0-1.4-0.4,o0jyhlzw,,,,,,1283.0,1132,60b8555a8b8253295be46dc6,,1132,,calibration,,,,,,,,,,,,,,
introduction,31,62935,0.0-8.0-2.3,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,,,,,,,,,,,,,,,,,
introduction,32,64936,0.0-8.0-0.4,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,<p>CAREFUL. That was too slow.</p>,2155.0,calibration,,,,,,,,,,,,,,
introduction,33,69423,0.0-8.0-1.5-0.5,o0jyhlzw,,,,,,4483.0,313,60b8555a8b8253295be46dc6,,313,,calibration,,,,,,,,,,,,,,
introduction,34,71426,0.0-8.0-2.4,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,35,73584,0.0-8.0-0.5,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,img/Red_circle.png,1444.0,calibration,,,,,,,,,,,,,,
introduction,36,75007,0.0-8.0-1.6-0.6,o0jyhlzw,,,,,,1410.0,233,60b8555a8b8253295be46dc6,,233,,calibration,,,,,,,,,,,,,,
introduction,37,75010,0.0-8.0-2.5,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,,,,,,,,,,,,,,,,,
introduction,38,76489,0.0-8.0-0.6,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,img/Red_circle.png,2174.0,calibration,,,,,,,,,,,,,,
introduction,39,77570,0.0-8.0-1.7-0.7,o0jyhlzw,,,,,,1078.0,333,60b8555a8b8253295be46dc6,,333,,calibration,,,,,,,,,,,,,,
introduction,40,77572,0.0-8.0-2.6,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,,,,,,,,,,,,,,,,,
introduction,41,79572,0.0-8.0-0.7,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,<p>CAREFUL. That was too slow.</p>,2410.0,calibration,,,,,,,,,,,,,,
introduction,42,81046,0.0-8.0-1.8-0.8,o0jyhlzw,,,,,,1469.0,2323,60b8555a8b8253295be46dc6,,2323,,calibration,,,,,,,,,,,,,,
introduction,43,81048,0.0-8.0-2.7,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,,,,,,,,,,,,,,,,,
introduction,44,83049,0.0-8.0-0.8,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,<p>CAREFUL. That was too slow.</p>,3150.0,calibration,,,,,,,,,,,,,,
introduction,45,83908,0.0-8.0-1.9-0.9,o0jyhlzw,,,,,,855.0,13,60b8555a8b8253295be46dc6,,13,,calibration,,,,,,,,,,,,,,
introduction,46,83909,0.0-8.0-2.8,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,,,,,,,,,,,,,,,,,
introduction,47,86054,0.0-8.0-0.9,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,<p>CAREFUL. That was too slow.</p>,1315.0,calibration,,,,,,,,,,,,,,
introduction,48,87459,0.0-8.0-1.10-0.10,o0jyhlzw,,,,,,1401.0,2333,60b8555a8b8253295be46dc6,,2333,,calibration,,,,,,,,,,,,,,
introduction,49,87460,0.0-8.0-2.9,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,,,,,,,,,,,,,,,,,
introduction,50,88779,0.0-8.0-0.10,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,img/Red_circle.png,1516.0,calibration,,,,,,,,,,,,,,
introduction,51,90502,0.0-8.0-1.11-0.11,o0jyhlzw,,,,,,1720.0,2232,60b8555a8b8253295be46dc6,,2232,,calibration,,,,,,,,,,,,,,
introduction,52,90503,0.0-8.0-2.10,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,,,,,,,,,,,,,,,,,
introduction,53,92023,0.0-8.0-0.11,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,img/Red_circle.png,1169.0,calibration,,,,,,,,,,,,,,
introduction,54,93244,0.0-8.0-1.12-0.12,o0jyhlzw,,,,,,1217.0,2233,60b8555a8b8253295be46dc6,,2233,,calibration,,,,,,,,,,,,,,
introduction,55,93246,0.0-8.0-2.11,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,,,,,,,,,,,,,,,,,
introduction,56,94506,0.0-8.0-0.12,o0jyhlzw,,,,,,,,60b8555a8b8253295be46dc6,,img/Red_circle.png,1601.0,calibration,,,,,,,,,,,,,,
