trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,9856,0.0-2.0,hn68udhh,,,,,,3515.0,610825355ae77bd1867d118e,610825355ae77bd1867d118e,,,,,,,,,,,,,,,,,,
introduction,3,12595,0.0-3.0,hn68udhh,,,,,,2738.0,610825355ae77bd1867d118e,610825355ae77bd1867d118e,,,,,,,,,,,,,,,,,,
introduction,4,23338,0.0-4.0-0.0,hn68udhh,,,,,,10742.0,,610825355ae77bd1867d118e,"[{""page_index"":0,""viewing_time"":1117},{""page_index"":1,""viewing_time"":8636},{""page_index"":2,""viewing_time"":989}]",,,,,,,,,,,,,,,,,
introduction,5,23936,0.0-5.0-0.0,hn68udhh,,,,,,597.0,1,610825355ae77bd1867d118e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,24408,0.0-5.0-0.1,hn68udhh,,,,,,471.0,2,610825355ae77bd1867d118e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,25048,0.0-5.0-0.2,hn68udhh,,,,,,640.0,1,610825355ae77bd1867d118e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,25528,0.0-5.0-0.3,hn68udhh,,,,,,479.0,3,610825355ae77bd1867d118e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,26048,0.0-5.0-0.4,hn68udhh,,,,,,520.0,2,610825355ae77bd1867d118e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,26592,0.0-5.0-0.5,hn68udhh,,,,,,544.0,3,610825355ae77bd1867d118e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,27120,0.0-5.0-0.6,hn68udhh,,,,,,528.0,1,610825355ae77bd1867d118e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,27600,0.0-5.0-0.7,hn68udhh,,,,,,479.0,2,610825355ae77bd1867d118e,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,28048,0.0-5.0-0.8,hn68udhh,,,,,,448.0,3,610825355ae77bd1867d118e,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,28560,0.0-5.0-0.9,hn68udhh,,,,,,512.0,2,610825355ae77bd1867d118e,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,29040,0.0-5.0-0.10,hn68udhh,,,,,,480.0,1,610825355ae77bd1867d118e,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,29513,0.0-5.0-0.11,hn68udhh,,,,,,472.0,3,610825355ae77bd1867d118e,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,49953,0.0-6.0-0.0,hn68udhh,,,,,,20440.0,,610825355ae77bd1867d118e,"[{""page_index"":0,""viewing_time"":952},{""page_index"":1,""viewing_time"":4001},{""page_index"":2,""viewing_time"":13994},{""page_index"":3,""viewing_time"":1493}]",,,,,,,,,,,,,,,,,
introduction,19,67686,0.0-8.0-0.0,hn68udhh,,,,,,,,610825355ae77bd1867d118e,,img/Red_circle.png,1713.0,calibration,,,,,,,,,,,,,,
introduction,20,71552,0.0-8.0-1.0-0.0,hn68udhh,,,,,,3864.0,1313,610825355ae77bd1867d118e,,1313,,calibration,,,,,,,,,,,,,,
introduction,21,73556,0.0-8.0-2.0,hn68udhh,,,,,,,,610825355ae77bd1867d118e,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,75271,0.0-8.0-0.1,hn68udhh,,,,,,,,610825355ae77bd1867d118e,,img/Red_circle.png,1876.0,calibration,,,,,,,,,,,,,,
introduction,23,77424,0.0-8.0-1.1-0.1,hn68udhh,,,,,,2152.0,3323,610825355ae77bd1867d118e,,3323,,calibration,,,,,,,,,,,,,,
introduction,24,77425,0.0-8.0-2.1,hn68udhh,,,,,,,,610825355ae77bd1867d118e,,,,,,,,,,,,,,,,,,
introduction,25,79310,0.0-8.0-0.2,hn68udhh,,,,,,,,610825355ae77bd1867d118e,,img/Red_circle.png,3497.0,calibration,,,,,,,,,,,,,,
introduction,26,81464,0.0-8.0-1.2-0.2,hn68udhh,,,,,,2153.0,2131,610825355ae77bd1867d118e,,2131,,calibration,,,,,,,,,,,,,,
introduction,27,81465,0.0-8.0-2.2,hn68udhh,,,,,,,,610825355ae77bd1867d118e,,,,,,,,,,,,,,,,,,
introduction,28,83471,0.0-8.0-0.3,hn68udhh,,,,,,,,610825355ae77bd1867d118e,,<p>CAREFUL. That was too slow.</p>,1289.0,calibration,,,,,,,,,,,,,,
introduction,29,84896,0.0-8.0-1.3-0.3,hn68udhh,,,,,,1424.0,1111,610825355ae77bd1867d118e,,1111,,calibration,,,,,,,,,,,,,,
introduction,30,84896,0.0-8.0-2.3,hn68udhh,,,,,,,,610825355ae77bd1867d118e,,,,,,,,,,,,,,,,,,
introduction,31,86189,0.0-8.0-0.4,hn68udhh,,,,,,,,610825355ae77bd1867d118e,,img/Red_circle.png,2867.0,calibration,,,,,,,,,,,,,,
introduction,32,87704,0.0-8.0-1.4-0.4,hn68udhh,,,,,,1514.0,312,610825355ae77bd1867d118e,,312,,calibration,,,,,,,,,,,,,,
introduction,33,87704,0.0-8.0-2.4,hn68udhh,,,,,,,,610825355ae77bd1867d118e,,,,,,,,,,,,,,,,,,
introduction,34,89706,0.0-8.0-0.5,hn68udhh,,,,,,,,610825355ae77bd1867d118e,,<p>CAREFUL. That was too slow.</p>,2786.0,calibration,,,,,,,,,,,,,,
introduction,35,91680,0.0-8.0-1.5-0.5,hn68udhh,,,,,,1973.0,2322,610825355ae77bd1867d118e,,2322,,calibration,,,,,,,,,,,,,,
introduction,36,91681,0.0-8.0-2.5,hn68udhh,,,,,,,,610825355ae77bd1867d118e,,,,,,,,,,,,,,,,,,
