trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7036,0.0-2.0,lrgob0xc,,,,,,3531.0,610838e3781c5dd4c75ca15e,610838e3781c5dd4c75ca15e,,,,,,,,,,,,,,,,,,
introduction,3,9829,0.0-3.0,lrgob0xc,,,,,,2792.0,610838e3781c5dd4c75ca15e,610838e3781c5dd4c75ca15e,,,,,,,,,,,,,,,,,,
introduction,4,20037,0.0-4.0-0.0,lrgob0xc,,,,,,10207.0,,610838e3781c5dd4c75ca15e,"[{""page_index"":0,""viewing_time"":1075},{""page_index"":1,""viewing_time"":7943},{""page_index"":2,""viewing_time"":1190}]",,,,,,,,,,,,,,,,,
introduction,5,20904,0.0-5.0-0.0,lrgob0xc,,,,,,865.0,1,610838e3781c5dd4c75ca15e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,21407,0.0-5.0-0.1,lrgob0xc,,,,,,503.0,2,610838e3781c5dd4c75ca15e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,22089,0.0-5.0-0.2,lrgob0xc,,,,,,680.0,1,610838e3781c5dd4c75ca15e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,22679,0.0-5.0-0.3,lrgob0xc,,,,,,589.0,3,610838e3781c5dd4c75ca15e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,23384,0.0-5.0-0.4,lrgob0xc,,,,,,704.0,2,610838e3781c5dd4c75ca15e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,24021,0.0-5.0-0.5,lrgob0xc,,,,,,635.0,3,610838e3781c5dd4c75ca15e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,24511,0.0-5.0-0.6,lrgob0xc,,,,,,489.0,1,610838e3781c5dd4c75ca15e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,25056,0.0-5.0-0.7,lrgob0xc,,,,,,544.0,2,610838e3781c5dd4c75ca15e,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,25506,0.0-5.0-0.8,lrgob0xc,,,,,,449.0,3,610838e3781c5dd4c75ca15e,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,26058,0.0-5.0-0.9,lrgob0xc,,,,,,551.0,2,610838e3781c5dd4c75ca15e,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,26545,0.0-5.0-0.10,lrgob0xc,,,,,,486.0,1,610838e3781c5dd4c75ca15e,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,27141,0.0-5.0-0.11,lrgob0xc,,,,,,595.0,3,610838e3781c5dd4c75ca15e,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,70760,0.0-6.0-0.0,lrgob0xc,,,,,,43618.0,,610838e3781c5dd4c75ca15e,"[{""page_index"":0,""viewing_time"":1082},{""page_index"":1,""viewing_time"":5513},{""page_index"":2,""viewing_time"":31442},{""page_index"":3,""viewing_time"":5581}]",,,,,,,,,,,,,,,,,
