trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,22267,0.0-2.0,705yqmb1,,,,,,7811.0,61282ca83be28773ac7c421f,61282ca83be28773ac7c421f,,,,,,,,,,,,,,,,,,
introduction,3,26868,0.0-3.0,705yqmb1,,,,,,4593.0,61282ca83be28773ac7c421f,61282ca83be28773ac7c421f,,,,,,,,,,,,,,,,,,
introduction,4,46722,0.0-4.0-0.0,705yqmb1,,,,,,19851.0,,61282ca83be28773ac7c421f,"[{""page_index"":0,""viewing_time"":2259},{""page_index"":1,""viewing_time"":14903},{""page_index"":2,""viewing_time"":2688}]",,,,,,,,,,,,,,,,,
introduction,5,48096,0.0-5.0-0.0,705yqmb1,,,,,,1369.0,1,61282ca83be28773ac7c421f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,48830,0.0-5.0-0.1,705yqmb1,,,,,,732.0,2,61282ca83be28773ac7c421f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,49916,0.0-5.0-0.2,705yqmb1,,,,,,1084.0,1,61282ca83be28773ac7c421f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,50664,0.0-5.0-0.3,705yqmb1,,,,,,746.0,3,61282ca83be28773ac7c421f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,51435,0.0-5.0-0.4,705yqmb1,,,,,,769.0,2,61282ca83be28773ac7c421f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,52063,0.0-5.0-0.5,705yqmb1,,,,,,626.0,3,61282ca83be28773ac7c421f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,52690,0.0-5.0-0.6,705yqmb1,,,,,,626.0,1,61282ca83be28773ac7c421f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,53459,0.0-5.0-0.7,705yqmb1,,,,,,768.0,2,61282ca83be28773ac7c421f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,54042,0.0-5.0-0.8,705yqmb1,,,,,,582.0,3,61282ca83be28773ac7c421f,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,54961,0.0-5.0-0.9,705yqmb1,,,,,,918.0,2,61282ca83be28773ac7c421f,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,55500,0.0-5.0-0.10,705yqmb1,,,,,,537.0,1,61282ca83be28773ac7c421f,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,56179,0.0-5.0-0.11,705yqmb1,,,,,,677.0,3,61282ca83be28773ac7c421f,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,116763,0.0-6.0-0.0,705yqmb1,,,,,,60584.0,,61282ca83be28773ac7c421f,"[{""page_index"":0,""viewing_time"":4628},{""page_index"":1,""viewing_time"":5180},{""page_index"":2,""viewing_time"":42983},{""page_index"":3,""viewing_time"":7792}]",,,,,,,,,,,,,,,,,
introduction,19,167859,0.0-8.0-0.0,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,img/Red_circle.png,1638.0,calibration,,,,,,,,,,,,,,
introduction,20,171941,0.0-8.0-1.0-0.0,705yqmb1,,,,,,4072.0,3321,61282ca83be28773ac7c421f,,3321,,calibration,,,,,,,,,,,,,,
introduction,21,173946,0.0-8.0-2.0,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,175588,0.0-8.0-0.1,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,img/Red_circle.png,2957.0,calibration,,,,,,,,,,,,,,
introduction,23,176644,0.0-8.0-1.1-0.1,705yqmb1,,,,,,1048.0,33,61282ca83be28773ac7c421f,,33,,calibration,,,,,,,,,,,,,,
introduction,24,176647,0.0-8.0-2.1,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,,,,,,,,,,,,,,,,,
introduction,25,178647,0.0-8.0-0.2,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,<p>CAREFUL. That was too slow.</p>,2505.0,calibration,,,,,,,,,,,,,,
introduction,26,180519,0.0-8.0-1.2-0.2,705yqmb1,,,,,,1864.0,3332,61282ca83be28773ac7c421f,,3332,,calibration,,,,,,,,,,,,,,
introduction,27,180521,0.0-8.0-2.2,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,,,,,,,,,,,,,,,,,
introduction,28,182521,0.0-8.0-0.3,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,<p>CAREFUL. That was too slow.</p>,1243.0,calibration,,,,,,,,,,,,,,
introduction,29,184396,0.0-8.0-1.3-0.3,705yqmb1,,,,,,1868.0,2232,61282ca83be28773ac7c421f,,2232,,calibration,,,,,,,,,,,,,,
introduction,30,184398,0.0-8.0-2.3,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,,,,,,,,,,,,,,,,,
introduction,31,185644,0.0-8.0-0.4,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,img/Red_circle.png,1985.0,calibration,,,,,,,,,,,,,,
introduction,32,187702,0.0-8.0-1.4-0.4,705yqmb1,,,,,,2052.0,1222,61282ca83be28773ac7c421f,,1222,,calibration,,,,,,,,,,,,,,
introduction,33,187705,0.0-8.0-2.4,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,,,,,,,,,,,,,,,,,
introduction,34,189695,0.0-8.0-0.5,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,img/Red_circle.png,2086.0,calibration,,,,,,,,,,,,,,
introduction,35,191300,0.0-8.0-1.5-0.5,705yqmb1,,,,,,1597.0,122,61282ca83be28773ac7c421f,,122,,calibration,,,,,,,,,,,,,,
introduction,36,191302,0.0-8.0-2.5,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,,,,,,,,,,,,,,,,,
introduction,37,193302,0.0-8.0-0.6,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,<p>CAREFUL. That was too slow.</p>,3466.0,calibration,,,,,,,,,,,,,,
introduction,38,195502,0.0-8.0-1.6-0.6,705yqmb1,,,,,,2192.0,1323,61282ca83be28773ac7c421f,,1323,,calibration,,,,,,,,,,,,,,
introduction,39,195503,0.0-8.0-2.6,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,,,,,,,,,,,,,,,,,
introduction,40,197504,0.0-8.0-0.7,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,<p>CAREFUL. That was too slow.</p>,2531.0,calibration,,,,,,,,,,,,,,
introduction,41,199330,0.0-8.0-1.7-0.7,705yqmb1,,,,,,1820.0,3322,61282ca83be28773ac7c421f,,3322,,calibration,,,,,,,,,,,,,,
introduction,42,199332,0.0-8.0-2.7,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,,,,,,,,,,,,,,,,,
introduction,43,201333,0.0-8.0-0.8,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,<p>CAREFUL. That was too slow.</p>,1613.0,calibration,,,,,,,,,,,,,,
introduction,44,203653,0.0-8.0-1.8-0.8,705yqmb1,,,,,,2312.0,2333,61282ca83be28773ac7c421f,,2333,,calibration,,,,,,,,,,,,,,
introduction,45,203655,0.0-8.0-2.8,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,,,,,,,,,,,,,,,,,
introduction,46,205271,0.0-8.0-0.9,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,img/Red_circle.png,3342.0,calibration,,,,,,,,,,,,,,
introduction,47,207173,0.0-8.0-1.9-0.9,705yqmb1,,,,,,1894.0,2111,61282ca83be28773ac7c421f,,2111,,calibration,,,,,,,,,,,,,,
introduction,48,207176,0.0-8.0-2.9,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,,,,,,,,,,,,,,,,,
introduction,49,209177,0.0-8.0-0.10,705yqmb1,,,,,,,,61282ca83be28773ac7c421f,,<p>CAREFUL. That was too slow.</p>,1351.0,calibration,,,,,,,,,,,,,,
introduction,50,211357,0.0-8.0-1.10-0.10,705yqmb1,,,,,,2173.0,1331,61282ca83be28773ac7c421f,,1331,,calibration,,,,,,,,,,,,,,
