trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,15573,0.0-2.0,ytlmdn67,,,,,,7188.0,613929236e3092c6bad219ab,613929236e3092c6bad219ab,,,,,,,,,,,,,,,,,,
introduction,3,22938,0.0-3.0,ytlmdn67,,,,,,7348.0,613929236e3092c6bad219ab,613929236e3092c6bad219ab,,,,,,,,,,,,,,,,,,
introduction,4,34281,0.0-4.0-0.0,ytlmdn67,,,,,,11341.0,,613929236e3092c6bad219ab,"[{""page_index"":0,""viewing_time"":1127},{""page_index"":1,""viewing_time"":8668},{""page_index"":2,""viewing_time"":1545}]",,,,,,,,,,,,,,,,,
introduction,5,35016,0.0-5.0-0.0,ytlmdn67,,,,,,730.0,1,613929236e3092c6bad219ab,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,35496,0.0-5.0-0.1,ytlmdn67,,,,,,479.0,2,613929236e3092c6bad219ab,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,36512,0.0-5.0-0.2,ytlmdn67,,,,,,1015.0,1,613929236e3092c6bad219ab,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,37402,0.0-5.0-0.3,ytlmdn67,,,,,,888.0,3,613929236e3092c6bad219ab,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,38210,0.0-5.0-0.4,ytlmdn67,,,,,,808.0,2,613929236e3092c6bad219ab,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,39313,0.0-5.0-0.5,ytlmdn67,,,,,,1102.0,3,613929236e3092c6bad219ab,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,39993,0.0-5.0-0.6,ytlmdn67,,,,,,679.0,1,613929236e3092c6bad219ab,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,40644,0.0-5.0-0.7,ytlmdn67,,,,,,650.0,2,613929236e3092c6bad219ab,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,41204,0.0-5.0-0.8,ytlmdn67,,,,,,560.0,3,613929236e3092c6bad219ab,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,41920,0.0-5.0-0.9,ytlmdn67,,,,,,715.0,2,613929236e3092c6bad219ab,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,42547,0.0-5.0-0.10,ytlmdn67,,,,,,626.0,1,613929236e3092c6bad219ab,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,43353,0.0-5.0-0.11,ytlmdn67,,,,,,805.0,3,613929236e3092c6bad219ab,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,82477,0.0-6.0-0.0,ytlmdn67,,,,,,39124.0,,613929236e3092c6bad219ab,"[{""page_index"":0,""viewing_time"":1150},{""page_index"":1,""viewing_time"":9932},{""page_index"":2,""viewing_time"":26489},{""page_index"":3,""viewing_time"":1552}]",,,,,,,,,,,,,,,,,
introduction,19,121093,0.0-8.0-0.0,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,img/Red_circle.png,2193.0,calibration,,,,,,,,,,,,,,
introduction,20,125163,0.0-8.0-1.0-0.0,ytlmdn67,,,,,,4062.0,1333,613929236e3092c6bad219ab,,1333,,calibration,,,,,,,,,,,,,,
introduction,21,127176,0.0-8.0-2.0,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,129388,0.0-8.0-0.1,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,img/Red_circle.png,2797.0,calibration,,,,,,,,,,,,,,
introduction,23,131100,0.0-8.0-1.1-0.1,ytlmdn67,,,,,,1705.0,3322,613929236e3092c6bad219ab,,3322,,calibration,,,,,,,,,,,,,,
introduction,24,131105,0.0-8.0-2.1,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,,,,,,,,,,,,,,,,,
introduction,25,133122,0.0-8.0-0.2,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,<p>CAREFUL. That was too slow.</p>,1390.0,calibration,,,,,,,,,,,,,,
introduction,26,135115,0.0-8.0-1.2-0.2,ytlmdn67,,,,,,1990.0,1331,613929236e3092c6bad219ab,,1331,,calibration,,,,,,,,,,,,,,
introduction,27,135117,0.0-8.0-2.2,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,,,,,,,,,,,,,,,,,
introduction,28,136523,0.0-8.0-0.3,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,img/Red_circle.png,1044.0,calibration,,,,,,,,,,,,,,
introduction,29,138676,0.0-8.0-1.3-0.3,ytlmdn67,,,,,,2149.0,331,613929236e3092c6bad219ab,,331,,calibration,,,,,,,,,,,,,,
introduction,30,138677,0.0-8.0-2.3,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,,,,,,,,,,,,,,,,,
introduction,31,139739,0.0-8.0-0.4,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,img/Red_circle.png,3239.0,calibration,,,,,,,,,,,,,,
introduction,32,142044,0.0-8.0-1.4-0.4,ytlmdn67,,,,,,2297.0,2311,613929236e3092c6bad219ab,,2311,,calibration,,,,,,,,,,,,,,
introduction,33,142045,0.0-8.0-2.4,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,,,,,,,,,,,,,,,,,
introduction,34,144060,0.0-8.0-0.5,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,<p>CAREFUL. That was too slow.</p>,1353.0,calibration,,,,,,,,,,,,,,
introduction,35,146843,0.0-8.0-1.5-0.5,ytlmdn67,,,,,,2779.0,2212,613929236e3092c6bad219ab,,2212,,calibration,,,,,,,,,,,,,,
introduction,36,146846,0.0-8.0-2.5,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,,,,,,,,,,,,,,,,,
introduction,37,148203,0.0-8.0-0.6,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,img/Red_circle.png,3391.0,calibration,,,,,,,,,,,,,,
introduction,38,150740,0.0-8.0-1.6-0.6,ytlmdn67,,,,,,2533.0,332,613929236e3092c6bad219ab,,332,,calibration,,,,,,,,,,,,,,
introduction,39,150743,0.0-8.0-2.6,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,,,,,,,,,,,,,,,,,
introduction,40,152748,0.0-8.0-0.7,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,<p>CAREFUL. That was too slow.</p>,3160.0,calibration,,,,,,,,,,,,,,
introduction,41,154995,0.0-8.0-1.7-0.7,ytlmdn67,,,,,,2216.0,3111,613929236e3092c6bad219ab,,3111,,calibration,,,,,,,,,,,,,,
introduction,42,154997,0.0-8.0-2.7,ytlmdn67,,,,,,,,613929236e3092c6bad219ab,,,,,,,,,,,,,,,,,,
