trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7084,0.0-2.0,jgcbwn5s,,,,,,3492.0,6175eab1ddb5791df88241d1,6175eab1ddb5791df88241d1,,,,,,,,,,,,,,,,,,
introduction,3,10097,0.0-3.0,jgcbwn5s,,,,,,3008.0,6175eab1ddb5791df88241d1,6175eab1ddb5791df88241d1,,,,,,,,,,,,,,,,,,
introduction,4,16132,0.0-4.0-0.0,jgcbwn5s,,,,,,6034.0,,6175eab1ddb5791df88241d1,"[{""page_index"":0,""viewing_time"":1282},{""page_index"":1,""viewing_time"":3610},{""page_index"":2,""viewing_time"":1142}]",,,,,,,,,,,,,,,,,
introduction,5,17577,0.0-5.0-0.0,jgcbwn5s,,,,,,1444.0,1,6175eab1ddb5791df88241d1,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,18365,0.0-5.0-0.1,jgcbwn5s,,,,,,787.0,2,6175eab1ddb5791df88241d1,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,19240,0.0-5.0-0.2,jgcbwn5s,,,,,,875.0,1,6175eab1ddb5791df88241d1,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,20159,0.0-5.0-0.3,jgcbwn5s,,,,,,919.0,3,6175eab1ddb5791df88241d1,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,20880,0.0-5.0-0.4,jgcbwn5s,,,,,,720.0,2,6175eab1ddb5791df88241d1,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,21510,0.0-5.0-0.5,jgcbwn5s,,,,,,630.0,3,6175eab1ddb5791df88241d1,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22075,0.0-5.0-0.6,jgcbwn5s,,,,,,565.0,1,6175eab1ddb5791df88241d1,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,22684,0.0-5.0-0.7,jgcbwn5s,,,,,,609.0,2,6175eab1ddb5791df88241d1,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,23184,0.0-5.0-0.8,jgcbwn5s,,,,,,499.0,3,6175eab1ddb5791df88241d1,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,23769,0.0-5.0-0.9,jgcbwn5s,,,,,,585.0,2,6175eab1ddb5791df88241d1,,Press: 2,,,,,,,,,,,,,,,,
