trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8021,0.0-2.0,mzxlyx3b,,,,,,4967.0,61fa94015719bc09cb834e2e,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,3,13321,0.0-3.0,mzxlyx3b,,,,,,5298.0,61fa94015719bc09cb834e2e,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,4,29347,0.0-4.0-0.0,mzxlyx3b,,,,,,16025.0,,61fa94015719bc09cb834e2e,"[{""page_index"":0,""viewing_time"":1357},{""page_index"":1,""viewing_time"":12869},{""page_index"":2,""viewing_time"":1799}]",,,,,,,,,,,,,,,,,
introduction,5,30742,0.0-5.0-0.0,mzxlyx3b,,,,,,1394.0,1,61fa94015719bc09cb834e2e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,31374,0.0-5.0-0.1,mzxlyx3b,,,,,,632.0,2,61fa94015719bc09cb834e2e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,31854,0.0-5.0-0.2,mzxlyx3b,,,,,,479.0,1,61fa94015719bc09cb834e2e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,32334,0.0-5.0-0.3,mzxlyx3b,,,,,,479.0,3,61fa94015719bc09cb834e2e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,32782,0.0-5.0-0.4,mzxlyx3b,,,,,,448.0,2,61fa94015719bc09cb834e2e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,33238,0.0-5.0-0.5,mzxlyx3b,,,,,,455.0,3,61fa94015719bc09cb834e2e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,33685,0.0-5.0-0.6,mzxlyx3b,,,,,,447.0,1,61fa94015719bc09cb834e2e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,34134,0.0-5.0-0.7,mzxlyx3b,,,,,,448.0,2,61fa94015719bc09cb834e2e,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,34566,0.0-5.0-0.8,mzxlyx3b,,,,,,431.0,3,61fa94015719bc09cb834e2e,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,35005,0.0-5.0-0.9,mzxlyx3b,,,,,,440.0,2,61fa94015719bc09cb834e2e,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,35446,0.0-5.0-0.10,mzxlyx3b,,,,,,440.0,1,61fa94015719bc09cb834e2e,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,35965,0.0-5.0-0.11,mzxlyx3b,,,,,,519.0,3,61fa94015719bc09cb834e2e,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,66643,0.0-6.0-0.0,mzxlyx3b,,,,,,30677.0,,61fa94015719bc09cb834e2e,"[{""page_index"":0,""viewing_time"":3282},{""page_index"":1,""viewing_time"":13152},{""page_index"":2,""viewing_time"":12819},{""page_index"":3,""viewing_time"":1424}]",,,,,,,,,,,,,,,,,
introduction,19,90378,0.0-8.0-0.0,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,img/Red_circle.png,1385.0,calibration,,,,,,,,,,,,,,
introduction,20,91838,0.0-8.0-1.0-0.0,mzxlyx3b,,,,,,1458.0,32,61fa94015719bc09cb834e2e,,32,,calibration,,,,,,,,,,,,,,
introduction,21,91839,0.0-8.0-2.0,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,22,93233,0.0-8.0-0.1,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,img/Red_circle.png,2324.0,calibration,,,,,,,,,,,,,,
introduction,23,94646,0.0-8.0-1.1-0.1,mzxlyx3b,,,,,,1411.0,3332,61fa94015719bc09cb834e2e,,3332,,calibration,,,,,,,,,,,,,,
introduction,24,94646,0.0-8.0-2.1,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,25,96650,0.0-8.0-0.2,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,<p>CAREFUL. That was too slow.</p>,1148.0,calibration,,,,,,,,,,,,,,
introduction,26,98070,0.0-8.0-1.2-0.2,mzxlyx3b,,,,,,1418.0,3311,61fa94015719bc09cb834e2e,,3311,,calibration,,,,,,,,,,,,,,
introduction,27,98071,0.0-8.0-2.2,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,28,99229,0.0-8.0-0.3,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,img/Red_circle.png,2207.0,calibration,,,,,,,,,,,,,,
introduction,29,100590,0.0-8.0-1.3-0.3,mzxlyx3b,,,,,,1360.0,1132,61fa94015719bc09cb834e2e,,1132,,calibration,,,,,,,,,,,,,,
introduction,30,100591,0.0-8.0-2.3,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,31,102606,0.0-8.0-0.4,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,<p>CAREFUL. That was too slow.</p>,1498.0,calibration,,,,,,,,,,,,,,
introduction,32,103582,0.0-8.0-1.4-0.4,mzxlyx3b,,,,,,974.0,33,61fa94015719bc09cb834e2e,,33,,calibration,,,,,,,,,,,,,,
introduction,33,103582,0.0-8.0-2.4,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,34,105092,0.0-8.0-0.5,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,img/Red_circle.png,1145.0,calibration,,,,,,,,,,,,,,
introduction,35,106262,0.0-8.0-1.5-0.5,mzxlyx3b,,,,,,1168.0,233,61fa94015719bc09cb834e2e,,233,,calibration,,,,,,,,,,,,,,
introduction,36,106263,0.0-8.0-2.5,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,37,107418,0.0-8.0-0.6,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,img/Red_circle.png,1896.0,calibration,,,,,,,,,,,,,,
introduction,38,109118,0.0-8.0-1.6-0.6,mzxlyx3b,,,,,,1698.0,2113,61fa94015719bc09cb834e2e,,2113,,calibration,,,,,,,,,,,,,,
introduction,39,109119,0.0-8.0-2.6,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,40,111028,0.0-8.0-0.7,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,img/Red_circle.png,2053.0,calibration,,,,,,,,,,,,,,
introduction,41,112894,0.0-8.0-1.7-0.7,mzxlyx3b,,,,,,1865.0,1313,61fa94015719bc09cb834e2e,,1313,,calibration,,,,,,,,,,,,,,
introduction,42,112895,0.0-8.0-2.7,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,43,114900,0.0-8.0-0.8,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,<p>CAREFUL. That was too slow.</p>,2237.0,calibration,,,,,,,,,,,,,,
introduction,44,116454,0.0-8.0-1.8-0.8,mzxlyx3b,,,,,,1553.0,2121,61fa94015719bc09cb834e2e,,2121,,calibration,,,,,,,,,,,,,,
introduction,45,116455,0.0-8.0-2.8,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,46,118460,0.0-8.0-0.9,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,<p>CAREFUL. That was too slow.</p>,3333.0,calibration,,,,,,,,,,,,,,
introduction,47,119646,0.0-8.0-1.9-0.9,mzxlyx3b,,,,,,1185.0,2323,61fa94015719bc09cb834e2e,,2323,,calibration,,,,,,,,,,,,,,
introduction,48,119647,0.0-8.0-2.9,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,49,121648,0.0-8.0-0.10,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,<p>CAREFUL. That was too slow.</p>,2093.0,calibration,,,,,,,,,,,,,,
introduction,50,122926,0.0-8.0-1.10-0.10,mzxlyx3b,,,,,,1277.0,2212,61fa94015719bc09cb834e2e,,2212,,calibration,,,,,,,,,,,,,,
introduction,51,122927,0.0-8.0-2.10,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,52,124942,0.0-8.0-0.11,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,<p>CAREFUL. That was too slow.</p>,2180.0,calibration,,,,,,,,,,,,,,
introduction,53,126462,0.0-8.0-1.11-0.11,mzxlyx3b,,,,,,1519.0,3112,61fa94015719bc09cb834e2e,,3112,,calibration,,,,,,,,,,,,,,
introduction,54,126463,0.0-8.0-2.11,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,55,128475,0.0-8.0-0.12,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,<p>CAREFUL. That was too slow.</p>,1205.0,calibration,,,,,,,,,,,,,,
introduction,56,129847,0.0-8.0-1.12-0.12,mzxlyx3b,,,,,,1370.0,3111,61fa94015719bc09cb834e2e,,3111,,calibration,,,,,,,,,,,,,,
introduction,57,129847,0.0-8.0-2.12,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,58,131067,0.0-8.0-0.13,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,img/Red_circle.png,1600.0,calibration,,,,,,,,,,,,,,
introduction,59,132414,0.0-8.0-1.13-0.13,mzxlyx3b,,,,,,1346.0,2233,61fa94015719bc09cb834e2e,,2233,,calibration,,,,,,,,,,,,,,
introduction,60,132415,0.0-8.0-2.13,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,61,134018,0.0-8.0-0.14,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,img/Red_circle.png,2416.0,calibration,,,,,,,,,,,,,,
introduction,62,135238,0.0-8.0-1.14-0.14,mzxlyx3b,,,,,,1218.0,2212,61fa94015719bc09cb834e2e,,2212,,calibration,,,,,,,,,,,,,,
introduction,63,135239,0.0-8.0-2.14,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,64,137253,0.0-8.0-0.15,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,<p>CAREFUL. That was too slow.</p>,1270.0,calibration,,,,,,,,,,,,,,
introduction,65,138342,0.0-8.0-1.15-0.15,mzxlyx3b,,,,,,1088.0,232,61fa94015719bc09cb834e2e,,232,,calibration,,,,,,,,,,,,,,
introduction,66,138343,0.0-8.0-2.15,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,67,139620,0.0-8.0-0.16,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,img/Red_circle.png,1329.0,calibration,,,,,,,,,,,,,,
introduction,68,141062,0.0-8.0-1.16-0.16,mzxlyx3b,,,,,,1441.0,1232,61fa94015719bc09cb834e2e,,1232,,calibration,,,,,,,,,,,,,,
introduction,69,141063,0.0-8.0-2.16,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,70,142398,0.0-8.0-0.17,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,img/Red_circle.png,1538.0,calibration,,,,,,,,,,,,,,
introduction,71,143670,0.0-8.0-1.17-0.17,mzxlyx3b,,,,,,1271.0,2122,61fa94015719bc09cb834e2e,,2122,,calibration,,,,,,,,,,,,,,
introduction,72,143671,0.0-8.0-2.17,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,73,145226,0.0-8.0-0.18,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,img/Red_circle.png,3310.0,calibration,,,,,,,,,,,,,,
introduction,74,146654,0.0-8.0-1.18-0.18,mzxlyx3b,,,,,,1427.0,2331,61fa94015719bc09cb834e2e,,2331,,calibration,,,,,,,,,,,,,,
introduction,75,146655,0.0-8.0-2.18,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,76,148659,0.0-8.0-0.19,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,<p>CAREFUL. That was too slow.</p>,1675.0,calibration,,,,,,,,,,,,,,
introduction,77,149982,0.0-8.0-1.19-0.19,mzxlyx3b,,,,,,1321.0,3331,61fa94015719bc09cb834e2e,,3331,,calibration,,,,,,,,,,,,,,
introduction,78,149983,0.0-8.0-2.19,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
introduction,79,151668,0.0-8.0-0.20,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,img/Red_circle.png,2543.0,calibration,,,,,,,,,,,,,,
introduction,80,153022,0.0-8.0-1.20-0.20,mzxlyx3b,,,,,,1352.0,2321,61fa94015719bc09cb834e2e,,2321,,calibration,,,,,,,,,,,,,,
introduction,81,153023,0.0-8.0-2.20,mzxlyx3b,,,,,,,,61fa94015719bc09cb834e2e,,,,,,,,,,,,,,,,,,
