trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6711,0.0-2.0,qr79k03r,,,,,,3635.0,62bb13844f833119cc98e55b,62bb13844f833119cc98e55b,,,,,,,,,,,,,,,,,,
introduction,3,9250,0.0-3.0,qr79k03r,,,,,,2535.0,62bb13844f833119cc98e55b,62bb13844f833119cc98e55b,,,,,,,,,,,,,,,,,,
introduction,4,21266,0.0-4.0-0.0,qr79k03r,,,,,,12016.0,,62bb13844f833119cc98e55b,"[{""page_index"":0,""viewing_time"":769},{""page_index"":1,""viewing_time"":10176},{""page_index"":2,""viewing_time"":1071}]",,,,,,,,,,,,,,,,,
introduction,5,21812,0.0-5.0-0.0,qr79k03r,,,,,,545.0,1,62bb13844f833119cc98e55b,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,22239,0.0-5.0-0.1,qr79k03r,,,,,,427.0,2,62bb13844f833119cc98e55b,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,22865,0.0-5.0-0.2,qr79k03r,,,,,,625.0,1,62bb13844f833119cc98e55b,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,23381,0.0-5.0-0.3,qr79k03r,,,,,,516.0,3,62bb13844f833119cc98e55b,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,23953,0.0-5.0-0.4,qr79k03r,,,,,,570.0,2,62bb13844f833119cc98e55b,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,24540,0.0-5.0-0.5,qr79k03r,,,,,,587.0,3,62bb13844f833119cc98e55b,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,25024,0.0-5.0-0.6,qr79k03r,,,,,,484.0,1,62bb13844f833119cc98e55b,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,25626,0.0-5.0-0.7,qr79k03r,,,,,,601.0,2,62bb13844f833119cc98e55b,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,26218,0.0-5.0-0.8,qr79k03r,,,,,,592.0,3,62bb13844f833119cc98e55b,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,26849,0.0-5.0-0.9,qr79k03r,,,,,,630.0,2,62bb13844f833119cc98e55b,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,27416,0.0-5.0-0.10,qr79k03r,,,,,,566.0,1,62bb13844f833119cc98e55b,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,28001,0.0-5.0-0.11,qr79k03r,,,,,,584.0,3,62bb13844f833119cc98e55b,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,42941,0.0-6.0-0.0,qr79k03r,,,,,,14941.0,,62bb13844f833119cc98e55b,"[{""page_index"":0,""viewing_time"":3182},{""page_index"":1,""viewing_time"":1630},{""page_index"":2,""viewing_time"":9011},{""page_index"":3,""viewing_time"":1118}]",,,,,,,,,,,,,,,,,
introduction,19,58606,0.0-8.0-0.0,qr79k03r,,,,,,,,62bb13844f833119cc98e55b,,img/Red_circle.png,1885.0,calibration,,,,,,,,,,,,,,
introduction,20,60301,0.0-8.0-1.0-0.0,qr79k03r,,,,,,1684.0,1122,62bb13844f833119cc98e55b,,1122,,calibration,,,,,,,,,,,,,,
introduction,21,60302,0.0-8.0-2.0,qr79k03r,,,,,,,,62bb13844f833119cc98e55b,,,,,,,,,,,,,,,,,,
introduction,22,62324,0.0-8.0-0.1,qr79k03r,,,,,,,,62bb13844f833119cc98e55b,,img/Red_circle.png,1722.0,calibration,,,,,,,,,,,,,,
introduction,23,64050,0.0-8.0-1.1-0.1,qr79k03r,,,,,,1711.0,3312,62bb13844f833119cc98e55b,,3312,,calibration,,,,,,,,,,,,,,
introduction,24,64051,0.0-8.0-2.1,qr79k03r,,,,,,,,62bb13844f833119cc98e55b,,,,,,,,,,,,,,,,,,
introduction,25,65781,0.0-8.0-0.2,qr79k03r,,,,,,,,62bb13844f833119cc98e55b,,img/Red_circle.png,2892.0,calibration,,,,,,,,,,,,,,
introduction,26,67610,0.0-8.0-1.2-0.2,qr79k03r,,,,,,1819.0,2223,62bb13844f833119cc98e55b,,2223,,calibration,,,,,,,,,,,,,,
